t, ur1, ur2, ur3
2.419998, 0.407471, 0.226201, 0.248028
2.439998, 0.918358, 0.305942, 0.206970
2.459998, 0.412154, 0.395403, -0.862518
2.479998, 0.426868, 0.439279, 0.160142
2.499998, 0.929055, 0.463869, 0.136839
2.519998, 0.370897, 0.386504, -0.971798
2.539998, 0.326288, 0.329134, -1.555357
2.559998, 0.287450, 0.339010, -1.082920
2.579998, 0.275443, 0.349418, -1.629616
2.599998, 0.294352, 0.896014, -1.149190
2.619998, 0.829207, 0.455392, -1.181592
2.639998, 0.328729, 1.043089, -0.702076
2.659998, 0.327042, 1.123695, -0.228752
2.679998, 0.337007, 0.693615, -1.817571
2.699998, 0.369432, 1.278294, -1.377382
2.719998, 0.425980, 1.347604, -4.022973
2.739998, 0.493981, 0.889183, -0.534909
2.759998, 0.553415, 0.937475, -2.659283
2.779998, 0.580513, 0.994823, -1.698319
2.799998, 0.572456, 1.579791, -1.231964
2.819998, 0.536059, 1.140899, -0.741262
2.839998, 1.001782, 1.210542, -0.751982
2.859998, 0.973242, 1.788608, -1.800586
2.879998, 0.449794, 1.841006, -1.317763
2.899998, 0.970601, 1.366628, -0.327261
2.919998, 0.980543, 1.884194, -0.841265
2.939998, 0.471188, 1.871833, -1.328571
2.959998, 0.458871, 1.866861, -0.791597
2.979998, 0.939264, 0.838974, -0.238221
2.999998, 0.403299, 1.341882, -2.239444
3.019998, 0.393978, 1.328633, -1.698697
3.039998, 0.402455, 1.287331, -0.639306
3.059998, 0.935668, 1.723515, -0.587573
3.079998, 0.448751, 1.633543, -0.021725
3.099998, 0.974573, 1.549452, 0.543779
3.119998, 0.465240, 0.960290, -1.955458
3.139998, 0.976193, 0.891602, -0.892139
3.159998, 0.981919, 0.824911, -0.352302
3.179998, 0.996523, 0.757509, -1.869237
3.199998, 1.001827, 0.691595, -0.318479
3.219998, 0.989731, 0.636334, -1.319057
3.239998, 0.450903, 0.592036, 1.256769
3.259998, 0.922996, 1.062974, 0.259820
3.279998, 0.881628, 0.509787, -0.735921
3.299998, 0.843477, 0.457655, -1.219032
3.319998, 0.298613, 0.401639, -0.677996
3.339998, 0.270228, 1.365277, -0.138003
3.359998, 0.756391, 0.287610, -0.619494
3.379997, 0.733132, 0.752423, -1.617054
3.399997, 0.707943, 0.198237, -0.565853
3.419997, 0.171312, 0.152763, -0.523109
3.439997, 0.667839, 0.619507, -0.991417
3.459997, 0.158484, 0.072645, 0.069527
3.479997, 0.173687, 0.048854, -1.431673
3.499997, 0.201850, 0.035449, -0.384312
3.519997, 0.239135, 0.536149, -0.867978
3.539997, 0.279549, -2.537459, -0.329361
3.559997, 0.325356, 0.525385, -0.815557
3.579997, 0.368966, 0.012768, 0.234157
3.599997, 0.407937, 4.094944, -0.242452
3.619997, 0.445688, -0.000704, 0.819003
3.639997, 0.477957, 0.002115, -0.169391
3.659997, 0.503457, 0.533641, -0.150327
3.679997, 0.519725, 0.053404, 0.373731
3.699997, 0.527737, 0.080369, -0.118879
3.719997, 0.532397, 0.100010, -0.103788
3.739997, 0.535793, 0.629561, -0.095754
3.759997, 1.042352, 0.133433, 0.419494
3.779997, 1.026950, 1.171773, -0.089384
3.799997, 0.494181, 0.162573, -0.601125
3.819997, 0.474340, 0.681937, -0.095266
3.839997, 0.465085, 0.677521, -1.127159
3.859997, 0.464841, 0.150322, 0.393683
3.879997, 0.463642, 0.131036, -0.640008
3.899997, -0.052759, 0.114613, -0.653435
3.919997, 0.449883, 0.101097, -0.667572
3.939997, 0.441560, 0.598712, 0.339198
3.959997, 0.436522, 0.071780, -0.694581
3.979997, 0.437454, 0.563580, 0.318603
3.999997, 0.439430, 0.549088, -0.198864
4.019997, 0.954355, 0.030300, -0.207697
4.039997, -0.063501, 0.536682, -0.212624
4.059997, 0.446997, 0.536948, 0.296276
4.079997, 0.950627, 0.033629, -2.257768
4.099997, 0.429132, 0.559652, -0.721790
4.119997, 0.931607, 0.061748, -1.228138
4.139997, 0.928211, 0.071158, -0.711049
4.159997, 0.419611, 0.080746, -0.707098
4.179997, 0.936157, 1.111829, -0.706854
4.199997, 0.430352, 0.102118, -0.199463
4.219997, 0.943614, 0.116277, -1.228582
4.239997, 0.430863, 0.126509, -0.211625
4.259997, 0.937089, 0.637262, -1.229714
4.279997, 0.418901, 0.119873, -0.198775
4.299997, 0.412420, 0.118009, -0.706677
4.319997, 0.406428, 0.122913, -0.710183
4.339997, 0.400147, 0.638194, -0.203036
4.359997, 0.904398, 0.126220, -0.714489
4.379997, 0.386476, 0.635708, -0.203813
4.399997, 0.379663, 0.124933, -1.228227
4.419997, 0.886777, 0.636885, -0.721946
4.439997, 0.375269, 0.635930, -0.214000
4.459997, 0.885267, 0.121315, 0.298895
4.479997, 0.372672, 0.631736, 0.303134
4.499997, 0.885445, 0.636019, -1.233198
4.519997, 0.381105, -0.386120, -2.257390
4.539997, 0.390005, 0.630138, 0.297719
4.559997, 0.399837, 0.109065, -0.721347
4.579997, 0.413619, 7.255682, 0.298029
4.599997, 0.429154, 0.097147, -1.239901
4.619997, 0.444667, 0.091443, -0.222322
4.639997, 0.964897, -2.469015, 0.799606
4.659997, -8.260554, -4.528196, -0.212868
4.679996, 9.545414, 0.046923, -4.308182
4.699996, 5.425365, 7.214092, -8.399746
4.719996, 0.874992, 1.115380, -6.311558
4.739996, 8.592507, 3.173218, -17.025116
4.759996, 10.628296, -6.041003, -12.449885
4.779996, 0.861543, 33.782829, -10.458139
4.799996, 22.843580, 19.978086, -31.914139
4.819996, 26.984858, 9.256395, -27.246517
4.839996, 0.385367, 20.499304, -10.345064
4.859996, 15.161603, 14.890494, -32.273479
4.879996, 12.609745, 17.464285, -28.143808
4.899996, 4.950099, 23.595377, -25.583517
4.919996, 19.799891, 14.396286, -9.747657
4.939996, -23.584417, 2.670621, -8.207751
4.959996, -0.508240, 13.480098, -12.269299
4.979996, -9.164913, 19.638704, -17.406370
4.999996, -39.359291, 8.839775, -8.297990
5.019996, -43.473137, 11.343229, 0.831120
5.039996, -59.773167, 35.916386, -3.267623
5.059996, -17.825092, 19.085617, 7.451860
5.079996, -36.212345, 23.668394, 12.515683
5.099996, -54.624851, 26.727287, 18.096968
5.119996, -45.951134, 17.001085, 29.291994
5.139996, -49.514400, 7.808237, 52.266727
5.159996, -63.268986, 13.493636, 42.074474
5.179996, -63.768257, 9.445815, 47.205299
5.199996, -63.316746, 2.743770, 51.763153
5.219996, -67.980637, 3.185136, 46.616638
5.239996, -63.399307, -3.476074, 49.175358
5.259996, -64.924187, 13.914717, 51.248837
5.279996, -65.423164, 8.317204, 51.304810
5.299996, -67.472084, -2.423252, 50.854588
5.319996, -68.524628, 1.629762, 43.215160
5.339996, -66.009430, 2.107946, 43.215382
5.359996, -71.134933, 14.362841, 45.269753
5.379996, -80.807205, 12.863449, 33.044281
5.399996, -86.382118, 0.105602, 46.358101
5.419996, -83.841202, 6.709497, 24.852432
5.439996, -74.696754, 8.706149, 38.064362
5.459996, -76.264069, -1.021123, 47.728184
5.479996, -83.355469, -0.418367, 69.233093
5.499996, -78.666832, -2.861755, 66.741379
5.519996, -76.605873, -3.359203, 50.922523
5.539996, -70.582443, -10.628040, 53.926716
5.559996, -69.661072, -5.104963, 50.803078
5.579996, -78.330795, -7.629423, 52.880550
5.599996, -77.217697, -5.480237, 41.711029
5.619996, -75.155121, -8.018834, 48.354858
5.639996, -76.252083, -7.602370, 50.332951
5.659996, -75.774231, -10.714039, 50.304920
5.679996, -76.747894, -16.786320, 55.959648
5.699996, -70.561317, -9.036002, 50.369392
5.719995, -76.197647, -21.298231, 50.865574
5.739995, -69.631378, -16.785166, 52.852409
5.759995, -69.156326, -11.209734, 51.798065
5.779995, -72.166451, -9.104980, 51.850952
5.799995, -74.657608, -18.240681, 49.353882
5.819995, -70.072990, -17.241001, 46.279915
5.839995, -68.631020, -15.281013, 49.792542
5.859995, -69.687729, -19.903582, 55.396042
5.879995, -75.232330, -9.597944, 42.673126
5.899995, -68.519234, -23.844297, 47.312649
5.919995, -66.009636, -21.858553, 45.738323
5.939995, -62.018539, -21.949324, 45.162094
5.959995, -66.123772, -21.436363, 53.332127
5.979995, -74.216263, -26.444347, 41.641922
5.999995, -63.427135, -25.883936, 43.204151
6.019995, -61.456264, -31.085714, 48.763378
6.039995, -55.415718, -22.486544, 40.037594
6.059995, -56.932056, -25.016541, 40.587284
6.079995, -55.838177, -22.892567, 40.154709
6.099995, -57.338909, -24.393211, 35.593239
