t_g, g1, g2, g3
0.000000, -5.562987, -5.735019, -6.251220
0.020000, -5.842292, -5.520650, -6.371362
0.040000, -5.603991, -5.596867, -6.068490
0.060000, -5.653577, -5.615744, -6.165237
0.080000, -5.757575, -5.695594, -6.282756
0.100000, -5.553564, -5.730039, -6.361139
0.120000, -5.631134, -5.626816, -6.149210
0.140000, -5.455152, -5.709673, -6.099709
0.160000, -5.509933, -5.546650, -6.129346
0.180000, -5.711007, -5.674198, -6.218284
0.200000, -5.530376, -5.591818, -6.215426
0.220000, -5.573746, -5.722905, -6.228985
0.240000, -5.541823, -5.733310, -6.231847
0.260000, -5.538969, -5.648036, -6.289814
0.280000, -5.604384, -5.657089, -6.237713
0.300000, -5.616440, -5.636418, -6.143665
0.320000, -5.485855, -5.642289, -6.103814
0.340000, -5.627100, -5.785256, -6.165439
0.360000, -5.554913, -5.633727, -6.051252
0.380000, -5.653485, -5.699901, -6.027833
0.400000, -5.532248, -5.546403, -6.152563
0.420000, -5.602952, -5.644662, -6.152068
0.440000, -5.582678, -5.624420, -6.183647
0.460000, -5.405306, -5.726604, -6.153498
0.480000, -5.680454, -5.713661, -6.383310
0.500000, -5.576579, -5.807939, -6.055161
0.520000, -5.572887, -5.757874, -6.140094
0.540000, -5.614284, -5.685062, -6.283406
0.560000, -5.579450, -5.722976, -6.138930
0.580000, -5.525811, -5.747083, -6.222809
0.600000, -5.543752, -5.727246, -6.207281
0.620000, -5.653970, -5.635709, -6.229897
0.640000, -5.733373, -5.725131, -6.258678
0.660000, -5.764422, -5.758575, -6.186788
0.680000, -5.677309, -5.762478, -6.083912
0.700000, -5.648441, -5.613060, -6.352822
0.720000, -5.685868, -5.840139, -6.123911
0.740000, -5.585184, -5.540419, -6.163162
0.760000, -5.580467, -5.735938, -6.114432
0.780000, -5.628582, -5.679026, -6.255587
0.800000, -5.682604, -5.644273, -6.156855
0.820000, -5.606520, -5.648397, -6.080154
0.840000, -5.754890, -5.614564, -6.022843
0.860000, -5.784565, -5.857539, -6.070201
0.880000, -5.621369, -5.516634, -6.237149
0.900000, -5.560991, -5.586638, -6.259714
0.920000, -5.695998, -5.562712, -6.099478
0.940000, -5.624082, -5.511790, -6.181849
0.960000, -5.654319, -5.837165, -6.170251
0.980000, -5.593390, -5.837691, -6.203559
1.000000, -5.494749, -5.802278, -6.125684
1.020000, -5.514972, -5.973515, -6.084606
1.040000, -5.587105, -5.854131, -6.275223
1.060000, -5.586420, -5.784174, -6.169358
1.080000, -5.749067, -5.708162, -6.119967
1.100000, -5.655786, -5.613383, -6.354105
1.120000, -5.672787, -5.466103, -6.182562
1.140000, -5.576895, -5.677557, -6.222389
1.159999, -5.475365, -5.607242, -6.326889
1.179999, -5.596646, -5.716916, -6.020442
1.199999, -5.691802, -5.718506, -6.304005
1.219999, -5.639894, -5.770171, -6.164895
1.239999, -5.534490, -5.812541, -6.281211
1.259999, -5.612889, -5.926376, -6.266347
1.279999, -5.612779, -5.998222, -6.318790
1.299999, -5.606452, -5.778805, -6.191553
1.319999, -5.590578, -5.680044, -6.292295
1.339999, -5.515047, -5.668625, -5.948176
1.359999, -5.606313, -5.629666, -6.251703
1.379999, -5.567335, -5.878534, -6.162401
1.399999, -5.618475, -5.784904, -6.123836
1.419999, -5.407322, -5.677311, -6.013670
1.439999, -5.353158, -5.607904, -6.310689
1.459999, -5.645639, -5.698027, -6.150171
1.479999, -5.753176, -5.637386, -6.177120
1.499999, -5.643515, -5.864625, -6.202895
1.519999, -5.577300, -5.665254, -6.177050
1.539999, -5.700489, -5.764414, -5.971020
1.559999, -5.409404, -5.834837, -6.000011
1.579999, -5.606435, -5.864968, -6.256223
1.599999, -5.579466, -5.643990, -6.132785
1.619999, -5.652574, -5.893682, -6.111133
1.639999, -5.501839, -5.596433, -6.214683
1.659999, -5.668320, -5.673706, -6.232801
1.679999, -5.455811, -5.612195, -6.201011
1.699999, -5.688334, -5.789653, -6.041016
1.719999, -5.749846, -5.906373, -6.184811
1.739999, -5.757857, -5.562919, -5.960690
1.759999, -5.538321, -5.775993, -5.970047
1.779999, -5.752818, -5.817555, -6.157484
1.799999, -5.528055, -5.663549, -6.349349
1.819999, -5.510208, -5.500978, -6.242823
1.839999, -5.592432, -5.548263, -6.058617
1.859999, -5.508850, -5.725142, -6.133906
1.879999, -5.557009, -5.663917, -6.194720
1.899999, -5.475266, -5.712018, -6.147504
1.919999, -5.732737, -5.592401, -6.266127
1.939999, -5.650978, -5.547715, -6.220752
1.959999, -5.566261, -5.665253, -6.226480
1.979999, -5.647608, -5.593936, -6.176637
1.999999, -5.567165, -5.844102, -6.381717
2.019999, -5.642491, -5.562661, -6.123291
2.039999, -5.589599, -5.636820, -6.299312
2.059999, -5.674094, -5.683938, -6.235452
2.079999, -5.599183, -5.531587, -6.101571
2.099999, -5.410468, -5.893423, -6.233675
2.119999, -5.601518, -5.917695, -6.391187
2.139999, -5.656768, -5.782887, -6.029613
2.159999, -5.509662, -5.783205, -6.195194
2.179999, -5.633338, -5.739634, -6.137527
2.199999, -5.635111, -5.654746, -6.162361
2.219999, -5.698906, -5.722743, -6.161323
2.239999, -5.676703, -5.638230, -6.184386
2.259999, -5.576337, -5.626757, -6.169621
2.279999, -5.524217, -5.885109, -6.096894
2.299999, -5.420259, -5.760372, -6.127204
2.319999, -5.410666, -5.820859, -6.206175
2.339998, -5.436071, -5.733477, -6.040166
2.359998, -5.692322, -5.548227, -6.087087
2.379998, -5.533339, -5.778046, -6.084611
2.399998, -5.664520, -5.844662, -6.307166
2.419998, -5.752969, -5.661615, -6.098067
2.439998, -5.711144, -5.780218, -6.229041
2.459998, -5.624960, -5.886066, -6.244256
2.479998, -5.769598, -5.681847, -6.170904
2.499998, -5.621206, -5.629408, -6.274817
2.519998, -5.669488, -5.766117, -6.170655
2.539998, -5.817567, -5.638214, -6.185756
2.559998, -5.539480, -5.679714, -6.257262
2.579998, -5.742914, -5.790779, -6.463018
2.599998, -5.533824, -5.750339, -6.098420
2.619998, -5.422400, -5.689652, -6.286983
2.639998, -5.619594, -5.745421, -6.217071
2.659998, -5.580040, -5.677682, -6.231972
2.679998, -5.566578, -5.712933, -6.280183
2.699998, -5.708984, -5.613715, -6.136528
2.719998, -5.734051, -5.733422, -6.305901
2.739998, -5.768623, -5.789114, -6.123692
2.759998, -5.643602, -5.694264, -6.093318
2.779998, -5.719221, -5.660736, -6.140821
2.799998, -5.651182, -5.593225, -6.332873
2.819998, -5.617735, -5.582974, -6.297863
2.839998, -5.512733, -5.686803, -6.113221
2.859998, -5.526089, -5.487225, -6.305066
2.879998, -5.592041, -5.668614, -6.176352
2.899998, -5.408921, -5.689451, -6.284049
2.919998, -5.758288, -5.801728, -6.312178
2.939998, -5.859182, -5.804624, -6.162963
2.959998, -5.735384, -5.761780, -6.208740
2.979998, -5.519347, -5.590138, -6.210616
2.999998, -5.634202, -5.848662, -6.038386
3.019998, -5.722998, -5.755070, -6.091657
3.039998, -5.531837, -5.638844, -6.337423
3.059998, -5.655680, -5.644057, -6.237936
3.079998, -5.626493, -5.438372, -6.274299
3.099998, -5.707249, -5.635906, -6.476449
3.119998, -5.564511, -5.766008, -6.245483
3.139998, -5.700194, -5.775620, -6.175639
3.159998, -5.637330, -5.544801, -6.240983
3.179998, -5.690285, -5.677742, -6.002426
3.199998, -5.645637, -5.815096, -6.149231
3.219998, -5.656040, -5.692964, -6.080651
3.239998, -5.557784, -5.662159, -6.384368
3.259998, -5.577858, -5.897395, -6.407201
3.279998, -5.492020, -5.852219, -6.170026
3.299998, -5.531095, -5.881284, -6.255884
3.319998, -5.577535, -5.686857, -6.077922
3.339998, -5.600979, -5.581476, -6.125468
3.359998, -5.749750, -5.791047, -6.133733
3.379997, -5.653017, -5.858346, -6.164780
3.399997, -5.580031, -5.632921, -6.312650
3.419997, -5.706359, -5.692864, -6.244595
3.439997, -5.548995, -5.759684, -6.172315
3.459997, -5.714214, -5.726987, -6.216939
3.479997, -5.574441, -5.825480, -6.362491
