t, x1_compfilter, x1_phiobs, x1_fullobs
2.799998, -0.767315, -0.000993, -0.023668
2.819998, -0.767338, -0.000995, -0.023635
2.839998, -0.767337, -0.000837, -0.023755
2.859998, -0.767348, -0.000883, -0.023686
2.879998, -0.767364, -0.000798, -0.023805
2.899998, -0.767387, -0.000756, -0.023893
2.919998, -0.767388, -0.000914, -0.023827
2.939998, -0.767391, -0.000833, -0.023918
2.959998, -0.767398, -0.000799, -0.023987
2.979998, -0.767409, -0.000762, -0.024025
2.999998, -0.767400, -0.000926, -0.023922
3.019998, -0.767396, -0.000679, -0.024118
3.039998, -0.767407, -0.000762, -0.024145
3.059998, -0.767406, -0.000917, -0.023993
3.079998, -0.767402, -0.000851, -0.024027
3.099998, -0.767429, -0.000976, -0.023909
3.119998, -0.767417, -0.001065, -0.023837
3.139998, -0.767416, -0.001159, -0.023585
3.159998, -0.767438, -0.001063, -0.023554
3.179998, -0.767441, -0.000745, -0.023848
3.199998, -0.767457, -0.000723, -0.023914
3.219998, -0.767466, -0.000893, -0.023830
3.239998, -0.767483, -0.000844, -0.023921
3.259998, -0.767470, -0.000931, -0.023821
3.279998, -0.767470, -0.000813, -0.023886
3.299998, -0.767465, -0.000930, -0.023803
3.319998, -0.767480, -0.000957, -0.023724
3.339998, -0.767468, -0.000994, -0.023681
3.359998, -0.767477, -0.000965, -0.023627
3.379997, -0.767483, -0.000836, -0.023756
3.399997, -0.767488, -0.000802, -0.023871
3.419997, -0.767494, -0.000934, -0.023809
3.439997, -0.767512, -0.000824, -0.023893
3.459997, -0.767509, -0.000789, -0.023967
3.479997, -0.767547, -0.000942, -0.023886
3.499997, -0.767499, -0.001005, -0.023817
3.519997, -0.767520, -0.000654, -0.024013
3.539997, -0.767545, -0.000918, -0.023942
3.559997, -0.767555, -0.000955, -0.023834
3.579997, -0.767501, -0.000980, -0.023759
3.599997, -0.767534, -0.000965, -0.023690
3.619997, -0.767561, -0.001017, -0.023676
3.639997, -0.767545, -0.000832, -0.023781
3.659997, -0.767517, -0.000859, -0.023699
3.679997, -0.767559, -0.000802, -0.023827
3.699997, -0.767576, -0.000848, -0.023964
3.719997, -0.767542, -0.000951, -0.023880
3.739997, -0.767545, -0.000959, -0.023793
3.759997, -0.767569, -0.000968, -0.023733
3.779997, -0.767575, -0.000897, -0.023879
3.799997, -0.767568, -0.000842, -0.023977
3.819997, -0.767574, -0.001187, -0.023569
3.839997, -0.767590, -0.000971, -0.023742
3.859997, -0.767592, -0.000996, -0.023721
3.879997, -0.767596, -0.000822, -0.023834
3.899997, -0.767594, -0.000906, -0.023786
3.919997, -0.767612, -0.000978, -0.023766
3.939997, -0.767585, -0.000858, -0.023896
3.959997, -0.767621, -0.001038, -0.023668
3.979997, -0.767597, -0.001041, -0.023683
3.999997, -0.767587, -0.000990, -0.023669
4.019997, -0.767614, -0.001133, -0.023529
4.039997, -0.767623, -0.000946, -0.023746
4.059997, -0.767608, -0.000931, -0.023727
4.079997, -0.767600, -0.000915, -0.023710
