t, tm1, tm2, tm3
2.759998, -1.357964, -5.829385, 4.409845
2.779998, -1.356038, -5.827220, 4.408690
2.799998, -1.356938, -5.827186, 4.408241
2.819998, -1.356205, -5.829530, 4.408414
2.839998, -1.355972, -5.826226, 4.409446
2.859998, -1.356185, -5.829494, 4.406342
2.879998, -1.356242, -5.827036, 4.409727
2.899998, -1.355192, -5.826801, 4.408039
2.919998, -1.357116, -5.828801, 4.408663
2.939998, -1.355079, -5.827079, 4.409297
2.959998, -1.356188, -5.827525, 4.409530
2.979998, -1.356413, -5.826692, 4.408330
2.999998, -1.356594, -5.828034, 4.408656
3.019998, -1.356242, -5.826767, 4.408359
3.039998, -1.356400, -5.829993, 4.406435
3.059998, -1.356999, -5.829936, 4.409701
3.079998, -1.355989, -5.826963, 4.407742
3.099998, -1.355840, -5.826268, 4.407194
3.119998, -1.357130, -5.829237, 4.407094
3.139998, -1.355589, -5.827591, 4.409190
3.159998, -1.356398, -5.827449, 4.407329
3.179998, -1.355977, -5.826739, 4.408153
3.199998, -1.355086, -5.828796, 4.407256
3.219998, -1.355834, -5.826919, 4.408764
3.239998, -1.356013, -5.827257, 4.409097
3.259998, -1.355834, -5.826945, 4.408810
3.279998, -1.355734, -5.828126, 4.408384
3.299998, -1.355716, -5.827187, 4.409619
3.319998, -1.357409, -5.828868, 4.409525
3.339998, -1.356890, -5.829330, 4.407952
3.359998, -1.357108, -5.827101, 4.408599
3.379997, -1.353576, -5.834245, 4.408886
3.399997, -1.354341, -5.842439, 4.411291
3.419997, -1.356090, -5.832266, 4.410450
3.439997, -1.354517, -5.838743, 4.411824
3.459997, -1.352905, -5.836747, 4.411571
3.479997, -1.354271, -5.833719, 4.411532
3.499997, -1.355138, -5.829020, 4.410266
3.519997, -1.361545, -5.820467, 4.409495
3.539997, -1.358734, -5.820742, 4.409714
3.559997, -1.355463, -5.832310, 4.413056
3.579997, -1.358168, -5.825151, 4.407770
3.599997, -1.358758, -5.840583, 4.409298
3.619997, -1.354554, -5.845440, 4.413884
3.639997, -1.354447, -5.840676, 4.411696
3.659997, -1.352739, -5.838605, 4.412318
3.679997, -1.352369, -5.840078, 4.414267
3.699997, -1.356187, -5.836356, 4.412312
3.719997, -1.361358, -5.829761, 4.412849
3.739997, -1.365796, -5.819832, 4.410351
3.759997, -1.364567, -5.831893, 4.413866
3.779997, -1.361683, -5.839939, 4.416508
3.799997, -1.366538, -5.840333, 4.417573
3.819997, -1.373215, -5.828957, 4.417263
3.839997, -1.383042, -5.826872, 4.421846
3.859997, -1.390669, -5.812916, 4.420169
3.879997, -1.387065, -5.804813, 4.415540
3.899997, -1.407612, -5.804491, 4.417847
3.919997, -1.431309, -5.812234, 4.425729
3.939997, -1.449959, -5.800469, 4.428764
3.959997, -1.470472, -5.787684, 4.432053
3.979997, -1.495145, -5.776667, 4.435465
3.999997, -1.513545, -5.772530, 4.441795
4.019997, -1.517147, -5.781305, 4.447578
4.039997, -1.526136, -5.768868, 4.444510
4.059997, -1.547674, -5.760923, 4.454458
4.079997, -1.562618, -5.777699, 4.465967
4.099997, -1.566701, -5.777318, 4.473756
4.119997, -1.565139, -5.770779, 4.472229
4.139997, -1.567600, -5.764959, 4.469207
4.159997, -1.587944, -5.766502, 4.476942
4.179997, -1.589324, -5.779247, 4.486095
4.199997, -1.604348, -5.772759, 4.493019
4.219997, -1.626102, -5.749009, 4.493743
4.239997, -1.654384, -5.741423, 4.503145
4.259997, -1.685729, -5.759809, 4.519808
4.279997, -1.697965, -5.769156, 4.535727
4.299997, -1.717475, -5.749587, 4.542617
4.319997, -1.745726, -5.753250, 4.560301
4.339997, -1.730101, -5.768542, 4.570794
4.359997, -1.672568, -5.793653, 4.567062
4.379997, -1.623512, -5.814605, 4.555892
4.399997, -1.603931, -5.825513, 4.558047
4.419997, -1.590017, -5.812919, 4.548583
4.439997, -1.571951, -5.829061, 4.546470
4.459997, -1.582061, -5.831928, 4.547426
4.479997, -1.583013, -5.815722, 4.541638
4.499997, -1.578759, -5.817591, 4.539070
4.519997, -1.574997, -5.822922, 4.537313
4.539997, -1.568333, -5.817824, 4.536050
4.559997, -1.576476, -5.796203, 4.502509
4.579997, -1.561138, -5.822447, 4.530603
4.599997, -1.557026, -5.819312, 4.527338
4.619997, -1.550240, -5.818359, 4.526368
4.639997, -1.548443, -5.820030, 4.523565
4.659997, -1.546281, -5.820472, 4.519281
4.679996, -1.542608, -5.821681, 4.518431
4.699996, -1.537736, -5.820563, 4.517217
4.719996, -1.534932, -5.822156, 4.514171
4.739996, -1.531710, -5.822080, 4.512069
4.759996, -1.527109, -5.820565, 4.509898
4.779996, -1.525089, -5.813011, 4.506280
4.799996, -1.522728, -5.811348, 4.501493
4.819996, -1.517205, -5.816981, 4.502552
4.839996, -1.512359, -5.830153, 4.503362
4.859996, -1.508169, -5.833393, 4.503684
4.879996, -1.505607, -5.831157, 4.499077
4.899996, -1.503657, -5.828847, 4.496664
4.919996, -1.501724, -5.825350, 4.495851
4.939996, -1.499986, -5.819026, 4.493762
4.959996, -1.500477, -5.810112, 4.489348
4.979996, -1.497024, -5.809148, 4.487144
4.999996, -1.494557, -5.815245, 4.486250
5.019996, -1.487527, -5.815079, 4.483203
5.039996, -1.483569, -5.814230, 4.481358
5.059996, -1.480458, -5.808119, 4.475942
5.079996, -1.479986, -5.791333, 4.468652
5.099996, -1.483427, -5.756500, 4.455021
5.119996, -1.480562, -5.682637, 4.423609
5.139996, -1.491334, -5.385793, 4.300611
5.159996, -1.475861, -5.261521, 4.256149
5.179996, -1.524353, -5.244612, 4.238260
5.199996, -1.564200, -5.197109, 4.180271
5.219996, -1.596181, -5.113584, 4.127491
5.239996, -1.630743, -4.994853, 4.066252
5.259996, -1.673144, -4.831339, 3.990929
5.279996, -1.713524, -4.618699, 3.890687
5.299996, -1.760933, -4.364513, 3.771036
5.319996, -1.803092, -4.085982, 3.641137
5.339996, -1.830198, -3.787997, 3.491420
5.359996, -1.834102, -3.505718, 3.326708
5.379996, -1.796952, -3.233842, 3.145920
5.399996, -1.725897, -2.957073, 2.945468
5.419996, -1.598715, -2.702240, 2.733585
5.439996, -1.448778, -2.459874, 2.509383
5.459996, -1.289201, -2.210279, 2.281224
5.479996, -1.126827, -1.966781, 2.052061
5.499996, -0.964181, -1.730607, 1.822536
5.519996, -0.801296, -1.508562, 1.598643
5.539996, -0.656679, -1.307576, 1.390103
5.559996, -0.534457, -1.104642, 1.191763
5.579996, -0.405778, -0.909741, 0.997380
5.599996, -0.272957, -0.747017, 0.812849
5.619996, -0.140281, -0.596791, 0.638814
5.639996, -0.017469, -0.453835, 0.472030
5.659996, 0.078969, -0.306776, 0.318776
5.679996, 0.162281, -0.163303, 0.172461
5.699996, 0.260923, -0.050453, 0.037144
5.719995, 0.368695, 0.036562, -0.092433
5.739995, 0.466311, 0.119151, -0.209733
5.759995, 0.542912, 0.177364, -0.289401
5.779995, 0.575381, 0.257542, -0.395907
5.799995, 0.613981, 0.323162, -0.463870
5.819995, 0.639991, 0.372774, -0.524006
5.839995, 0.655187, 0.399930, -0.567058
5.859995, 0.657317, 0.411616, -0.592352
5.879995, 0.646808, 0.409280, -0.603831
5.899995, 0.621481, 0.406755, -0.597991
5.919995, 0.587831, 0.399580, -0.587658
5.939995, 0.560626, 0.383315, -0.573498
5.959995, 0.540562, 0.366650, -0.562226
5.979995, 0.532011, 0.359338, -0.558822
5.999995, 0.529828, 0.359123, -0.561202
6.019995, 0.525877, 0.365773, -0.566640
6.039995, 0.504837, 0.372806, -0.567127
6.059995, 0.477599, 0.388322, -0.562077
6.079995, 0.444617, 0.402837, -0.557498
6.099995, 0.415903, 0.412243, -0.550465
6.119995, 0.388193, 0.419713, -0.538203
6.139995, 0.358168, 0.424280, -0.523447
6.159995, 0.334070, 0.427781, -0.509828
6.179995, 0.310752, 0.434171, -0.497780
6.199995, 0.293213, 0.437687, -0.483127
6.219995, 0.285288, 0.432099, -0.470454
6.239995, 0.288872, 0.417760, -0.456671
6.259995, 0.300390, 0.399295, -0.444312
6.279995, 0.311454, 0.385930, -0.436467
6.299995, 0.317233, 0.377072, -0.425700
6.319995, 0.317441, 0.370455, -0.416364
6.339995, 0.320327, 0.358530, -0.404588
6.359995, 0.321311, 0.344501, -0.395637
6.379995, 0.323317, 0.328353, -0.382719
6.399995, 0.321724, 0.311580, -0.371729
6.419995, 0.319844, 0.299912, -0.365127
6.439995, 0.328256, 0.285954, -0.351768
6.459995, 0.333814, 0.260846, -0.346802
6.479995, 0.339801, 0.243033, -0.343662
6.499995, 0.339517, 0.235841, -0.337982
6.519995, 0.328235, 0.238390, -0.335866
6.539995, 0.314840, 0.240031, -0.333928
6.559995, 0.305565, 0.234711, -0.329846
6.579995, 0.297681, 0.226480, -0.322023
6.599995, 0.287607, 0.219373, -0.314641
6.619995, 0.270388, 0.218505, -0.306806
6.639995, 0.252898, 0.223916, -0.300049
6.659995, 0.237058, 0.226133, -0.293414
6.679995, 0.221934, 0.222009, -0.284541
6.699995, 0.206797, 0.214027, -0.269524
6.719995, 0.188644, 0.212338, -0.257603
6.739995, 0.173455, 0.202069, -0.241606
6.759995, 0.168208, 0.197176, -0.226807
6.779994, 0.154149, 0.192532, -0.216471
6.799994, 0.137387, 0.196217, -0.204040
6.819994, 0.127145, 0.196202, -0.196461
6.839994, 0.042654, 0.208093, -0.165276
6.859994, 0.015897, 0.101163, -0.118184
6.879994, 0.031240, -0.000010, -0.025672
6.899994, -0.027639, 0.054078, -0.093368
6.919994, -0.038407, 0.110341, -0.125122
6.939994, 0.051016, 0.047537, -0.057272
6.959994, 0.012726, 0.064672, -0.050777
6.979994, -0.021775, 0.119097, -0.033351
6.999994, -0.088329, 0.066881, 0.017843
7.019994, -0.199941, 0.042511, 0.102960
7.039994, -0.199440, -0.043639, 0.134759
7.059994, -0.197144, -0.128578, 0.227620
7.079994, -0.194530, -0.059896, 0.221474
7.099994, -0.221256, 0.026913, 0.281200
7.119994, -0.214516, 0.024065, 0.279606
7.139994, -0.226892, 0.008039, 0.310919
7.159994, -0.231728, -0.006859, 0.323904
7.179994, -0.177276, 0.037149, 0.292830
7.199994, -0.288874, -0.052316, 0.325548
7.219994, -0.248790, -0.119484, 0.292864
7.239994, -0.292258, -0.057443, 0.286536
7.259994, -0.186844, 0.036938, 0.237459
7.279994, -0.133084, 0.126998, 0.290116
7.299994, -0.203462, 0.012061, 0.263101
7.319994, -0.146772, -0.100158, 0.218268
7.339994, -0.136543, -0.091602, 0.220776
7.359994, -0.062476, 0.055577, 0.215010
7.379994, -0.024592, 0.052862, 0.135425
7.399994, 0.046410, -0.035145, 0.052429
7.419994, 0.020950, -0.086322, -0.013379
7.439994, -0.030942, -0.157350, -0.039886
7.459994, -0.039480, -0.067774, -0.031822
7.479994, 0.032000, 0.079849, 0.003386
7.499994, 0.121490, 0.094703, -0.070292
7.519994, 0.035670, 0.054599, -0.118701
7.539994, -0.005660, -0.046604, -0.097027
7.559994, -0.014999, -0.035005, -0.060517
7.579994, 0.026117, 0.014298, -0.000636
7.599994, 0.064278, 0.028051, 0.002615
7.619994, -0.004676, -0.039484, 0.024108
7.639994, -0.071828, -0.058924, 0.043387
7.659994, -0.088530, -0.028372, 0.104814
7.679994, -0.060433, 0.035895, 0.046569
7.699994, -0.024096, -0.027637, 0.087358
7.719994, 0.046859, -0.077857, 0.003506
7.739994, 0.051524, -0.125344, 0.019032
7.759994, -0.000262, -0.046724, 0.006866
7.779994, 0.018469, -0.011192, -0.002413
7.799994, 0.006727, -0.009122, 0.008006
7.819993, 0.007994, -0.040113, -0.010122
7.839993, 0.022136, -0.065441, 0.000631
7.859993, 0.025791, -0.020773, -0.007570
7.879993, 0.015506, -0.018395, -0.017944
7.899993, 0.005303, -0.029092, -0.018034
7.919993, 0.003797, -0.035822, -0.006493
7.939993, 0.000933, -0.015060, -0.006698
7.959993, 0.014816, -0.017326, -0.009790
7.979993, 0.016975, -0.020522, -0.004478
7.999993, 0.011212, -0.035101, 0.000180
8.019994, 0.008897, -0.028768, -0.014230
8.039994, -0.004036, -0.033254, 0.016508
8.059995, 0.017789, -0.027991, 0.002841
8.079995, 0.012509, -0.011056, -0.010644
8.099996, 0.017050, -0.010817, -0.010422
8.119996, 0.002565, -0.010087, -0.012217
8.139997, 0.002379, -0.032013, 0.002995
8.159997, 0.018084, -0.022912, -0.009800
8.179997, 0.026904, -0.009842, -0.010274
8.199998, 0.019969, -0.003926, -0.013868
8.219998, 0.008333, -0.021350, -0.018600
8.239999, -0.000627, -0.027174, -0.001130
8.259999, 0.007544, 0.000577, -0.007730
