t_ur, ur1, ur2, ur3
2.759998, 0.343373, -0.159033, 0.131687
2.779998, 0.344178, 0.249331, 0.539806
2.799998, 0.344108, 0.250691, 0.540267
2.819998, 0.140048, 0.659710, 0.540169
2.839998, 0.548413, 0.044909, 0.744334
2.859998, 0.139643, 0.250891, 0.744442
2.879998, 0.547661, -0.159684, 0.335519
2.899998, 0.548454, 0.454065, 0.541286
2.919998, 0.344008, 0.657733, 0.133013
2.939998, 0.138870, 0.249711, 0.336892
2.959998, 0.343807, 0.248798, 6.672323
2.979998, 0.548068, 0.453126, 0.743030
2.999998, 0.139426, 0.658787, 0.336277
3.019998, 0.343286, 0.044791, 0.336954
3.039998, 0.343855, 0.452572, 0.745912
3.059998, 0.343793, 0.044931, 0.336638
3.079998, 0.548236, 0.453488, 0.745338
3.099998, 0.139282, 0.248122, 0.744867
3.119998, 0.343764, 0.248184, 0.539810
3.139998, 0.343007, 0.248928, 0.336460
3.159998, 0.343528, 0.249821, 0.335587
3.179998, 0.343112, 0.249081, 0.539559
3.199998, 0.344526, -0.159254, 0.540435
3.219998, 0.547002, 0.453849, 0.335976
3.239998, 0.139502, 0.249969, 0.335941
3.259998, 0.344375, 0.248724, 0.336845
3.279998, 0.343772, 0.250436, 0.744354
3.299998, 0.344304, 0.454647, 0.336684
3.319998, 0.548322, 0.453499, 0.336074
3.339998, 0.344474, 0.249133, 0.948999
3.359998, 0.343938, 0.453365, 0.336146
3.379997, 0.342999, 0.249178, 1.153772
3.399997, 0.343439, 0.454460, 0.540563
3.419997, 0.139223, 0.249682, 0.745089
3.439997, 0.548522, 0.249702, 0.745781
3.459997, 0.344116, 0.453642, 0.336285
3.479997, 0.547641, 0.249697, 0.744820
3.499997, 0.342273, 0.454831, 0.132205
3.519997, 0.343002, 0.249688, 0.539700
3.539997, 0.343469, 0.454483, 0.744413
3.559997, 0.138746, 0.046190, 0.336149
3.579997, 0.343826, 0.454699, 0.335484
3.599997, 0.344081, 0.249254, 0.540314
3.619997, 0.343035, 0.658494, 1.357709
3.639997, 0.547801, 0.044703, 0.131137
3.659997, 0.343845, 0.453651, 0.539667
3.679997, 0.547834, 0.454714, 0.539914
3.699997, 0.344043, 0.455027, 0.335973
3.719997, 0.342766, 0.454930, 0.541026
3.739997, 0.139702, 0.249219, 0.744749
3.759997, 0.344057, 0.862826, 0.540059
3.779997, 0.547558, 0.249253, 0.336272
3.799997, 0.547354, 0.250478, 0.745382
3.819997, 0.343703, 0.453357, 3.607426
3.839997, 0.343926, 0.250128, 0.335607
3.859997, 0.342837, 0.862954, 0.947930
3.879997, 0.548611, 0.453594, 0.745021
3.899997, 0.343826, 0.453845, 0.745543
3.919997, 0.547937, 0.453822, 0.949498
3.939997, 0.547736, 0.249807, 0.949567
3.959997, 0.548766, 0.454361, 0.540814
3.979997, 0.547724, 0.453477, 0.539952
3.999997, 0.548595, 0.454742, 0.539469
4.019997, 0.548657, 0.453578, 0.539969
4.039997, 0.343472, 0.249988, 0.336028
4.059997, 0.547715, 0.658454, 0.540532
4.079997, 0.342977, 0.249350, 0.744990
4.099997, 0.138550, 0.453443, 0.335852
4.119997, 0.317433, 0.237518, 0.554986
4.139997, 0.162492, 0.256154, 0.752387
4.159997, -1.073656, 2.295059, 0.310595
4.179997, 0.351044, 0.056770, 0.319603
4.199997, 0.127509, 0.454074, 0.551532
4.219997, 0.337070, 0.239646, -0.261000
4.239997, 0.551293, 0.447312, -0.683360
4.259997, 2.186182, 0.051302, -0.490621
4.279997, 2.388148, 0.053486, -0.286709
4.299997, 2.383778, 0.250208, -0.686308
4.319997, 2.589643, -0.163656, -1.699964
4.339997, 2.593500, 0.245469, -1.704934
4.359997, 2.388124, -0.158331, -1.711480
4.379997, 1.568394, 0.255214, -1.711590
4.399997, 1.159115, 0.250311, -1.705845
4.419997, 4.633822, 0.246990, -0.682186
4.439997, 1.569499, 0.656370, -0.888796
4.459997, 1.364527, 0.252648, -0.687216
4.479997, 1.569780, 0.252124, -0.074215
4.499997, 0.344827, 0.045226, -0.685259
4.519997, 0.344722, 0.453050, 0.541336
4.539997, 0.343462, 0.044501, -0.685477
4.559997, 0.343256, 0.658930, -0.688588
4.579997, 0.343637, 0.250225, -0.483630
4.599997, 0.343399, 0.249115, -0.890138
4.619997, 0.342860, 0.453787, -0.275145
4.639997, 0.138732, 0.454784, -0.480834
4.659997, 0.343731, 0.249414, -0.686105
4.679996, 0.343732, 0.044504, -0.072290
4.699996, 0.138151, 0.250528, -0.276065
4.719996, 0.548962, 0.044945, -0.890454
4.739996, 0.345056, 0.455207, -0.481686
4.759996, 0.547824, -0.158781, -0.481099
4.779996, 0.139010, 0.250139, -0.686995
4.799996, 0.549717, 0.250257, -0.481204
4.819996, 0.138975, 0.248836, -0.685108
4.839996, 0.343580, 0.249387, -0.686061
4.859996, 0.342922, 0.862963, -0.481501
4.879996, 0.343439, 0.044456, 0.744826
4.899996, 0.342559, 0.657612, -0.685216
4.919996, 0.139617, 0.249164, -0.481247
4.939996, 0.344087, 0.249538, -0.890155
4.959996, 0.344179, 0.249934, -0.277938
4.979996, 0.548129, 0.658984, -0.482080
4.999996, 0.342774, 0.250670, 0.744326
5.019996, 0.343622, 0.249692, 0.950213
5.039996, 0.138348, 0.045124, 0.540790
5.059996, 0.343460, 0.249728, 0.336228
5.079996, 0.548400, 0.454250, 0.336381
5.099996, 0.343598, 0.453603, 0.745521
5.119996, 0.547794, 0.249635, 2.174157
5.139996, 0.343132, 0.862230, 0.744390
5.159996, 0.343481, 0.249458, 1.767125
5.179996, 0.548011, 0.454615, 0.540163
5.199996, 0.548184, 0.044115, 0.540278
5.219996, 0.344736, 0.044767, 0.336420
5.239996, 0.547807, 0.249318, 0.540627
5.259996, 0.342524, 0.250042, 0.335895
5.279996, 0.345234, 0.209926, 0.554443
5.299996, 0.346012, 0.453404, -0.668406
5.319996, 0.947236, -7.893855, -0.503058
5.339996, 0.348278, 0.073986, 0.713199
