t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -13891.000000, -8150.000000, 1084.000000, -63.000000, 75.000000, 197.000000
0.020000, -13911.000000, -8149.000000, 1068.000000, -70.000000, 82.000000, 184.000000
0.040000, -13907.000000, -8156.000000, 1066.000000, -65.000000, 93.000000, 184.000000
0.060000, -13907.000000, -8161.000000, 1098.000000, -55.000000, 84.000000, 194.000000
0.080000, -13916.000000, -8158.000000, 1089.000000, -72.000000, 86.000000, 175.000000
0.100000, -13906.000000, -8158.000000, 1068.000000, -68.000000, 88.000000, 192.000000
0.120000, -13895.000000, -8167.000000, 1072.000000, -73.000000, 86.000000, 184.000000
0.140000, -13922.000000, -8151.000000, 1098.000000, -67.000000, 84.000000, 178.000000
0.160000, -13919.000000, -8152.000000, 1099.000000, -70.000000, 86.000000, 181.000000
0.180000, -13897.000000, -8163.000000, 1068.000000, -68.000000, 87.000000, 191.000000
0.200000, -13931.000000, -8153.000000, 1095.000000, -59.000000, 78.000000, 193.000000
0.220000, -13905.000000, -8164.000000, 1091.000000, -69.000000, 81.000000, 189.000000
0.240000, -13873.000000, -8158.000000, 1075.000000, -67.000000, 78.000000, 182.000000
0.260000, -13917.000000, -8162.000000, 1050.000000, -67.000000, 95.000000, 193.000000
0.280000, -13897.000000, -8137.000000, 1086.000000, -67.000000, 89.000000, 188.000000
0.300000, -13912.000000, -8131.000000, 1064.000000, -65.000000, 90.000000, 195.000000
0.320000, -13903.000000, -8145.000000, 1056.000000, -71.000000, 85.000000, 193.000000
0.340000, -13875.000000, -8166.000000, 1076.000000, -72.000000, 90.000000, 193.000000
0.360000, -13916.000000, -8161.000000, 1099.000000, -68.000000, 83.000000, 196.000000
0.380000, -13932.000000, -8138.000000, 1067.000000, -67.000000, 89.000000, 181.000000
0.400000, -13897.000000, -8165.000000, 1066.000000, -70.000000, 85.000000, 187.000000
0.420000, -13907.000000, -8166.000000, 1080.000000, -67.000000, 88.000000, 192.000000
0.440000, -13934.000000, -8157.000000, 1074.000000, -72.000000, 88.000000, 182.000000
0.460000, -13898.000000, -8178.000000, 1066.000000, -62.000000, 89.000000, 180.000000
0.480000, -13898.000000, -8142.000000, 1077.000000, -69.000000, 82.000000, 197.000000
0.500000, -13902.000000, -8146.000000, 1069.000000, -64.000000, 90.000000, 186.000000
0.520000, -13912.000000, -8143.000000, 1059.000000, -72.000000, 92.000000, 184.000000
0.540000, -13915.000000, -8148.000000, 1067.000000, -62.000000, 86.000000, 186.000000
0.560000, -13901.000000, -8150.000000, 1077.000000, -68.000000, 82.000000, 185.000000
0.580000, -13918.000000, -8144.000000, 1113.000000, -66.000000, 86.000000, 192.000000
0.600000, -13918.000000, -8163.000000, 1107.000000, -70.000000, 92.000000, 193.000000
0.620000, -13923.000000, -8161.000000, 1061.000000, -68.000000, 76.000000, 191.000000
0.640000, -13909.000000, -8133.000000, 1098.000000, -72.000000, 80.000000, 187.000000
0.660000, -13900.000000, -8158.000000, 1074.000000, -73.000000, 81.000000, 195.000000
0.680000, -13898.000000, -8151.000000, 1057.000000, -70.000000, 80.000000, 187.000000
0.700000, -13918.000000, -8163.000000, 1092.000000, -63.000000, 79.000000, 194.000000
0.720000, -13897.000000, -8148.000000, 1095.000000, -64.000000, 93.000000, 181.000000
0.740000, -13895.000000, -8140.000000, 1051.000000, -60.000000, 87.000000, 187.000000
