t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -11186.000000, 248.000000, 378.000000, -67.000000, 138.000000, 27.000000
0.020000, -11171.000000, 255.000000, 382.000000, -61.000000, 127.000000, 15.000000
0.040000, -11189.000000, 268.000000, 344.000000, -48.000000, 140.000000, 16.000000
0.060000, -11207.000000, 239.000000, 417.000000, -55.000000, 135.000000, 20.000000
0.080000, -11186.000000, 265.000000, 397.000000, -59.000000, 140.000000, 21.000000
0.100000, -11173.000000, 286.000000, 407.000000, -54.000000, 137.000000, 23.000000
0.120000, -11180.000000, 255.000000, 433.000000, -52.000000, 141.000000, 18.000000
0.140000, -11199.000000, 253.000000, 396.000000, -56.000000, 131.000000, 26.000000
0.160000, -11190.000000, 259.000000, 402.000000, -53.000000, 132.000000, 24.000000
0.180000, -11194.000000, 253.000000, 403.000000, -49.000000, 127.000000, 18.000000
0.200000, -11201.000000, 256.000000, 401.000000, -48.000000, 137.000000, 27.000000
0.220000, -11204.000000, 292.000000, 422.000000, -54.000000, 133.000000, 29.000000
0.240000, -11196.000000, 264.000000, 386.000000, -57.000000, 131.000000, 21.000000
0.260000, -11170.000000, 266.000000, 386.000000, -48.000000, 132.000000, 25.000000
0.280000, -11189.000000, 296.000000, 401.000000, -58.000000, 135.000000, 26.000000
0.300000, -11190.000000, 260.000000, 394.000000, -62.000000, 135.000000, 25.000000
0.320000, -11204.000000, 249.000000, 403.000000, -56.000000, 136.000000, 18.000000
0.340000, -11188.000000, 261.000000, 398.000000, -55.000000, 131.000000, 6.000000
0.360000, -11206.000000, 261.000000, 387.000000, -51.000000, 134.000000, 25.000000
0.380000, -11188.000000, 268.000000, 406.000000, -52.000000, 135.000000, 24.000000
0.400000, -11177.000000, 275.000000, 392.000000, -53.000000, 129.000000, 25.000000
0.420000, -11202.000000, 248.000000, 379.000000, -58.000000, 142.000000, 19.000000
0.440000, -11178.000000, 267.000000, 406.000000, -57.000000, 139.000000, 20.000000
0.460000, -11192.000000, 270.000000, 399.000000, -64.000000, 124.000000, 15.000000
0.480000, -11182.000000, 282.000000, 392.000000, -51.000000, 132.000000, 13.000000
0.500000, -11213.000000, 262.000000, 401.000000, -59.000000, 137.000000, 19.000000
0.520000, -11187.000000, 263.000000, 405.000000, -59.000000, 143.000000, 24.000000
0.540000, -11186.000000, 285.000000, 412.000000, -50.000000, 146.000000, 28.000000
0.560000, -11180.000000, 273.000000, 401.000000, -53.000000, 146.000000, 25.000000
0.580000, -11173.000000, 245.000000, 418.000000, -53.000000, 133.000000, 6.000000
0.600000, -11196.000000, 267.000000, 369.000000, -53.000000, 138.000000, 17.000000
0.620000, -11182.000000, 272.000000, 402.000000, -53.000000, 142.000000, 16.000000
0.640000, -11183.000000, 278.000000, 453.000000, -59.000000, 131.000000, 21.000000
0.660000, -11204.000000, 280.000000, 438.000000, -46.000000, 147.000000, 12.000000
0.680000, -11209.000000, 264.000000, 388.000000, -59.000000, 127.000000, 17.000000
0.700000, -11208.000000, 278.000000, 406.000000, -46.000000, 131.000000, 15.000000
0.720000, -11187.000000, 267.000000, 426.000000, -53.000000, 142.000000, 15.000000
0.740000, -11204.000000, 277.000000, 408.000000, -52.000000, 143.000000, 19.000000
0.760000, -11176.000000, 289.000000, 431.000000, -58.000000, 143.000000, 31.000000
0.780000, -11197.000000, 280.000000, 392.000000, -63.000000, 142.000000, 22.000000
0.800000, -11198.000000, 263.000000, 397.000000, -54.000000, 135.000000, 18.000000
0.820000, -11186.000000, 262.000000, 408.000000, -56.000000, 130.000000, 20.000000
0.840000, -11169.000000, 269.000000, 406.000000, -60.000000, 134.000000, 26.000000
0.860000, -11200.000000, 237.000000, 371.000000, -54.000000, 130.000000, 22.000000
0.880000, -11200.000000, 279.000000, 395.000000, -69.000000, 125.000000, 20.000000
0.900000, -11186.000000, 273.000000, 403.000000, -56.000000, 132.000000, 15.000000
0.920000, -11186.000000, 252.000000, 373.000000, -49.000000, 142.000000, 23.000000
0.940000, -11191.000000, 277.000000, 411.000000, -50.000000, 130.000000, 14.000000
0.960000, -11205.000000, 260.000000, 389.000000, -50.000000, 139.000000, 17.000000
0.980000, -11214.000000, 249.000000, 399.000000, -57.000000, 137.000000, 24.000000
1.000000, -11192.000000, 254.000000, 411.000000, -54.000000, 136.000000, 17.000000
1.020000, -11159.000000, 282.000000, 367.000000, -67.000000, 132.000000, 18.000000
1.040000, -11172.000000, 281.000000, 389.000000, -54.000000, 134.000000, 22.000000
