t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 542.000000, -4403.000000, -15167.000000, -66.000000, 76.000000, 180.000000
0.020000, 523.000000, -4410.000000, -15108.000000, -65.000000, 75.000000, 184.000000
0.040000, 511.000000, -4390.000000, -15117.000000, -72.000000, 71.000000, 190.000000
0.060000, 536.000000, -4375.000000, -15109.000000, -69.000000, 85.000000, 189.000000
0.080000, 527.000000, -4407.000000, -15161.000000, -69.000000, 87.000000, 188.000000
0.100000, 540.000000, -4411.000000, -15147.000000, -64.000000, 88.000000, 197.000000
0.120000, 541.000000, -4406.000000, -15139.000000, -69.000000, 86.000000, 190.000000
0.140000, 528.000000, -4413.000000, -15137.000000, -63.000000, 86.000000, 187.000000
0.160000, 518.000000, -4407.000000, -15119.000000, -67.000000, 90.000000, 195.000000
0.180000, 517.000000, -4402.000000, -15150.000000, -64.000000, 82.000000, 189.000000
0.200000, 532.000000, -4388.000000, -15107.000000, -58.000000, 83.000000, 190.000000
0.220000, 544.000000, -4389.000000, -15146.000000, -73.000000, 89.000000, 186.000000
0.240000, 533.000000, -4413.000000, -15145.000000, -61.000000, 91.000000, 185.000000
0.260000, 510.000000, -4412.000000, -15164.000000, -66.000000, 86.000000, 183.000000
0.280000, 557.000000, -4414.000000, -15133.000000, -77.000000, 86.000000, 197.000000
0.300000, 539.000000, -4420.000000, -15130.000000, -79.000000, 83.000000, 193.000000
0.320000, 527.000000, -4392.000000, -15176.000000, -72.000000, 85.000000, 203.000000
0.340000, 516.000000, -4406.000000, -15129.000000, -64.000000, 82.000000, 185.000000
0.360000, 545.000000, -4394.000000, -15118.000000, -80.000000, 90.000000, 183.000000
0.380000, 525.000000, -4412.000000, -15140.000000, -71.000000, 82.000000, 180.000000
0.400000, 529.000000, -4419.000000, -15143.000000, -67.000000, 88.000000, 196.000000
0.420000, 525.000000, -4400.000000, -15164.000000, -71.000000, 89.000000, 188.000000
0.440000, 551.000000, -4409.000000, -15125.000000, -62.000000, 78.000000, 199.000000
0.460000, 541.000000, -4427.000000, -15132.000000, -75.000000, 81.000000, 183.000000
0.480000, 530.000000, -4402.000000, -15104.000000, -68.000000, 83.000000, 205.000000
0.500000, 519.000000, -4386.000000, -15148.000000, -65.000000, 94.000000, 197.000000
0.520000, 536.000000, -4434.000000, -15137.000000, -62.000000, 78.000000, 190.000000
0.540000, 520.000000, -4417.000000, -15159.000000, -64.000000, 78.000000, 188.000000
0.560000, 531.000000, -4406.000000, -15094.000000, -71.000000, 80.000000, 188.000000
0.580000, 533.000000, -4406.000000, -15165.000000, -67.000000, 80.000000, 196.000000
0.600000, 529.000000, -4415.000000, -15159.000000, -74.000000, 86.000000, 197.000000
0.620000, 512.000000, -4402.000000, -15148.000000, -76.000000, 75.000000, 184.000000
0.640000, 528.000000, -4417.000000, -15139.000000, -67.000000, 81.000000, 184.000000
0.660000, 524.000000, -4399.000000, -15165.000000, -74.000000, 90.000000, 189.000000
0.680000, 554.000000, -4404.000000, -15145.000000, -67.000000, 84.000000, 182.000000
0.700000, 545.000000, -4413.000000, -15109.000000, -68.000000, 84.000000, 191.000000
0.720000, 545.000000, -4404.000000, -15162.000000, -73.000000, 88.000000, 191.000000
0.740000, 530.000000, -4388.000000, -15106.000000, -76.000000, 85.000000, 187.000000
0.760000, 521.000000, -4400.000000, -15138.000000, -64.000000, 86.000000, 190.000000
0.780000, 546.000000, -4402.000000, -15160.000000, -71.000000, 80.000000, 181.000000
0.800000, 538.000000, -4408.000000, -15151.000000, -67.000000, 83.000000, 187.000000
0.820000, 545.000000, -4415.000000, -15141.000000, -78.000000, 87.000000, 194.000000
0.840000, 547.000000, -4422.000000, -15183.000000, -75.000000, 82.000000, 185.000000
0.860000, 533.000000, -4400.000000, -15109.000000, -67.000000, 84.000000, 188.000000
0.880000, 519.000000, -4406.000000, -15121.000000, -72.000000, 79.000000, 185.000000
0.900000, 547.000000, -4433.000000, -15118.000000, -75.000000, 88.000000, 182.000000
0.920000, 514.000000, -4422.000000, -15128.000000, -71.000000, 93.000000, 190.000000
0.940000, 520.000000, -4416.000000, -15138.000000, -65.000000, 85.000000, 194.000000
0.960000, 525.000000, -4406.000000, -15166.000000, -71.000000, 80.000000, 194.000000
0.980000, 554.000000, -4423.000000, -15160.000000, -75.000000, 86.000000, 182.000000
1.000000, 516.000000, -4383.000000, -15147.000000, -70.000000, 80.000000, 194.000000
1.020000, 547.000000, -4393.000000, -15153.000000, -67.000000, 91.000000, 180.000000
1.040000, 517.000000, -4399.000000, -15116.000000, -59.000000, 90.000000, 189.000000
1.060000, 539.000000, -4385.000000, -15154.000000, -75.000000, 90.000000, 188.000000
1.080000, 507.000000, -4408.000000, -15110.000000, -62.000000, 81.000000, 200.000000
1.100000, 537.000000, -4411.000000, -15147.000000, -71.000000, 92.000000, 192.000000
1.120000, 522.000000, -4413.000000, -15096.000000, -69.000000, 89.000000, 182.000000
1.140000, 535.000000, -4412.000000, -15146.000000, -77.000000, 81.000000, 189.000000
1.159999, 519.000000, -4420.000000, -15127.000000, -71.000000, 80.000000, 197.000000
1.179999, 528.000000, -4387.000000, -15133.000000, -61.000000, 96.000000, 195.000000
1.199999, 525.000000, -4397.000000, -15141.000000, -67.000000, 91.000000, 192.000000
1.219999, 519.000000, -4409.000000, -15162.000000, -73.000000, 93.000000, 197.000000
1.239999, 532.000000, -4415.000000, -15139.000000, -68.000000, 91.000000, 187.000000
1.259999, 539.000000, -4400.000000, -15118.000000, -69.000000, 77.000000, 191.000000
1.279999, 519.000000, -4422.000000, -15110.000000, -70.000000, 76.000000, 198.000000
1.299999, 524.000000, -4411.000000, -15134.000000, -63.000000, 86.000000, 190.000000
1.319999, 543.000000, -4425.000000, -15151.000000, -70.000000, 81.000000, 177.000000
1.339999, 538.000000, -4393.000000, -15131.000000, -74.000000, 84.000000, 187.000000
1.359999, 542.000000, -4397.000000, -15139.000000, -68.000000, 77.000000, 190.000000
1.379999, 547.000000, -4409.000000, -15107.000000, -70.000000, 86.000000, 182.000000
1.399999, 535.000000, -4394.000000, -15164.000000, -75.000000, 78.000000, 191.000000
1.419999, 541.000000, -4390.000000, -15113.000000, -74.000000, 77.000000, 186.000000
1.439999, 531.000000, -4406.000000, -15162.000000, -69.000000, 77.000000, 180.000000
1.459999, 496.000000, -4431.000000, -15113.000000, -75.000000, 86.000000, 191.000000
1.479999, 537.000000, -4411.000000, -15149.000000, -68.000000, 71.000000, 190.000000
1.499999, 534.000000, -4419.000000, -15120.000000, -64.000000, 87.000000, 195.000000
1.519999, 528.000000, -4426.000000, -15130.000000, -73.000000, 72.000000, 186.000000
1.539999, 539.000000, -4402.000000, -15115.000000, -70.000000, 87.000000, 178.000000
1.559999, 540.000000, -4413.000000, -15118.000000, -76.000000, 83.000000, 184.000000
1.579999, 528.000000, -4433.000000, -15121.000000, -76.000000, 82.000000, 194.000000
1.599999, 497.000000, -4414.000000, -15137.000000, -83.000000, 76.000000, 187.000000
1.619999, 525.000000, -4412.000000, -15145.000000, -69.000000, 81.000000, 183.000000
1.639999, 534.000000, -4405.000000, -15149.000000, -72.000000, 76.000000, 187.000000
1.659999, 537.000000, -4412.000000, -15158.000000, -60.000000, 82.000000, 179.000000
1.679999, 537.000000, -4413.000000, -15169.000000, -66.000000, 80.000000, 177.000000
1.699999, 530.000000, -4403.000000, -15148.000000, -68.000000, 74.000000, 194.000000
1.719999, 537.000000, -4403.000000, -15157.000000, -71.000000, 84.000000, 183.000000
1.739999, 539.000000, -4415.000000, -15145.000000, -71.000000, 84.000000, 190.000000
1.759999, 521.000000, -4433.000000, -15128.000000, -67.000000, 82.000000, 200.000000
1.779999, 511.000000, -4411.000000, -15139.000000, -73.000000, 87.000000, 199.000000
1.799999, 505.000000, -4385.000000, -15163.000000, -69.000000, 80.000000, 205.000000
1.819999, 540.000000, -4409.000000, -15139.000000, -69.000000, 90.000000, 185.000000
1.839999, 557.000000, -4417.000000, -15149.000000, -69.000000, 86.000000, 184.000000
1.859999, 531.000000, -4392.000000, -15144.000000, -73.000000, 75.000000, 187.000000
1.879999, 512.000000, -4410.000000, -15122.000000, -74.000000, 78.000000, 191.000000
1.899999, 522.000000, -4405.000000, -15104.000000, -65.000000, 75.000000, 191.000000
1.919999, 521.000000, -4422.000000, -15164.000000, -67.000000, 84.000000, 197.000000
1.939999, 515.000000, -4390.000000, -15149.000000, -70.000000, 85.000000, 191.000000
1.959999, 532.000000, -4385.000000, -15126.000000, -67.000000, 93.000000, 203.000000
1.979999, 526.000000, -4380.000000, -15140.000000, -69.000000, 88.000000, 190.000000
1.999999, 523.000000, -4422.000000, -15131.000000, -71.000000, 89.000000, 186.000000
2.019999, 513.000000, -4408.000000, -15107.000000, -72.000000, 83.000000, 189.000000
2.039999, 519.000000, -4405.000000, -15144.000000, -75.000000, 81.000000, 196.000000
2.059999, 518.000000, -4385.000000, -15125.000000, -66.000000, 80.000000, 183.000000
2.079999, 523.000000, -4432.000000, -15149.000000, -67.000000, 85.000000, 187.000000
2.099999, 521.000000, -4402.000000, -15141.000000, -65.000000, 81.000000, 187.000000
2.119999, 522.000000, -4393.000000, -15119.000000, -73.000000, 86.000000, 184.000000
2.139999, 515.000000, -4405.000000, -15141.000000, -69.000000, 88.000000, 188.000000
2.159999, 527.000000, -4387.000000, -15136.000000, -68.000000, 86.000000, 179.000000
2.179999, 522.000000, -4407.000000, -15106.000000, -68.000000, 80.000000, 185.000000
2.199999, 536.000000, -4404.000000, -15130.000000, -63.000000, 84.000000, 190.000000
2.219999, 522.000000, -4424.000000, -15148.000000, -71.000000, 90.000000, 182.000000
2.239999, 520.000000, -4410.000000, -15115.000000, -75.000000, 85.000000, 200.000000
2.259999, 532.000000, -4406.000000, -15091.000000, -68.000000, 85.000000, 195.000000
2.279999, 545.000000, -4415.000000, -15148.000000, -64.000000, 90.000000, 181.000000
2.299999, 523.000000, -4399.000000, -15142.000000, -68.000000, 78.000000, 197.000000
2.319999, 511.000000, -4412.000000, -15121.000000, -70.000000, 79.000000, 197.000000
2.339998, 515.000000, -4434.000000, -15116.000000, -65.000000, 77.000000, 196.000000
2.359998, 533.000000, -4417.000000, -15167.000000, -65.000000, 81.000000, 190.000000
2.379998, 544.000000, -4403.000000, -15143.000000, -71.000000, 92.000000, 191.000000
2.399998, 544.000000, -4403.000000, -15144.000000, -66.000000, 74.000000, 189.000000
2.419998, 556.000000, -4401.000000, -15156.000000, -71.000000, 87.000000, 207.000000
2.439998, 522.000000, -4405.000000, -15140.000000, -68.000000, 80.000000, 186.000000
2.459998, 508.000000, -4420.000000, -15145.000000, -65.000000, 77.000000, 175.000000
2.479998, 492.000000, -4428.000000, -15122.000000, -64.000000, 90.000000, 201.000000
2.499998, 526.000000, -4428.000000, -15159.000000, -66.000000, 81.000000, 180.000000
2.519998, 522.000000, -4403.000000, -15152.000000, -69.000000, 84.000000, 194.000000
2.539998, 522.000000, -4386.000000, -15133.000000, -75.000000, 88.000000, 186.000000
2.559998, 533.000000, -4395.000000, -15141.000000, -68.000000, 87.000000, 185.000000
2.579998, 523.000000, -4381.000000, -15156.000000, -73.000000, 83.000000, 200.000000
2.599998, 512.000000, -4411.000000, -15131.000000, -64.000000, 81.000000, 191.000000
