t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -11350.000000, 170.000000, -10578.000000, -16.000000, 155.000000, 98.000000
0.020000, -11343.000000, 145.000000, -10596.000000, -11.000000, 155.000000, 97.000000
0.040000, -11357.000000, 178.000000, -10586.000000, -10.000000, 156.000000, 101.000000
0.060000, -11355.000000, 197.000000, -10579.000000, -14.000000, 159.000000, 95.000000
0.080000, -11339.000000, 137.000000, -10635.000000, -23.000000, 155.000000, 97.000000
0.100000, -11359.000000, 163.000000, -10558.000000, -15.000000, 161.000000, 100.000000
0.120000, -11365.000000, 140.000000, -10600.000000, -21.000000, 160.000000, 92.000000
0.140000, -11335.000000, 121.000000, -10586.000000, -10.000000, 159.000000, 85.000000
0.160000, -11385.000000, 115.000000, -10604.000000, -16.000000, 157.000000, 96.000000
0.180000, -11343.000000, 159.000000, -10569.000000, -13.000000, 157.000000, 100.000000
0.200000, -11343.000000, 162.000000, -10585.000000, -24.000000, 163.000000, 93.000000
0.220000, -11369.000000, 168.000000, -10582.000000, -17.000000, 153.000000, 95.000000
0.240000, -11364.000000, 156.000000, -10592.000000, -16.000000, 163.000000, 99.000000
0.260000, -11349.000000, 147.000000, -10592.000000, -15.000000, 164.000000, 97.000000
0.280000, -11342.000000, 151.000000, -10567.000000, -16.000000, 159.000000, 96.000000
0.300000, -11345.000000, 172.000000, -10567.000000, -15.000000, 157.000000, 87.000000
0.320000, -11342.000000, 198.000000, -10576.000000, -19.000000, 157.000000, 99.000000
0.340000, -11359.000000, 171.000000, -10580.000000, -10.000000, 148.000000, 107.000000
0.360000, -11344.000000, 158.000000, -10610.000000, -23.000000, 160.000000, 92.000000
0.380000, -11355.000000, 165.000000, -10597.000000, -17.000000, 157.000000, 91.000000
0.400000, -11332.000000, 140.000000, -10584.000000, -19.000000, 150.000000, 85.000000
0.420000, -11339.000000, 135.000000, -10611.000000, -10.000000, 157.000000, 90.000000
0.440000, -11325.000000, 150.000000, -10593.000000, -16.000000, 153.000000, 105.000000
0.460000, -11350.000000, 179.000000, -10562.000000, -11.000000, 150.000000, 96.000000
0.480000, -11342.000000, 194.000000, -10593.000000, -21.000000, 161.000000, 96.000000
0.500000, -11323.000000, 175.000000, -10585.000000, -14.000000, 157.000000, 93.000000
0.520000, -11324.000000, 135.000000, -10598.000000, -21.000000, 157.000000, 86.000000
0.540000, -11346.000000, 161.000000, -10617.000000, -6.000000, 162.000000, 90.000000
0.560000, -11350.000000, 182.000000, -10634.000000, -9.000000, 169.000000, 87.000000
0.580000, -11314.000000, 182.000000, -10629.000000, -11.000000, 165.000000, 96.000000
0.600000, -11347.000000, 182.000000, -10604.000000, -8.000000, 159.000000, 89.000000
0.620000, -11345.000000, 177.000000, -10569.000000, -15.000000, 157.000000, 85.000000
0.640000, -11341.000000, 174.000000, -10591.000000, -11.000000, 152.000000, 95.000000
0.660000, -11325.000000, 156.000000, -10587.000000, -13.000000, 150.000000, 101.000000
0.680000, -11372.000000, 178.000000, -10587.000000, -12.000000, 165.000000, 95.000000
0.700000, -11345.000000, 172.000000, -10585.000000, -14.000000, 155.000000, 91.000000
0.720000, -11338.000000, 154.000000, -10579.000000, -13.000000, 155.000000, 98.000000
0.740000, -11347.000000, 143.000000, -10595.000000, -16.000000, 162.000000, 93.000000
0.760000, -11342.000000, 139.000000, -10577.000000, -12.000000, 161.000000, 94.000000
0.780000, -11338.000000, 156.000000, -10591.000000, -17.000000, 156.000000, 89.000000
0.800000, -11354.000000, 168.000000, -10565.000000, -12.000000, 157.000000, 108.000000
0.820000, -11334.000000, 155.000000, -10583.000000, -8.000000, 163.000000, 96.000000
0.840000, -11320.000000, 149.000000, -10592.000000, -13.000000, 161.000000, 82.000000
0.860000, -11366.000000, 165.000000, -10581.000000, -11.000000, 147.000000, 110.000000
0.880000, -11363.000000, 167.000000, -10580.000000, -10.000000, 150.000000, 93.000000
0.900000, -11363.000000, 176.000000, -10567.000000, -17.000000, 160.000000, 89.000000
0.920000, -11344.000000, 174.000000, -10568.000000, -17.000000, 156.000000, 87.000000
0.940000, -11345.000000, 176.000000, -10622.000000, -10.000000, 167.000000, 80.000000
0.960000, -11352.000000, 183.000000, -10575.000000, -13.000000, 160.000000, 89.000000
0.980000, -11344.000000, 133.000000, -10587.000000, -12.000000, 162.000000, 90.000000
1.000000, -11358.000000, 118.000000, -10512.000000, -5.000000, 161.000000, 89.000000
1.020000, -11373.000000, 227.000000, -10575.000000, -20.000000, 169.000000, 95.000000
1.040000, -11311.000000, 189.000000, -10643.000000, -14.000000, 156.000000, 98.000000
1.060000, -11368.000000, 150.000000, -10580.000000, -13.000000, 147.000000, 88.000000
1.080000, -11383.000000, 151.000000, -10555.000000, -17.000000, 172.000000, 96.000000
1.100000, -11330.000000, 195.000000, -10605.000000, -8.000000, 160.000000, 110.000000
1.120000, -11336.000000, 116.000000, -10602.000000, -4.000000, 159.000000, 97.000000
1.140000, -11367.000000, 165.000000, -10534.000000, -5.000000, 159.000000, 97.000000
1.159999, -11350.000000, 147.000000, -10620.000000, -10.000000, 150.000000, 98.000000
1.179999, -11349.000000, 163.000000, -10590.000000, -14.000000, 161.000000, 98.000000
1.199999, -11347.000000, 180.000000, -10562.000000, -14.000000, 166.000000, 97.000000
1.219999, -11367.000000, 172.000000, -10536.000000, -10.000000, 154.000000, 99.000000
1.239999, -11362.000000, 156.000000, -10567.000000, -14.000000, 165.000000, 92.000000
1.259999, -11324.000000, 154.000000, -10577.000000, -25.000000, 156.000000, 93.000000
1.279999, -11345.000000, 167.000000, -10625.000000, -8.000000, 170.000000, 95.000000
1.299999, -11333.000000, 161.000000, -10575.000000, -14.000000, 157.000000, 91.000000
1.319999, -11360.000000, 139.000000, -10583.000000, -8.000000, 158.000000, 97.000000
1.339999, -11335.000000, 163.000000, -10591.000000, -12.000000, 158.000000, 91.000000
1.359999, -11345.000000, 175.000000, -10567.000000, -10.000000, 159.000000, 94.000000
1.379999, -11343.000000, 171.000000, -10620.000000, -10.000000, 160.000000, 86.000000
1.399999, -11356.000000, 189.000000, -10568.000000, -12.000000, 152.000000, 86.000000
1.419999, -11328.000000, 173.000000, -10624.000000, -13.000000, 175.000000, 96.000000
1.439999, -11342.000000, 170.000000, -10594.000000, -15.000000, 159.000000, 100.000000
1.459999, -11350.000000, 174.000000, -10554.000000, -16.000000, 164.000000, 88.000000
1.479999, -11350.000000, 179.000000, -10611.000000, -8.000000, 161.000000, 98.000000
1.499999, -11358.000000, 189.000000, -10589.000000, -10.000000, 161.000000, 94.000000
1.519999, -11362.000000, 173.000000, -10576.000000, -13.000000, 157.000000, 94.000000
1.539999, -11343.000000, 141.000000, -10580.000000, -15.000000, 156.000000, 96.000000
1.559999, -11327.000000, 170.000000, -10569.000000, -9.000000, 157.000000, 100.000000
1.579999, -11345.000000, 158.000000, -10586.000000, -25.000000, 166.000000, 92.000000
1.599999, -11346.000000, 155.000000, -10565.000000, -24.000000, 159.000000, 96.000000
1.619999, -11328.000000, 191.000000, -10574.000000, -14.000000, 163.000000, 93.000000
1.639999, -11368.000000, 175.000000, -10605.000000, -14.000000, 156.000000, 97.000000
1.659999, -11369.000000, 175.000000, -10621.000000, -13.000000, 162.000000, 98.000000
1.679999, -11331.000000, 147.000000, -10616.000000, -11.000000, 163.000000, 90.000000
1.699999, -11367.000000, 165.000000, -10559.000000, -12.000000, 161.000000, 95.000000
1.719999, -11346.000000, 167.000000, -10564.000000, -20.000000, 162.000000, 92.000000
1.739999, -11349.000000, 181.000000, -10598.000000, -20.000000, 157.000000, 84.000000
1.759999, -11338.000000, 188.000000, -10602.000000, -13.000000, 166.000000, 99.000000
1.779999, -11348.000000, 139.000000, -10578.000000, -15.000000, 145.000000, 86.000000
1.799999, -11366.000000, 141.000000, -10590.000000, -10.000000, 150.000000, 94.000000
1.819999, -11347.000000, 184.000000, -10583.000000, -9.000000, 170.000000, 94.000000
1.839999, -11352.000000, 177.000000, -10616.000000, -13.000000, 160.000000, 93.000000
1.859999, -11351.000000, 168.000000, -10613.000000, -10.000000, 161.000000, 85.000000
1.879999, -11332.000000, 201.000000, -10583.000000, -18.000000, 159.000000, 88.000000
1.899999, -11365.000000, 164.000000, -10573.000000, -13.000000, 148.000000, 92.000000
1.919999, -11338.000000, 141.000000, -10603.000000, -13.000000, 165.000000, 87.000000
1.939999, -11353.000000, 160.000000, -10598.000000, -14.000000, 153.000000, 82.000000
1.959999, -11338.000000, 158.000000, -10576.000000, -16.000000, 156.000000, 97.000000
1.979999, -11358.000000, 173.000000, -10594.000000, -17.000000, 158.000000, 80.000000
1.999999, -11342.000000, 185.000000, -10587.000000, -10.000000, 148.000000, 91.000000
2.019999, -11350.000000, 187.000000, -10593.000000, -14.000000, 152.000000, 90.000000
2.039999, -11361.000000, 155.000000, -10573.000000, -19.000000, 158.000000, 104.000000
2.059999, -11365.000000, 192.000000, -10584.000000, -16.000000, 155.000000, 94.000000
2.079999, -11353.000000, 152.000000, -10588.000000, -7.000000, 163.000000, 89.000000
2.099999, -11342.000000, 177.000000, -10590.000000, -25.000000, 156.000000, 89.000000
2.119999, -11330.000000, 168.000000, -10630.000000, -6.000000, 159.000000, 81.000000
2.139999, -11326.000000, 144.000000, -10585.000000, -19.000000, 162.000000, 92.000000
2.159999, -11363.000000, 140.000000, -10572.000000, -10.000000, 163.000000, 87.000000
2.179999, -11366.000000, 150.000000, -10605.000000, -17.000000, 166.000000, 81.000000
2.199999, -11349.000000, 184.000000, -10577.000000, -17.000000, 164.000000, 93.000000
2.219999, -11339.000000, 167.000000, -10562.000000, -12.000000, 162.000000, 93.000000
2.239999, -11343.000000, 153.000000, -10594.000000, -19.000000, 161.000000, 88.000000
2.259999, -11371.000000, 161.000000, -10582.000000, -8.000000, 169.000000, 93.000000
2.279999, -11360.000000, 199.000000, -10582.000000, -11.000000, 170.000000, 101.000000
2.299999, -11336.000000, 158.000000, -10556.000000, -19.000000, 157.000000, 87.000000
2.319999, -11360.000000, 153.000000, -10573.000000, -8.000000, 159.000000, 84.000000
2.339998, -11348.000000, 166.000000, -10589.000000, -11.000000, 163.000000, 99.000000
2.359998, -11342.000000, 142.000000, -10599.000000, -11.000000, 153.000000, 101.000000
2.379998, -11350.000000, 165.000000, -10576.000000, -21.000000, 165.000000, 98.000000
2.399998, -11365.000000, 150.000000, -10586.000000, -3.000000, 163.000000, 90.000000
2.419998, -11344.000000, 187.000000, -10573.000000, -10.000000, 155.000000, 92.000000
2.439998, -11343.000000, 195.000000, -10586.000000, -16.000000, 147.000000, 88.000000
2.459998, -11363.000000, 172.000000, -10586.000000, -25.000000, 164.000000, 90.000000
2.479998, -11341.000000, 187.000000, -10595.000000, -23.000000, 156.000000, 98.000000
2.499998, -11356.000000, 172.000000, -10575.000000, -7.000000, 164.000000, 92.000000
2.519998, -11351.000000, 162.000000, -10588.000000, -17.000000, 166.000000, 98.000000
2.539998, -11354.000000, 157.000000, -10579.000000, -14.000000, 160.000000, 101.000000
2.559998, -11340.000000, 170.000000, -10565.000000, -11.000000, 160.000000, 84.000000
2.579998, -11339.000000, 156.000000, -10554.000000, -13.000000, 160.000000, 90.000000
2.599998, -11360.000000, 183.000000, -10577.000000, -14.000000, 161.000000, 80.000000
2.619998, -11362.000000, 156.000000, -10560.000000, -16.000000, 169.000000, 92.000000
2.639998, -11362.000000, 161.000000, -10578.000000, -18.000000, 157.000000, 96.000000
2.659998, -11328.000000, 185.000000, -10596.000000, -15.000000, 164.000000, 90.000000
2.679998, -11369.000000, 189.000000, -10595.000000, -24.000000, 156.000000, 96.000000
2.699998, -11355.000000, 166.000000, -10588.000000, -21.000000, 157.000000, 99.000000
2.719998, -11335.000000, 145.000000, -10599.000000, -17.000000, 160.000000, 95.000000
2.739998, -11362.000000, 151.000000, -10628.000000, -17.000000, 162.000000, 90.000000
2.759998, -11345.000000, 150.000000, -10572.000000, -16.000000, 167.000000, 98.000000
2.779998, -11365.000000, 127.000000, -10555.000000, -18.000000, 160.000000, 95.000000
2.799998, -11358.000000, 185.000000, -10591.000000, -17.000000, 159.000000, 92.000000
2.819998, -11355.000000, 169.000000, -10582.000000, -8.000000, 153.000000, 88.000000
2.839998, -11370.000000, 122.000000, -10578.000000, -8.000000, 157.000000, 91.000000
2.859998, -11359.000000, 162.000000, -10596.000000, -12.000000, 166.000000, 80.000000
2.879998, -11343.000000, 152.000000, -10629.000000, -7.000000, 166.000000, 88.000000
2.899998, -11359.000000, 193.000000, -10580.000000, -13.000000, 163.000000, 97.000000
2.919998, -11359.000000, 179.000000, -10557.000000, -6.000000, 156.000000, 95.000000
2.939998, -11360.000000, 177.000000, -10576.000000, -4.000000, 161.000000, 98.000000
2.959998, -11350.000000, 174.000000, -10600.000000, -17.000000, 164.000000, 99.000000
2.979998, -11328.000000, 142.000000, -10615.000000, -20.000000, 157.000000, 88.000000
2.999998, -11356.000000, 173.000000, -10558.000000, -14.000000, 152.000000, 93.000000
3.019998, -11359.000000, 159.000000, -10560.000000, -19.000000, 161.000000, 92.000000
3.039998, -11346.000000, 133.000000, -10579.000000, -17.000000, 164.000000, 96.000000
3.059998, -11352.000000, 148.000000, -10599.000000, -14.000000, 159.000000, 103.000000
3.079998, -11352.000000, 120.000000, -10622.000000, -19.000000, 153.000000, 88.000000
3.099998, -11370.000000, 186.000000, -10566.000000, -19.000000, 169.000000, 91.000000
3.119998, -11354.000000, 156.000000, -10541.000000, -21.000000, 160.000000, 102.000000
