t_ur, ur1, ur2, ur3
2.759998, -0.269240, -0.364325, 0.949773
2.779998, -0.064039, 0.250188, 0.743169
2.799998, -0.473687, 0.454028, 0.335473
2.819998, 0.139369, 0.454141, 0.949758
2.839998, -0.269664, 0.250488, 0.539987
2.859998, 0.139897, 0.249859, 0.540777
2.879998, -0.269085, -0.363680, 1.153211
2.899998, -0.268936, 0.249219, 0.540666
2.919998, 0.138793, -0.159208, 0.744475
2.939998, -0.472483, -0.158345, 0.948433
2.959998, 1.365344, 0.045170, 0.949575
2.979998, -0.065159, -0.159527, 0.131533
2.999998, -0.268311, -0.158119, 1.152906
3.019998, -0.063690, 0.250676, 0.744245
3.039998, -0.268825, 0.249643, 0.949263
3.059998, -0.268740, 0.658320, 0.539591
3.079998, 0.139284, -0.772210, 1.357616
3.099998, -0.065572, -0.976849, 0.745209
3.119998, -0.065372, 0.250719, 0.949226
3.139998, -0.268841, 0.044175, 0.744779
3.159998, -0.268878, -0.159443, 0.744846
3.179998, -0.268363, -0.361730, 0.539788
3.199998, -0.064388, 0.249761, 0.948275
3.219998, 0.140219, 0.250253, 1.154333
3.239998, -0.065091, 0.045667, 0.745393
3.259998, -0.063970, 0.045134, 0.744091
3.279998, -0.064200, 0.045958, 0.743538
3.299998, -0.269281, 0.045455, 0.744486
3.319998, 0.139159, 0.045572, 0.744349
3.339998, -0.269354, 0.249886, 0.948676
3.359998, -0.268417, 0.453802, 0.335849
3.379997, -0.269496, 0.044496, 1.153183
3.399997, -0.064771, -0.159970, 0.336259
3.419997, -0.066148, 0.045504, 0.950588
3.439997, -0.269056, 0.250766, 0.540032
3.459997, -0.064714, 0.045163, 0.745837
3.479997, -0.064980, -0.158584, 1.152128
3.499997, -0.270044, 0.044945, 0.744255
3.519997, -0.268813, 0.249820, 0.948158
3.539997, 0.139980, 0.046058, 1.152979
3.559997, -0.269472, 0.250631, 0.948986
3.579997, -0.065382, 0.045938, 0.540457
3.599997, 0.139911, -0.159212, 0.949754
3.619997, -0.065826, -0.159698, 0.539832
3.639997, -0.269394, 0.455218, 0.744136
3.659997, -0.064747, 0.045875, 0.745057
3.679997, -0.268310, 0.045219, 0.541303
3.699997, -0.065044, 0.045281, 0.744076
3.719997, -0.064822, 0.453249, 0.744694
3.739997, -0.269604, 0.249752, 0.744987
3.759997, -0.269103, -0.361871, 0.949099
3.779997, -0.270215, 0.045607, 0.947855
3.799997, 0.343331, 0.045550, 0.539819
3.819997, -0.677620, 0.046118, 0.540658
3.839997, 0.139751, 0.248725, 0.335208
3.859997, -0.268699, 0.250143, 0.744255
3.879997, -0.065210, -0.158059, 0.335373
3.899997, -0.269117, 0.045827, 0.746667
3.919997, -0.065508, 0.045720, 0.744379
3.939997, -0.064588, 0.250097, 0.745041
3.959997, -0.473092, 0.249550, 0.949361
3.979997, -0.269337, -0.158350, 1.153936
3.999997, -0.268499, 0.249785, 0.131764
4.019997, -0.064966, 0.045134, 0.539935
4.039997, -0.268552, 0.249318, 1.153449
4.059997, -0.474379, 0.045754, 0.743410
4.079997, -0.269107, 0.045310, 0.539299
4.099997, -0.065422, 0.045565, -0.277547
4.119997, -0.065153, -0.568510, 0.948797
4.139997, -0.064551, 0.455817, 0.540771
4.159997, -0.065677, 0.044710, 1.355816
4.179997, -0.064970, 0.658782, 0.949468
4.199997, -0.269150, -0.158773, 1.152985
4.219997, 0.140138, 0.249637, 0.744312
4.239997, -0.269606, 0.045794, 0.744986
4.259997, -0.064590, 0.453456, 0.744396
4.279997, -0.064268, 0.453885, 0.336236
4.299997, -0.268721, 0.044756, 0.743962
4.319997, -0.064289, -0.158426, 1.358382
4.339997, -0.064855, 0.251200, 0.540492
4.359997, -0.472608, 0.454303, 0.948913
4.379997, -0.065055, 0.249578, 0.539273
4.399997, -0.269157, 0.045940, 1.153347
4.419997, -0.267728, 1.679642, 0.540957
4.439997, -0.065664, -0.364390, 1.154063
4.459997, -0.269568, -0.159543, 0.541715
4.479997, -0.474286, -0.158072, 0.540002
4.499997, -0.064534, 0.453286, 0.744027
4.519997, 0.139851, 0.250521, 1.356843
4.539997, -0.269828, -0.157885, 0.744576
4.559997, -0.268801, 0.044227, 0.540567
4.579997, 0.139399, -0.158692, 0.744918
4.599997, -0.473344, 0.452988, 0.539978
4.619997, -0.065230, 0.251124, 0.744261
4.639997, -0.269195, 0.045523, 0.949637
4.659997, -0.064311, 0.249198, 0.949176
4.679996, -0.269667, 0.044930, 1.153553
4.699996, -0.269374, 0.250684, 0.947949
4.719996, -0.269601, -0.157700, 1.153057
4.739996, -0.269156, 0.044601, 1.152822
4.759996, 0.139274, -0.363248, 0.949297
4.779996, -0.064555, -0.159518, 0.540039
4.799996, -0.270386, 0.249271, 1.152455
4.819996, -0.268829, 0.250445, 0.540083
4.839996, -0.269302, -0.158922, 0.744978
4.859996, -0.064194, 0.044072, 1.154382
4.879996, -0.065898, 0.249160, 0.744445
4.899996, -0.268245, 0.659561, 0.949154
4.919996, -0.268776, 0.454536, 0.743647
4.939996, -0.065075, -0.159209, 0.743961
4.959996, -0.472795, 0.454021, 0.539743
4.979996, -0.269329, 0.250254, 0.949331
4.999996, -0.474006, -0.567720, 0.540097
5.019996, -0.268814, 0.454160, 0.948783
5.039996, -0.269253, 0.250536, 0.335826
5.059996, -0.269087, -0.159886, 0.949371
5.079996, -0.064776, 0.045951, 0.743910
5.099996, 0.139145, 0.044642, 0.540503
5.119996, -0.677854, -0.159008, 0.540762
5.139996, -0.269658, 0.247998, 0.538807
5.159996, -0.065699, 0.249251, 0.948600
5.179996, -0.268638, 0.044051, 0.539278
5.199996, -0.064172, 0.045466, 0.948481
5.219996, -0.270298, 0.453304, 1.153313
5.239996, -0.065111, 0.044907, 0.950237
5.259996, -0.065697, 0.454624, 0.950132
5.279996, -0.269670, 0.046089, 0.540873
5.299996, -0.064963, 0.454926, 0.743047
5.319996, -0.268161, 0.249736, 0.744739
5.339996, -0.065045, 0.250608, 0.743866
5.359996, -0.473321, 0.046044, 0.744606
5.379996, -0.269162, 0.250396, 0.948990
5.399996, -0.269401, 0.453867, 0.539838
5.419996, -0.064844, 0.044943, 0.744440
5.439996, 0.139735, -0.364438, 0.948543
5.459996, -0.064769, 0.044822, 0.744322
5.479996, -0.474232, 0.250313, -1.095430
5.499996, -0.269137, -0.364539, 1.153547
5.519996, -0.064746, 0.453960, 0.541008
5.539996, 0.139185, -0.159580, 0.949095
5.559996, -0.065684, 0.250137, 0.744390
5.579996, 0.139553, 0.455567, 1.152979
5.599996, -0.268382, 0.046157, 0.949425
5.619996, -0.268732, 0.044290, 0.337299
5.639996, -0.269700, -0.362252, 1.151236
5.659996, -0.064532, 0.046346, 0.743912
5.679996, -0.268568, -0.363225, 1.358061
5.699996, -0.474296, 0.249926, 0.744505
5.719995, -0.269104, 0.249281, 0.744182
5.739995, -0.269893, 0.453942, 0.540761
5.759995, -0.064669, -1.180616, 0.540649
5.779995, -0.269513, 0.454809, 1.152015
5.799995, -0.268584, 0.044455, 0.744104
5.819995, -0.064392, 0.454697, 0.744489
5.839995, -0.065148, 0.250390, 0.744859
5.859995, -0.268881, 0.249485, 1.153267
5.879995, -0.269498, 0.044902, 0.541031
5.899995, -0.268944, 0.250083, 0.335150
5.919995, -0.065341, 0.249851, 1.152948
5.939995, -0.065916, 0.250555, 0.537776
5.959995, -0.064084, -0.159470, 0.948631
5.979995, -0.473669, 0.251347, 0.540091
5.999995, -0.064901, 0.453538, 0.744976
6.019995, -0.269082, 0.045285, 0.745025
6.039995, 0.140345, -0.159763, 0.539974
6.059995, -0.269343, 0.250103, 0.745548
6.079995, -0.065107, 0.453627, 0.743251
6.099995, -0.065312, 0.045513, 0.948879
6.119995, -0.268527, 0.250107, 0.948975
6.139995, -0.065265, 0.045117, 0.950102
6.159995, 0.139094, 0.249001, 1.153787
6.179995, -0.064950, 0.045525, 0.539324
6.199995, 0.139652, -0.160172, 1.152642
6.219995, -0.268375, 0.453989, 0.539378
6.239995, -0.064960, -0.160184, 0.539686
6.259995, -0.269681, 0.454763, 0.744578
6.279995, -0.064268, 0.045176, 0.744424
6.299995, -0.065109, 0.046790, 1.153915
6.319995, 0.138934, 0.046107, 0.744112
6.339995, -0.065530, -0.157771, 0.744378
6.359995, -0.065021, 0.249548, 0.335221
6.379995, -0.064113, -0.158740, 0.743764
6.399995, -0.268914, 0.046237, 0.539566
6.419995, -0.270060, 0.249078, 1.154368
6.439995, -0.065525, 0.455693, 0.540454
6.459995, -0.064918, 0.656900, 0.948770
6.479995, 0.139456, 0.456496, 0.744602
6.499995, -0.268856, 0.249493, 0.743271
6.519995, -0.268731, -0.361242, 0.947565
6.539995, -0.064340, 0.251261, 0.948369
6.559995, -0.473329, 0.250060, 1.562937
6.579995, -0.270310, 0.248246, 1.156011
6.599995, -0.065369, 0.453184, 0.949843
6.619995, -0.269575, 0.249355, 0.948105
6.639995, -0.268141, -0.160225, 1.153108
6.659995, -0.269233, 0.249546, 1.152470
6.679995, -0.270053, -0.159309, 0.743901
6.699995, -0.064440, 0.249133, 0.947946
6.719995, -0.064277, 0.248151, 0.948755
6.739995, -0.064582, 0.043825, 0.746585
6.759995, -0.065383, 0.248370, 0.746578
6.779994, -0.065216, 0.043907, 0.540893
6.799994, -0.268923, 0.045482, 0.948529
6.819994, -0.064783, 0.455202, 0.742186
6.839994, -0.065852, 0.045516, 0.948281
6.859994, -0.269100, 0.454072, 0.745488
6.879994, -0.066001, -0.363435, 0.541274
6.899994, -0.473528, 0.455786, 0.745567
6.919994, -0.065345, 0.250637, 0.539457
6.939994, 0.139447, 0.249449, 0.743578
6.959994, -0.473812, 0.250253, 0.947297
6.979994, -0.472225, -0.159923, 0.744361
6.999994, -0.065455, -0.158532, 0.744117
7.019994, -0.065144, 0.247889, 0.336175
7.039994, -0.473458, 0.046040, 0.744636
7.059994, -0.065785, 0.249677, 0.539280
7.079994, -0.065461, 0.044067, 0.745261
7.099994, -0.064812, 0.250440, 0.948768
7.119994, 0.139619, -0.158231, 0.131200
7.139994, 0.139787, 0.045250, 0.538032
7.159994, -0.064407, 0.250796, 0.950005
7.179994, -0.064446, 0.048542, 1.151817
7.199994, -0.268821, 0.048936, 0.742583
7.219994, -0.065935, 0.456405, 0.947143
7.239994, 0.140189, 0.048708, 0.744038
7.259994, -0.065060, 0.250406, 1.359107
7.279994, 0.139379, 0.250567, 0.745184
7.299994, -0.065375, 0.250891, 0.948864
7.319994, -0.268599, 0.043893, 0.743285
7.339994, 0.140841, 0.247663, 0.744603
7.359994, -0.269281, 0.043836, 0.744918
7.379994, 0.139137, 0.250234, 0.949426
7.399994, -0.473521, 0.456148, 0.948493
7.419994, 0.343501, 0.250778, 1.152586
7.439994, -0.064623, 0.046958, 0.948721
7.459994, -0.269439, 0.046435, 0.949554
7.479994, -0.269723, 0.248476, 0.746319
7.499994, -0.268935, 0.248363, 0.951079
7.519994, -0.065226, -0.362383, 0.950652
7.539994, -0.270674, -0.157670, 0.950062
7.559994, -0.474382, -0.156645, 0.949803
7.579994, -0.473031, -0.153714, 1.151873
7.599994, -0.269497, -0.150938, 0.740010
7.619994, -0.473514, 0.263166, 1.148152
7.639994, -0.066535, 0.267164, 0.942339
7.659994, -0.069328, 0.276580, 0.325289
7.679994, -0.072639, 0.315220, 0.518746
7.699994, -0.268981, 0.564835, 0.719124
7.719994, -0.264565, 0.171181, 0.926891
7.739994, -0.264021, 0.000302, 0.719845
7.759994, -0.264000, 0.459838, 1.130265
7.779994, -0.061859, 0.326264, 1.131218
7.799994, -0.271588, 0.780934, 0.887017
7.819993, -0.364077, 0.360575, 0.582863
7.839993, -0.450572, 0.612892, 0.321318
7.859993, -0.507698, 0.692495, 0.696431
7.879993, -0.568717, -0.223748, 0.217558
7.899993, -0.631930, 0.686780, 0.536046
7.919993, -0.526472, 0.570666, -0.146899
7.939993, -1.040734, 0.477416, 0.003853
7.959993, -0.702491, 0.962389, -0.013415
7.979993, -0.934051, 1.426478, -0.078389
7.999993, -0.880868, 1.033416, 0.237242
8.019994, -1.007074, 1.030109, -0.028084
8.039994, -0.289666, 0.821161, -0.073261
8.059995, -0.388143, 1.009623, -0.094715
8.079995, -0.300947, 1.608825, -0.108944
8.099996, -0.666517, 0.778593, 0.078376
8.119996, -0.243196, 0.958782, 0.071986
8.139997, -0.244197, 1.130037, -0.332998
8.159997, -0.287665, 1.325125, -0.314191
8.179997, 0.088770, 0.912998, -0.091277
8.199998, -0.730430, 1.096116, -0.262300
8.219998, -0.301479, 0.867709, -0.025458
8.239999, -0.234457, 0.832163, 0.185478
8.259999, 0.044526, 1.003163, -0.042759
8.280000, 0.101607, 1.189006, -0.075522
8.300000, -0.058974, 1.364627, -0.101095
