t_uk, uk1, uk2, uk3
0.000000, -0.001606, -0.000277, -0.001099
0.020000, -0.002197, 0.000005, -0.001582
0.040000, -0.002090, 0.000069, -0.000959
0.060000, -0.001539, -0.000884, -0.001008
0.080000, -0.001536, -0.000635, -0.001443
0.100000, -0.001857, -0.000601, -0.000577
0.120000, -0.002773, -0.000329, -0.000676
0.140000, -0.001675, -0.000979, -0.001057
0.160000, -0.002268, -0.001071, -0.000723
0.180000, -0.001901, -0.000235, -0.001086
0.200000, -0.002521, -0.000470, -0.001158
0.220000, -0.002040, -0.000611, -0.001014
0.240000, -0.001702, -0.000887, -0.001266
0.260000, -0.001808, -0.000538, -0.001475
0.280000, -0.002091, -0.000701, -0.001603
0.300000, -0.002469, -0.000218, -0.001224
0.320000, -0.002568, -0.000521, -0.001277
0.340000, -0.002021, -0.000375, -0.001318
0.360000, -0.001836, -0.000412, -0.000410
0.380000, -0.001992, 0.000186, -0.001214
0.400000, -0.001554, -0.000392, -0.000913
0.420000, -0.001649, -0.000041, -0.001032
0.440000, -0.001396, -0.000437, -0.001099
0.460000, -0.001881, -0.000773, -0.001268
0.480000, -0.001586, -0.000471, -0.001278
0.500000, -0.002156, -0.000108, -0.001490
0.520000, -0.001561, -0.000962, -0.001702
0.540000, -0.001969, -0.000026, -0.001288
0.560000, -0.002139, -0.000541, -0.001147
0.580000, -0.001859, -0.000787, -0.001037
0.600000, -0.001701, -0.000719, -0.000948
0.620000, -0.001676, 0.000074, -0.000659
0.640000, -0.001994, -0.000169, -0.001265
0.660000, -0.001539, -0.000878, -0.000823
0.680000, -0.001489, -0.000347, -0.001163
0.700000, -0.001399, -0.000624, -0.000961
0.720000, -0.001850, -0.000259, -0.001030
0.740000, -0.001579, -0.000899, -0.000715
0.760000, -0.001964, -0.000909, -0.000979
0.780000, -0.001600, -0.000166, -0.001163
0.800000, -0.001764, -0.000276, -0.000866
0.820000, -0.001815, -0.000971, -0.000974
0.840000, -0.002069, -0.000675, -0.000920
0.860000, -0.001673, -0.000324, -0.001174
0.880000, -0.001538, -0.000113, -0.000933
0.900000, -0.001558, -0.000275, -0.000659
0.920000, -0.001264, -0.000829, -0.001216
0.940000, -0.001883, -0.000619, -0.001026
0.960000, -0.001899, -0.000103, -0.001717
0.980000, -0.001581, -0.000365, -0.000917
1.000000, -0.001560, -0.000627, -0.001269
1.020000, -0.001691, -0.000207, -0.000711
1.040000, -0.001895, -0.000697, -0.000653
1.060000, -0.001951, -0.000343, -0.000417
1.080000, -0.002113, -0.000842, -0.000922
1.100000, -0.001804, -0.000346, -0.000597
1.120000, -0.001898, -0.000836, -0.000653
1.140000, -0.001746, -0.000415, -0.001286
1.159999, -0.001969, -0.000372, -0.000925
1.179999, -0.002035, -0.000163, -0.000577
1.199999, -0.001996, -0.000488, -0.001202
1.219999, -0.002223, 0.000411, -0.001431
1.239999, -0.001811, -0.000646, -0.000829
1.259999, -0.001718, -0.000539, -0.001519
1.279999, -0.001754, -0.000184, -0.000922
1.299999, -0.002106, -0.000315, -0.001687
1.319999, -0.002020, -0.000033, -0.001193
1.339999, -0.001767, -0.000831, -0.000762
1.359999, -0.001443, -0.000792, -0.001080
1.379999, -0.002102, 0.000254, -0.000850
1.399999, -0.001853, -0.000213, -0.001330
1.419999, -0.001280, -0.000483, -0.000684
1.439999, -0.002017, -0.000462, -0.001021
1.459999, -0.001945, -0.000002, -0.001083
1.479999, -0.001764, -0.000305, -0.001105
1.499999, -0.001667, -0.000485, -0.000761
1.519999, -0.002309, 0.000039, -0.000670
1.539999, -0.001988, -0.000044, -0.000784
1.559999, -0.002065, -0.000443, -0.001227
1.579999, -0.001287, -0.000374, -0.001297
1.599999, -0.001532, -0.000700, -0.001029
1.619999, -0.001702, -0.000348, -0.001213
1.639999, -0.001555, -0.000536, -0.000968
1.659999, -0.002063, -0.000445, -0.000691
1.679999, -0.001855, -0.000661, -0.001609
1.699999, -0.001808, -0.000325, -0.000943
1.719999, -0.001279, -0.000110, -0.000817
1.739999, -0.002089, -0.000044, -0.000901
1.759999, -0.002043, 0.000176, -0.001326
1.779999, -0.001728, -0.000674, -0.001497
1.799999, -0.001531, -0.001117, -0.001009
1.819999, -0.001700, -0.000404, -0.001655
1.839999, -0.001716, -0.000164, -0.001057
1.859999, -0.001696, -0.000353, -0.001195
1.879999, -0.001770, -0.000138, -0.001100
1.899999, -0.001691, -0.000277, -0.000937
1.919999, -0.001788, -0.000257, -0.001357
1.939999, -0.001378, -0.000483, -0.001194
1.959999, -0.001765, 0.000051, -0.000845
1.979999, -0.001882, -0.000055, -0.001306
1.999999, -0.001841, -0.000559, -0.001197
2.019999, -0.001902, -0.000515, -0.000944
2.039999, -0.001900, -0.000463, -0.001157
2.059999, -0.001811, -0.000329, -0.001034
2.079999, -0.002364, -0.000615, -0.001698
2.099999, -0.002273, -0.000676, -0.001112
2.119999, -0.002088, -0.000561, -0.001269
2.139999, -0.001611, -0.000217, -0.001787
2.159999, -0.002126, -0.000161, -0.000970
2.179999, -0.002107, -0.000258, -0.001083
2.199999, -0.001813, -0.000442, -0.000802
2.219999, -0.001686, -0.000257, -0.000386
2.239999, -0.002677, -0.000460, -0.001480
2.259999, -0.001305, -0.001041, -0.000942
2.279999, -0.001401, -0.000606, -0.001403
2.299999, -0.002198, -0.000535, -0.000975
2.319999, -0.002080, -0.000707, -0.001338
2.339998, -0.001789, -0.001277, -0.000903
2.359998, -0.001905, -0.000443, -0.000849
2.379998, -0.002066, -0.000745, -0.000952
2.399998, -0.001837, -0.000868, -0.001264
2.419998, -0.001626, -0.000143, -0.001216
2.439998, -0.001944, -0.000380, -0.000877
2.459998, -0.001787, -0.000026, -0.001400
2.479998, -0.001421, -0.000435, -0.001009
2.499998, -0.001943, -0.001092, -0.000835
2.519998, -0.002096, -0.000462, -0.000028
2.539998, -0.002177, -0.000743, -0.001021
2.559998, -0.001951, -0.000976, -0.000925
2.579998, -0.001627, -0.000856, -0.000597
2.599998, -0.002202, -0.000591, -0.001252
2.619998, -0.002043, -0.000972, -0.001415
2.639998, -0.002175, -0.000492, -0.001205
2.659998, -0.001582, -0.000880, -0.001080
2.679998, -0.001766, -0.000033, -0.001437
2.699998, -0.002640, -0.000497, -0.001272
2.719998, -0.002135, -0.000611, -0.001360
2.739998, -0.002265, -0.000022, -0.001067
2.759998, -0.001885, -0.000554, -0.001088
2.779998, -0.002499, -0.000581, -0.000770
2.799998, -0.001820, -0.000789, -0.001453
2.819998, -0.001259, -0.000319, -0.000608
