t, x2_estimate, x2_phiobs, x2_fullobs
2.799998, 0.013516, -0.004505, -0.128015
2.819998, 0.014048, 0.005819, -0.101914
2.839998, 0.015180, 0.010928, -0.078334
2.859998, 0.012850, 0.017029, -0.060760
2.879998, 0.003706, 0.017694, -0.045265
2.899998, -0.006569, 0.011373, -0.033950
2.919998, -0.015513, 0.001699, -0.027957
2.939998, -0.021838, -0.008015, -0.027326
2.959998, -0.026343, -0.017564, -0.028916
2.979998, -0.029828, -0.025892, -0.031752
2.999998, -0.034311, -0.034011, -0.033958
3.019998, -0.030494, -0.040109, -0.038727
3.039998, -0.018443, -0.042525, -0.040059
3.059998, -0.003529, -0.035292, -0.038426
3.079998, -0.021239, 0.072872, 0.068907
3.099998, -0.094189, 0.012473, -0.024584
3.119998, -0.163032, -0.060910, -0.124629
3.139998, -0.215897, -0.114169, -0.260389
3.159998, -0.261526, -0.194088, -0.370355
3.179998, -0.312571, -0.326446, -0.367681
3.199998, -0.335252, -0.337873, -0.521314
3.219998, -0.313015, -0.320984, -0.448014
3.239998, -0.293551, -0.318782, -0.433200
3.259998, -0.264101, -0.295763, -0.385218
3.279998, -0.236847, -0.270398, -0.338433
3.299998, -0.214920, -0.246368, -0.295591
3.319998, -0.195634, -0.222975, -0.255980
3.339998, -0.174906, -0.194529, -0.221202
3.359998, -0.151492, -0.161174, -0.183051
3.379997, -0.118357, -0.121886, -0.150811
3.399997, -0.079918, -0.069213, -0.114413
3.419997, -0.042123, -0.032224, -0.061912
3.439997, -0.015269, 0.000162, -0.042265
3.459997, 0.009965, 0.032003, -0.026300
3.479997, 0.017533, 0.025966, 0.014218
3.499997, 0.010653, 0.004236, 0.010164
3.519997, 0.008189, -0.000008, 0.000573
3.539997, 0.009832, 0.001369, 0.008080
3.559997, 0.013582, 0.002987, 0.009701
3.579997, 0.014670, 0.004309, 0.020072
3.599997, 0.013560, 0.001476, 0.026521
3.619997, 0.008234, -0.001390, 0.031377
3.639997, 0.004927, -0.004148, 0.033288
