t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 256.000000, 192.000000, -15748.000000, -58.000000, 82.000000, 191.000000
0.020000, 232.000000, 201.000000, -15754.000000, -65.000000, 77.000000, 196.000000
0.040000, 239.000000, 187.000000, -15760.000000, -66.000000, 74.000000, 201.000000
0.060000, 237.000000, 189.000000, -15798.000000, -70.000000, 81.000000, 185.000000
0.080000, 271.000000, 197.000000, -15775.000000, -65.000000, 83.000000, 186.000000
0.100000, 243.000000, 196.000000, -15782.000000, -62.000000, 84.000000, 182.000000
0.120000, 250.000000, 203.000000, -15781.000000, -76.000000, 85.000000, 175.000000
0.140000, 248.000000, 195.000000, -15757.000000, -74.000000, 85.000000, 181.000000
0.160000, 226.000000, 188.000000, -15785.000000, -70.000000, 83.000000, 182.000000
0.180000, 213.000000, 219.000000, -15793.000000, -68.000000, 82.000000, 186.000000
0.200000, 237.000000, 221.000000, -15754.000000, -69.000000, 89.000000, 186.000000
0.220000, 229.000000, 186.000000, -15769.000000, -67.000000, 84.000000, 186.000000
0.240000, 260.000000, 181.000000, -15803.000000, -63.000000, 77.000000, 179.000000
0.260000, 219.000000, 170.000000, -15803.000000, -76.000000, 83.000000, 186.000000
0.280000, 239.000000, 170.000000, -15790.000000, -82.000000, 85.000000, 175.000000
0.300000, 200.000000, 188.000000, -15755.000000, -70.000000, 90.000000, 180.000000
0.320000, 232.000000, 192.000000, -15782.000000, -68.000000, 82.000000, 194.000000
0.340000, 250.000000, 193.000000, -15752.000000, -59.000000, 82.000000, 193.000000
0.360000, 242.000000, 202.000000, -15747.000000, -72.000000, 83.000000, 197.000000
0.380000, 246.000000, 197.000000, -15773.000000, -70.000000, 83.000000, 188.000000
0.400000, 227.000000, 183.000000, -15761.000000, -61.000000, 76.000000, 200.000000
0.420000, 249.000000, 195.000000, -15800.000000, -73.000000, 90.000000, 183.000000
0.440000, 240.000000, 203.000000, -15780.000000, -72.000000, 80.000000, 191.000000
0.460000, 241.000000, 200.000000, -15768.000000, -59.000000, 73.000000, 195.000000
0.480000, 241.000000, 210.000000, -15790.000000, -63.000000, 88.000000, 197.000000
0.500000, 239.000000, 224.000000, -15730.000000, -72.000000, 80.000000, 188.000000
0.520000, 228.000000, 213.000000, -15793.000000, -59.000000, 73.000000, 193.000000
0.540000, 227.000000, 190.000000, -15756.000000, -64.000000, 89.000000, 194.000000
0.560000, 229.000000, 192.000000, -15766.000000, -78.000000, 75.000000, 185.000000
0.580000, 252.000000, 200.000000, -15757.000000, -68.000000, 83.000000, 178.000000
0.600000, 228.000000, 193.000000, -15795.000000, -67.000000, 84.000000, 176.000000
0.620000, 237.000000, 166.000000, -15764.000000, -72.000000, 80.000000, 187.000000
0.640000, 231.000000, 170.000000, -15785.000000, -62.000000, 87.000000, 181.000000
0.660000, 247.000000, 198.000000, -15798.000000, -74.000000, 79.000000, 186.000000
0.680000, 226.000000, 176.000000, -15810.000000, -63.000000, 80.000000, 180.000000
0.700000, 237.000000, 174.000000, -15758.000000, -67.000000, 70.000000, 186.000000
0.720000, 242.000000, 192.000000, -15807.000000, -64.000000, 85.000000, 193.000000
0.740000, 239.000000, 214.000000, -15794.000000, -69.000000, 85.000000, 181.000000
0.760000, 241.000000, 172.000000, -15770.000000, -70.000000, 76.000000, 187.000000
0.780000, 259.000000, 185.000000, -15746.000000, -67.000000, 85.000000, 192.000000
0.800000, 261.000000, 204.000000, -15803.000000, -66.000000, 85.000000, 186.000000
0.820000, 239.000000, 205.000000, -15778.000000, -66.000000, 80.000000, 184.000000
0.840000, 242.000000, 202.000000, -15773.000000, -70.000000, 83.000000, 187.000000
