t_uk, uk1, uk2, uk3
0.000000, -0.001337, -0.001317, -0.001230
0.020000, -0.001258, 0.000130, -0.000864
0.040000, -0.001829, 0.000296, -0.001212
0.060000, -0.000944, 0.000086, -0.002030
0.080000, -0.002249, -0.000520, -0.000819
0.100000, -0.000054, -0.001758, -0.001536
0.120000, -0.001047, -0.000566, -0.002377
0.140000, -0.000878, -0.000026, -0.002174
0.160000, -0.001781, -0.000570, -0.001099
0.180000, -0.001661, -0.000973, -0.000835
0.200000, -0.001397, -0.000622, -0.001526
0.220000, -0.000919, -0.000644, -0.001339
0.240000, -0.000579, -0.000120, -0.001851
0.260000, -0.002375, -0.001524, -0.001965
0.280000, -0.000529, 0.000047, -0.001713
0.300000, -0.000879, -0.000705, -0.002056
0.320000, -0.001481, -0.000329, -0.001235
0.340000, -0.002569, -0.002082, -0.001813
0.360000, -0.001953, -0.000445, -0.001568
0.380000, -0.000982, -0.000586, -0.002172
0.400000, -0.001585, -0.000699, -0.001570
0.420000, -0.001372, -0.001481, -0.000854
0.440000, -0.001996, -0.000862, -0.001595
0.460000, -0.000700, 0.000686, -0.001092
0.480000, -0.002810, 0.000161, -0.000954
0.500000, -0.002217, -0.000299, -0.000250
0.520000, -0.001847, -0.000792, -0.001849
0.540000, -0.001251, 0.000043, -0.001244
0.560000, -0.001028, -0.000948, -0.000948
0.580000, -0.002096, -0.000599, -0.001450
0.600000, -0.001703, -0.000021, -0.001756
0.620000, -0.002183, 0.000342, -0.002153
0.640000, -0.002169, -0.001247, -0.002546
0.660000, -0.001906, -0.000405, -0.001292
0.680000, -0.001395, -0.001753, -0.000255
0.700000, -0.001637, -0.000426, -0.002095
0.720000, -0.001566, -0.001282, -0.001401
0.740000, -0.001414, -0.000381, -0.000969
0.760000, -0.002463, 0.000133, -0.000676
0.780000, -0.000781, -0.000344, -0.001478
0.800000, -0.002074, -0.000631, -0.001985
0.820000, -0.001354, -0.000513, -0.002219
0.840000, -0.002195, -0.000645, -0.000995
0.860000, -0.002066, 0.000091, -0.002071
0.880000, -0.001651, -0.000854, -0.002525
0.900000, -0.001836, -0.000724, -0.002038
0.920000, -0.001103, -0.001295, -0.001488
0.940000, -0.002399, -0.000447, -0.001459
0.960000, -0.001662, -0.002082, -0.002018
0.980000, -0.002086, -0.000210, -0.001763
1.000000, -0.000972, -0.001426, -0.001238
1.020000, -0.000758, -0.000999, -0.001851
1.040000, -0.001222, -0.000417, -0.000364
1.060000, -0.001203, -0.000410, -0.000726
1.080000, -0.001280, 0.000176, -0.000785
1.100000, -0.001977, -0.000480, -0.001521
1.120000, -0.001211, -0.001098, -0.002038
1.140000, -0.002574, -0.000770, -0.001983
1.159999, -0.001512, 0.000038, -0.002051
1.179999, -0.001520, -0.000565, -0.002039
1.199999, -0.000782, 0.000730, -0.001607
1.219999, -0.001874, 0.000124, -0.000773
1.239999, -0.002216, 0.000851, -0.002151
1.259999, -0.001213, 0.000185, -0.002498
1.279999, -0.001083, -0.001458, -0.002737
1.299999, -0.001628, -0.000989, -0.000809
1.319999, -0.002067, -0.000472, -0.002803
1.339999, -0.002426, -0.000295, -0.002474
1.359999, -0.002119, 0.000158, -0.001731
1.379999, -0.001112, -0.001035, -0.002743
1.399999, -0.001240, -0.001736, -0.000458
1.419999, -0.000499, -0.001130, -0.001243
1.439999, -0.001493, -0.000519, 0.000276
1.459999, -0.000228, -0.000220, -0.000214
1.479999, -0.001433, -0.000808, -0.000778
1.499999, -0.001484, 0.000140, -0.001207
1.519999, -0.001921, -0.001764, -0.001990
1.539999, -0.001952, -0.001176, -0.001063
1.559999, -0.002282, -0.000746, 0.000202
1.579999, -0.002466, -0.000831, -0.001995
1.599999, -0.001396, -0.000430, -0.000891
1.619999, -0.002167, -0.000139, -0.001650
1.639999, -0.002082, -0.001280, -0.000948
1.659999, -0.000972, -0.000348, -0.001151
1.679999, -0.001276, -0.001139, -0.002132
1.699999, -0.001576, -0.000583, -0.001739
1.719999, -0.002120, -0.000114, -0.001329
1.739999, -0.001091, -0.000135, -0.001513
1.759999, -0.002100, -0.000826, -0.001525
1.779999, -0.001231, -0.000702, -0.000865
1.799999, -0.001651, -0.000875, -0.001083
1.819999, -0.000312, 0.000282, -0.002023
1.839999, -0.001288, -0.000782, -0.001101
1.859999, -0.000400, -0.001296, -0.001645
1.879999, -0.001724, -0.000551, -0.001455
1.899999, -0.002082, -0.000604, -0.000916
1.919999, -0.001528, -0.000566, -0.001719
1.939999, -0.001239, -0.000778, -0.001033
1.959999, -0.001558, -0.001509, -0.001453
1.979999, -0.001171, -0.000774, -0.001854
1.999999, -0.001009, -0.000030, -0.001898
2.019999, -0.001153, -0.001600, -0.000236
2.039999, -0.001813, -0.000958, -0.000943
2.059999, -0.002270, -0.000773, -0.001501
2.079999, -0.001921, 0.000521, -0.001365
2.099999, -0.001606, -0.000112, -0.002199
2.119999, -0.001856, -0.001183, -0.001669
2.139999, -0.002042, -0.001404, -0.001268
2.159999, -0.000470, 0.000325, -0.002405
2.179999, -0.001450, 0.000063, -0.001500
2.199999, -0.002527, -0.001108, -0.001757
2.219999, -0.001330, -0.000001, -0.001662
2.239999, -0.001121, -0.000388, -0.000795
2.259999, -0.001959, 0.000349, -0.001648
2.279999, -0.001519, -0.000502, 0.000009
2.299999, -0.001331, -0.001675, -0.000664
2.319999, -0.001852, -0.000345, -0.000763
2.339998, -0.001292, -0.001384, -0.001378
2.359998, -0.001147, -0.000387, -0.002702
2.379998, -0.002352, -0.001117, -0.001881
2.399998, -0.001829, -0.000364, -0.001249
2.419998, -0.002292, -0.000789, -0.001161
2.439998, -0.000751, -0.000515, -0.002222
2.459998, -0.001223, -0.000196, -0.000215
2.479998, -0.001775, -0.001226, -0.001029
2.499998, -0.001247, -0.001113, -0.001849
2.519998, -0.001208, -0.000523, -0.001011
2.539998, -0.001667, -0.000940, -0.002970
2.559998, -0.001753, -0.000283, -0.001127
2.579998, -0.001577, -0.000141, -0.001131
2.599998, -0.001824, 0.000189, -0.000371
2.619998, -0.001445, -0.000437, -0.000719
2.639998, -0.001406, -0.001237, -0.001265
2.659998, -0.001941, -0.000032, -0.002113
2.679998, -0.002545, -0.000769, -0.000928
2.699998, -0.001215, -0.000742, -0.001075
2.719998, -0.001729, -0.000376, -0.001765
2.739998, -0.001894, -0.000011, -0.001292
2.759998, -0.001311, -0.000729, -0.001414
2.779998, -0.000577, 0.000073, -0.001775
2.799998, -0.002335, -0.000243, -0.000856
2.819998, -0.001040, -0.000125, -0.001963
2.839998, -0.000574, -0.000448, -0.002535
2.859998, -0.001535, -0.000654, -0.001625
2.879998, -0.001246, -0.000589, 0.000240
2.899998, -0.001466, -0.001558, -0.001358
2.919998, -0.001138, -0.001225, -0.000783
2.939998, -0.001771, -0.000172, -0.001331
2.959998, -0.000688, -0.000435, -0.000667
2.979998, -0.002038, -0.000085, -0.000979
2.999998, -0.002062, -0.001047, -0.001230
3.019998, -0.001214, -0.001506, -0.001035
3.039998, -0.001479, -0.000110, -0.001762
3.059998, -0.001370, -0.000478, -0.001221
3.079998, -0.001403, -0.000995, -0.000760
3.099998, -0.001461, -0.000678, -0.001440
3.119998, -0.001837, -0.001507, -0.001337
3.139998, -0.000452, -0.001146, -0.000977
3.159998, -0.001507, -0.001018, -0.001150
3.179998, -0.002046, -0.000704, -0.001584
3.199998, -0.001297, 0.000040, -0.001518
3.219998, -0.001971, -0.000515, -0.002681
3.239998, -0.001162, 0.000158, -0.000165
3.259998, -0.001265, -0.000349, -0.001003
3.279998, -0.001892, -0.000575, -0.000744
3.299998, -0.001209, 0.000543, -0.001348
3.319998, -0.001676, -0.001593, -0.002187
3.339998, -0.001301, -0.002125, -0.001812
3.359998, -0.000636, 0.000316, -0.001658
3.379997, -0.002262, 0.000021, -0.001355
3.399997, -0.000771, -0.000808, -0.001066
3.419997, -0.001153, -0.001147, -0.001401
3.439997, -0.001454, -0.001107, -0.002474
3.459997, -0.002524, -0.000435, -0.002170
3.479997, -0.002626, -0.001706, -0.002597
3.499997, -0.001870, -0.000039, -0.002211
3.519997, -0.001787, -0.000047, -0.001785
3.539997, -0.000719, -0.000498, -0.001105
3.559997, -0.001469, -0.001141, -0.001350
3.579997, -0.001578, 0.000077, -0.000929
3.599997, -0.001104, -0.000628, -0.001990
3.619997, -0.001573, -0.000341, -0.001039
3.639997, -0.001205, -0.001824, -0.001390
3.659997, -0.001046, -0.000623, -0.001371
3.679997, -0.001180, 0.000505, -0.001683
3.699997, -0.001932, -0.000992, -0.002329
3.719997, -0.001342, -0.000946, -0.000727
3.739997, -0.002289, -0.000857, -0.000679
3.759997, -0.001539, -0.000634, -0.002424
3.779997, -0.001421, -0.001013, -0.001361
3.799997, -0.001700, -0.001510, -0.001381
3.819997, -0.002060, -0.000307, -0.001422
3.839997, -0.001314, -0.001368, -0.001958
3.859997, -0.001140, -0.000911, -0.000446
3.879997, -0.001998, -0.001045, -0.001336
3.899997, -0.001670, 0.000087, -0.002196
3.919997, -0.001160, -0.000115, -0.000740
3.939997, -0.000385, -0.001794, -0.001794
3.959997, -0.001381, -0.001178, -0.001263
3.979997, -0.000582, 0.000101, -0.001283
3.999997, -0.001600, -0.000783, -0.001317
4.019997, -0.001732, -0.000372, -0.001106
4.039997, -0.001344, -0.000760, -0.000738
4.059997, -0.001765, -0.000721, -0.001351
4.079997, -0.001427, -0.001331, -0.001254
4.099997, -0.002223, -0.000038, -0.002215
4.119997, -0.000945, -0.001320, -0.000598
4.139997, -0.001433, -0.000241, -0.001122
4.159997, -0.002385, -0.000943, -0.000836
4.179997, -0.002028, -0.001206, -0.001065
4.199997, -0.001721, -0.000482, -0.000891
4.219997, -0.001582, -0.000475, -0.002199
4.239997, -0.002039, -0.000962, -0.001622
4.259997, -0.002062, -0.000665, -0.002415
4.279997, -0.002200, -0.001034, -0.000073
4.299997, -0.001561, -0.001280, -0.000983
4.319997, -0.001518, -0.001059, -0.002067
