t_tm, tm1, tm2, tm3
0.000000, -0.156456, -2.025481, 1.332323
0.020000, -0.124711, -2.100457, 1.358532
0.040000, -0.181007, -1.964591, 1.310279
0.060000, -0.111064, -2.063830, 1.327779
0.080000, -0.171620, -1.938156, 1.288369
0.100000, -0.228461, -2.092311, 1.417433
0.120000, -0.183181, -1.964458, 1.311537
0.140000, -0.154341, -2.032157, 1.335094
0.160000, -0.091636, -2.023921, 1.291465
0.180000, -0.197399, -2.011000, 1.348691
0.200000, -0.128713, -1.957393, 1.273693
0.220000, -0.225609, -2.022749, 1.373227
0.240000, -0.182577, -1.944400, 1.298924
0.260000, -0.140657, -2.057616, 1.342206
0.280000, -0.130735, -2.066276, 1.341382
0.300000, -0.211889, -2.034992, 1.372253
0.320000, -0.104721, -2.026187, 1.300903
0.340000, -0.099762, -2.110507, 1.349305
0.360000, -0.065674, -2.002583, 1.262461
0.380000, -0.169061, -2.049799, 1.354922
0.400000, -0.143828, -2.061591, 1.346583
0.420000, -0.121535, -2.011745, 1.302441
0.440000, -0.143768, -2.009220, 1.314588
0.460000, -0.202537, -2.027282, 1.361790
0.480000, -0.164748, -1.997118, 1.320120
0.500000, -0.115500, -2.049924, 1.322025
0.520000, -0.293938, -1.982909, 1.390982
0.540000, -0.131728, -2.128244, 1.379809
0.560000, -0.129811, -2.127253, 1.378023
0.580000, -0.033506, -2.125084, 1.317411
0.600000, -0.145147, -2.063222, 1.348391
0.620000, -0.135142, -2.119101, 1.376332
0.640000, -0.244597, -1.951637, 1.341523
0.660000, -0.178042, -2.032069, 1.349632
0.680000, -0.127585, -2.062793, 1.337316
0.700000, -0.141541, -2.110115, 1.374786
0.720000, -0.145695, -2.042237, 1.335923
0.740000, -0.184228, -2.043762, 1.360575
0.760000, -0.187358, -1.993335, 1.331730
0.780000, -0.161638, -2.104119, 1.383500
0.800000, -0.095785, -2.106157, 1.344203
0.820000, -0.248241, -1.900561, 1.312598
0.840000, -0.065440, -2.011289, 1.267629
0.860000, -0.200226, -2.053089, 1.376116
0.880000, -0.199214, -2.049935, 1.373568
0.900000, -0.199683, -2.048303, 1.372861
0.920000, -0.197306, -2.047873, 1.371134
0.940000, -0.197114, -2.046405, 1.370121
0.960000, -0.195144, -2.047443, 1.369541
0.980000, -0.194187, -2.046808, 1.368565
1.000000, -0.194170, -2.045030, 1.367469
1.020000, -0.192518, -2.045013, 1.366442
1.040000, -0.193858, -2.043575, 1.366389
1.060000, -0.191897, -2.044224, 1.365578
1.080000, -0.190924, -2.042306, 1.363809
1.100000, -0.190284, -2.044603, 1.364817
1.120000, -0.189331, -2.044147, 1.363951
1.140000, -0.186649, -2.046175, 1.363538
1.159999, -0.185874, -2.045795, 1.362829
1.179999, -0.185944, -2.045629, 1.362771
1.199999, -0.184754, -2.045008, 1.361659
1.219999, -0.185927, -2.045005, 1.362380
1.239999, -0.183664, -2.045131, 1.361063
1.259999, -0.181318, -2.046646, 1.360544
1.279999, -0.180819, -2.046390, 1.360080
1.299999, -0.179596, -2.046330, 1.359290
1.319999, -0.176846, -2.046000, 1.357396
1.339999, -0.174706, -2.046599, 1.356444
1.359999, -0.173209, -2.046216, 1.355289
1.379999, -0.173227, -2.046204, 1.355293
1.399999, -0.173674, -2.046038, 1.355466
1.419999, -0.172089, -2.046056, 1.354502
1.439999, -0.171751, -2.045475, 1.353940
1.459999, -0.172111, -2.045528, 1.354193
1.479999, -0.172999, -2.042970, 1.353179
