t_uk, uk1, uk2, uk3
2.759998, -0.001554, -0.000764, -0.001131
2.779998, -0.001465, -0.001006, -0.001704
2.799998, -0.001650, -0.000893, -0.001208
2.819998, -0.001537, -0.000376, -0.001240
2.839998, -0.001742, -0.000426, -0.001717
2.859998, -0.002203, -0.000548, -0.001820
2.879998, -0.001699, -0.000978, -0.001202
2.899998, -0.001353, -0.001350, -0.000917
2.919998, -0.001584, -0.000976, -0.000665
2.939998, -0.001192, -0.000680, -0.001483
2.959998, -0.001305, -0.000393, -0.001137
2.979998, -0.001419, -0.000766, -0.000732
2.999998, -0.001722, -0.000448, -0.001284
3.019998, -0.001033, -0.000838, -0.001419
3.039998, -0.001809, -0.000496, -0.001286
3.059998, -0.001336, -0.001096, -0.001324
3.079998, -0.001473, -0.000658, -0.001742
3.099998, -0.001722, -0.000613, -0.001910
3.119998, -0.001740, -0.000432, -0.001878
3.139998, -0.001918, -0.000633, -0.000950
3.159998, -0.001953, -0.000884, -0.001155
3.179998, -0.001836, -0.000536, -0.001097
3.199998, -0.001834, -0.000195, -0.001259
3.219998, -0.001379, -0.001562, -0.000964
3.239998, -0.001609, -0.001217, -0.001658
3.259998, -0.001446, -0.001072, -0.001213
3.279998, -0.001883, -0.000961, -0.001522
3.299998, -0.001628, -0.000554, -0.001102
3.319998, -0.001698, -0.000834, -0.000643
3.339998, -0.001532, -0.001042, -0.000641
3.359998, -0.001722, -0.000750, -0.001306
3.379997, -0.001993, -0.001079, -0.001429
3.399997, -0.001332, -0.000866, -0.001598
3.419997, -0.001626, -0.000632, -0.000988
3.439997, -0.001514, -0.000716, -0.001077
3.459997, -0.001376, -0.000956, -0.001492
3.479997, -0.001310, -0.001024, -0.001444
3.499997, -0.001863, -0.001126, -0.001982
3.519997, -0.001674, -0.001392, -0.000809
3.539997, -0.001533, -0.000765, -0.000896
3.559997, -0.001252, -0.000958, -0.000723
3.579997, -0.001851, -0.000588, -0.000804
3.599997, -0.001921, -0.001073, -0.000602
3.619997, -0.001538, -0.001047, -0.001288
3.639997, -0.001229, -0.000832, -0.000819
3.659997, -0.001746, -0.001163, -0.001339
3.679997, -0.001690, -0.000514, -0.001406
3.699997, -0.001738, -0.000607, -0.000940
3.719997, -0.001372, -0.001004, -0.001380
3.739997, -0.001734, -0.000747, -0.000707
3.759997, -0.001926, -0.001071, -0.001203
3.779997, -0.001666, -0.000999, -0.001039
3.799997, -0.002153, -0.001312, -0.001270
3.819997, -0.001352, -0.001296, -0.000918
3.839997, -0.001465, -0.000399, -0.001188
3.859997, -0.000172, 0.000133, 0.000327
3.879997, 0.000012, 0.000131, 0.000196
3.899997, -0.000124, -0.000011, -0.000024
3.919997, 0.000248, 0.000550, 0.000245
3.939997, -0.000336, 0.000358, -0.000384
3.959997, -0.000091, -0.000405, -0.000342
3.979997, 0.000697, 0.000087, -0.000520
3.999997, 0.000297, -0.000661, -0.000549
4.019997, -0.000309, -0.000060, -0.000155
4.039997, 0.000170, -0.000079, -0.000338
4.059997, 0.000171, -0.000031, -0.000544
4.079997, 0.000346, -0.000196, -0.000589
4.099997, -0.000199, -0.000270, -0.000134
4.119997, 0.000510, -0.000260, -0.000311
4.139997, -0.000109, -0.000316, -0.000021
4.159997, 0.000511, -0.000031, -0.000124
4.179997, 0.000148, -0.000661, 0.000324
4.199997, 0.000028, -0.000187, 0.000048
4.219997, -0.000227, 0.000076, -0.000895
4.239997, -0.000527, -0.000340, -0.000555
4.259997, 0.000032, -0.000562, -0.000039
4.279997, 0.000031, -0.000215, 0.000189
4.299997, 0.000177, 0.000559, 0.000379
4.319997, -0.000149, 0.000155, -0.000047
4.339997, 0.000377, 0.000197, -0.000285
4.359997, 0.000213, -0.000303, 0.000234
4.379997, 0.000221, -0.000030, 0.000218
4.399997, 0.000382, 0.000011, -0.000545
4.419997, -0.000264, -0.000198, 0.000165
4.439997, 0.000311, 0.000690, -0.000079
4.459997, -0.000155, -0.000291, -0.000553
4.479997, -0.000196, -0.000528, 0.000164
4.499997, -0.000419, 0.000287, -0.000067
4.519997, -0.000556, 0.000245, 0.000042
4.539997, 0.000386, 0.000296, 0.000126
4.559997, 0.000255, -0.000097, 0.000129
4.579997, 0.000032, 0.000439, -0.000180
4.599997, 0.000124, 0.000332, -0.000540
4.619997, 0.000125, -0.000257, 0.000355
4.639997, 0.000143, 0.000245, -0.000501
4.659997, -0.000152, 0.000555, 0.000029
4.679996, 0.000287, 0.000223, -0.000241
4.699996, 0.000178, 0.000556, 0.000378
4.719996, -0.000662, -0.000806, -0.000543
4.739996, 0.000237, -0.000036, -0.000100
4.759996, -0.000037, -0.000181, -0.000409
4.779996, -0.000105, -0.000369, -0.000429
4.799996, 0.000076, 0.000105, -0.000150
4.819996, 0.000288, 0.000785, -0.000075
4.839996, 0.000418, 0.000041, -0.000293
4.859996, 0.000174, 0.000251, 0.000076
4.879996, -0.000081, 0.000157, 0.000346
4.899996, -0.000243, -0.000051, 0.000048
4.919996, -0.000180, -0.000657, -0.000211
4.939996, -0.000079, 0.000183, 0.000163
4.959996, 0.000379, -0.000305, 0.000078
4.979996, -0.000219, -0.000129, -0.000342
4.999996, 0.000258, -0.000011, -0.000431
5.019996, 0.000031, -0.000054, 0.000122
5.039996, -0.000399, -0.000152, -0.000328
5.059996, 0.000222, 0.000359, -0.000403
5.079996, -0.000334, -0.000005, -0.000079
5.099996, 0.000470, 0.000067, 0.000073
5.119996, -0.000086, -0.000384, -0.000133
5.139996, -0.000132, -0.000519, -0.000087
5.159996, -0.000289, -0.000126, -0.000205
5.179996, 0.000078, -0.000173, -0.000202
5.199996, 0.000246, 0.000103, -0.000057
5.219996, -0.000515, -0.000263, 0.000273
5.239996, 0.000052, -0.000224, -0.000251
5.259996, -0.000012, -0.000383, 0.000214
5.279996, -0.000284, 0.000363, 0.000049
5.299996, 0.000059, 0.000340, 0.000127
5.319996, 0.000790, 0.000113, -0.000170
5.339996, 0.000194, -0.000290, -0.000340
5.359996, -0.000063, 0.000036, -0.000380
5.379996, -0.000355, -0.000062, -0.000006
5.399996, 0.000005, -0.000046, 0.000210
5.419996, -0.000006, 0.000590, -0.000078
5.439996, -0.000329, 0.000034, -0.000026
5.459996, -0.000789, 0.000445, -0.000374
5.479996, 0.000085, 0.000763, 0.000406
5.499996, -0.000108, 0.000408, -0.000037
5.519996, -0.000176, -0.000220, -0.000433
5.539996, 0.000108, 0.000410, 0.000406
5.559996, -0.000055, 0.000476, 0.000103
5.579996, 0.000149, 0.000032, -0.000472
5.599996, -0.000567, -0.000366, -0.000142
5.619996, 0.000160, -0.000024, -0.000297
5.639996, 0.000555, 0.000311, -0.000747
5.659996, -0.000107, -0.000216, -0.000179
5.679996, -0.000492, 0.000224, -0.000047
5.699996, -0.000174, -0.000494, 0.000186
5.719995, -0.000124, -0.000165, 0.000230
5.739995, -0.000202, 0.000037, -0.000387
5.759995, -0.000632, 0.000074, -0.000435
5.779995, -0.000200, -0.000399, 0.000161
5.799995, 0.000284, -0.000033, 0.000110
5.819995, 0.000228, -0.001222, -0.000391
5.839995, 0.000326, 0.000035, -0.000846
5.859995, 0.000006, -0.000078, -0.000292
5.879995, -0.000157, -0.000636, -0.000137
5.899995, 0.000216, -0.000591, -0.000207
5.919995, 0.000147, 0.000393, 0.000146
5.939995, -0.000224, -0.000734, -0.000464
5.959995, -0.000130, -0.000274, -0.000641
5.979995, 0.000038, 0.000618, 0.000221
5.999995, 0.000049, -0.000010, -0.000548
6.019995, 0.000211, -0.000297, 0.000511
6.039995, -0.000660, 0.000149, -0.000572
6.059995, -0.000840, -0.000136, -0.000559
6.079995, 0.000287, -0.000058, -0.000429
6.099995, -0.000677, -0.000016, -0.000071
6.119995, -0.000336, -0.000085, -0.000112
6.139995, -0.000342, -0.000207, -0.000738
6.159995, -0.000197, -0.000270, -0.000204
6.179995, -0.000342, -0.000827, -0.000676
6.199995, 0.000121, 0.000471, -0.000516
6.219995, -0.000360, 0.000123, -0.000476
6.239995, -0.000496, 0.000475, -0.000343
6.259995, -0.000108, -0.000244, -0.000294
6.279995, 0.000788, -0.000354, -0.000008
6.299995, 0.000262, 0.000084, -0.000149
6.319995, 0.000280, -0.000678, -0.000227
6.339995, 0.000145, -0.000447, -0.000091
6.359995, 0.000017, 0.000031, -0.000084
6.379995, -0.000585, -0.000619, 0.000371
6.399995, -0.000260, -0.000061, -0.000136
6.419995, 0.000143, 0.000064, -0.000431
6.439995, -0.000358, 0.000223, -0.000199
6.459995, -0.000180, -0.000292, -0.000691
6.479995, 0.000348, -0.000307, -0.000224
6.499995, -0.000015, -0.000078, -0.000230
6.519995, -0.000338, -0.000041, -0.000245
6.539995, -0.000009, -0.000194, 0.000095
6.559995, -0.000381, -0.000036, -0.000298
6.579995, -0.000016, 0.000267, -0.000243
6.599995, 0.000095, -0.000040, -0.000474
6.619995, 0.000240, -0.000004, 0.000421
6.639995, -0.000119, 0.000151, -0.000037
6.659995, 0.000150, 0.000210, 0.000491
6.679995, 0.000077, -0.000261, 0.000444
6.699995, -0.000331, 0.000532, 0.000375
6.719995, 0.000113, 0.000531, -0.000193
6.739995, -0.000079, -0.000348, 0.000414
6.759995, 0.000349, -0.000030, -0.000302
6.779994, 0.000398, 0.000215, -0.000538
6.799994, 0.000161, -0.000127, -0.000659
6.819994, -0.000076, -0.000432, 0.000394
6.839994, -0.000244, 0.000309, -0.000503
6.859994, 0.000467, -0.000052, -0.000082
6.879994, 0.000398, -0.000148, -0.000065
6.899994, 0.000177, 0.000044, 0.000461
6.919994, 0.000193, -0.000157, -0.000458
6.939994, 0.000290, 0.000361, 0.000149
6.959994, -0.000007, 0.000135, 0.000262
6.979994, 0.000439, -0.000594, -0.000586
6.999994, -0.000168, -0.000261, 0.000315
7.019994, 0.000013, -0.000028, 0.000372
7.039994, -0.000333, -0.000106, -0.000076
7.059994, 0.000266, 0.000201, -0.000082
7.079994, 0.000007, -0.000396, 0.000159
7.099994, -0.000496, -0.000200, -0.000143
7.119994, 0.000354, 0.000158, 0.000103
7.139994, 0.000200, 0.000204, 0.000261
7.159994, -0.000035, 0.000242, -0.000040
7.179994, 0.000257, -0.000103, -0.000313
7.199994, -0.000042, -0.000024, -0.000046
7.219994, -0.000086, -0.000103, 0.000029
7.239994, 0.000123, 0.000192, -0.000331
7.259994, -0.000840, 0.000145, -0.000344
7.279994, 0.000629, -0.000124, -0.000051
7.299994, 0.000401, 0.000364, -0.000271
7.319994, 0.000466, 0.000095, -0.000150
7.339994, -0.000131, 0.000250, -0.000134
7.359994, 0.000740, 0.000060, -0.000364
7.379994, -0.000613, 0.000265, -0.000159
7.399994, -0.000474, -0.000015, -0.000509
7.419994, -0.000202, -0.000006, -0.000341
7.439994, 0.000074, -0.000099, -0.000248
7.459994, 0.000027, 0.000132, -0.000201
7.479994, 0.000396, -0.000143, 0.000170
7.499994, -0.000132, -0.000637, -0.000139
7.519994, -0.000038, 0.000015, -0.000015
7.539994, 0.000039, 0.000495, -0.000330
7.559994, 0.000286, 0.000153, 0.000130
7.579994, 0.000127, 0.000070, 0.000238
7.599994, -0.000145, -0.000237, 0.000066
7.619994, -0.000176, -0.000503, -0.000138
7.639994, -0.000328, 0.000153, 0.000180
7.659994, 0.000032, -0.000174, -0.000439
7.679994, 0.000167, 0.000058, -0.000242
7.699994, 0.000304, -0.000349, -0.000000
7.719994, -0.000359, -0.000783, 0.000232
7.739994, -0.000015, -0.000006, -0.000409
7.759994, -0.000306, -0.000170, 0.000455
7.779994, -0.000078, -0.000153, 0.000231
7.799994, -0.000152, -0.000161, 0.000295
7.819993, -0.000472, -0.000214, 0.000272
7.839993, -0.000475, 0.000406, -0.000137
7.859993, 0.000079, 0.000555, 0.000522
7.879993, -0.000218, -0.000589, 0.000135
7.899993, 0.000102, 0.000445, 0.000375
7.919993, -0.000133, 0.000201, -0.000322
7.939993, 0.000632, -0.000219, -0.000105
7.959993, 0.000106, -0.000263, 0.000468
7.979993, -0.000280, 0.000106, 0.000281
7.999993, -0.000496, 0.000428, -0.000062
8.019994, -0.000034, 0.000332, -0.000432
8.039994, 0.000046, 0.000033, -0.000910
8.059995, -0.000199, 0.000357, -0.000523
8.079995, 0.000145, 0.000362, -0.000387
8.099996, -0.000307, 0.000173, -0.000467
8.119996, -0.000011, 0.000317, 0.000060
8.139997, -0.000182, -0.000364, -0.000575
8.159997, -0.000571, 0.000123, -0.000812
8.179997, -0.000267, -0.000126, -0.000205
8.199998, 0.000651, -0.000146, -0.000056
8.219998, 0.000240, -0.000196, -0.000244
8.239999, 0.000143, 0.000408, -0.000194
8.259999, 0.000114, -0.000026, 0.000491
8.280000, 0.000013, 0.000080, -0.000316
8.300000, -0.000248, 0.000155, -0.000005
8.320001, -0.000425, 0.000147, -0.000351
8.340001, -0.000249, -0.000382, -0.000179
8.360002, -0.000190, 0.000307, -0.000292
8.380002, 0.000379, 0.000551, -0.000238
8.400002, -0.000036, -0.000116, -0.000096
8.420003, -0.000356, -0.000328, -0.000076
8.440003, -0.000563, 0.000101, -0.000418
8.460004, 0.000167, 0.000107, -0.000263
8.480004, 0.000011, -0.000331, -0.000066
8.500005, -0.000107, -0.000316, -0.000230
8.520005, -0.000359, -0.000243, -0.000393
8.540006, -0.000336, 0.000037, -0.000304
8.560006, -0.000061, -0.000241, 0.000030
8.580007, 0.000056, -0.000029, -0.000094
8.600007, 0.000395, 0.000018, -0.000192
8.620008, -0.000427, 0.000262, -0.000368
8.640008, -0.000127, 0.000613, -0.000197
8.660008, 0.000375, -0.000037, -0.000171
8.680009, 0.000153, 0.000501, -0.000172
8.700009, -0.000060, -0.000592, -0.000044
8.720010, 0.000678, 0.000291, -0.000096
8.740010, 0.000210, -0.000146, 0.000140
8.760011, 0.000283, 0.000222, -0.000170
8.780011, 0.000215, -0.000141, 0.000307
8.800012, -0.000218, 0.000082, 0.000048
8.820012, 0.000121, -0.000105, -0.000244
8.840013, 0.000141, -0.000665, -0.000690
8.860013, -0.000012, -0.000308, 0.000279
8.880013, 0.000360, -0.000029, 0.000215
8.900014, -0.000244, -0.000148, 0.000135
8.920014, 0.000441, 0.000279, 0.000408
8.940015, -0.000450, -0.000390, -0.000393
8.960015, 0.000493, -0.000081, -0.000053
8.980016, 0.000080, -0.000143, 0.000393
9.000016, 0.000284, 0.000132, -0.000264
9.020017, -0.000102, 0.000216, 0.000834
9.040017, 0.000374, 0.000330, -0.000129
9.060018, 0.000586, -0.000285, 0.000339
9.080018, -0.000010, -0.000021, -0.000246
9.100019, 0.000286, -0.000541, 0.000098
9.120019, -0.000061, -0.000517, 0.000227
9.140019, -0.000354, -0.000267, -0.000165
9.160020, -0.000769, -0.000233, -0.000394
9.180020, 0.000124, -0.000086, -0.000226
9.200021, -0.000174, 0.000130, -0.000205
9.220021, -0.000081, 0.000206, 0.000393
9.240022, -0.000425, 0.000086, 0.000114
9.260022, -0.000715, 0.000284, 0.000089
9.280023, 0.000150, 0.000135, 0.000216
9.300023, 0.000055, -0.000333, 0.000028
9.320024, 0.000448, 0.001086, -0.000096
9.340024, 0.000011, 0.000217, -0.000682
9.360024, 0.000143, -0.000376, -0.000160
9.380025, -0.000331, -0.000222, 0.000462
