t_uk, uk1, uk2, uk3
2.759998, -0.002037, -0.001076, -0.001458
2.779998, -0.002210, -0.001092, -0.002518
2.799998, -0.002097, -0.001476, -0.001857
2.819998, -0.002754, -0.000902, -0.002115
2.839998, -0.002207, -0.001662, -0.001740
2.859998, -0.001841, -0.001498, -0.001731
2.879998, -0.002367, -0.000988, -0.001746
2.899998, -0.002142, -0.001290, -0.001998
2.919998, -0.002000, -0.001376, -0.002023
2.939998, -0.001384, -0.001508, -0.001711
2.959998, -0.001628, -0.001144, -0.001226
2.979998, -0.001971, -0.001129, -0.001733
2.999998, -0.002409, -0.001250, -0.001860
3.019998, -0.002017, -0.001178, -0.001664
3.039998, -0.001999, -0.001319, -0.002261
3.059998, -0.002397, -0.001452, -0.002042
3.079998, -0.002092, -0.001666, -0.001603
3.099998, -0.002688, -0.001242, -0.001630
3.119998, -0.002023, -0.001622, -0.001879
3.139998, -0.002205, -0.001253, -0.001075
3.159998, -0.002436, -0.000825, -0.002015
3.179998, -0.001583, -0.001195, -0.001726
3.199998, -0.001651, -0.001032, -0.001658
3.219998, -0.001721, -0.001239, -0.001456
3.239998, -0.002617, -0.001132, -0.001812
3.259998, -0.002481, -0.001102, -0.001469
3.279998, -0.002337, -0.001339, -0.001485
3.299998, -0.001905, -0.000822, -0.001659
3.319998, -0.002096, -0.001677, -0.001606
3.339998, -0.002419, -0.001150, -0.001997
3.359998, -0.001976, -0.001128, -0.002175
3.379997, -0.002203, -0.001514, -0.001305
3.399997, -0.001655, -0.001399, -0.001180
3.419997, -0.002092, -0.000969, -0.001871
3.439997, -0.002182, -0.001219, -0.001575
3.459997, -0.002022, -0.001242, -0.001619
3.479997, -0.002840, -0.000807, -0.001556
3.499997, -0.002157, -0.001342, -0.001848
3.519997, -0.002140, -0.000873, -0.001920
3.539997, -0.001701, -0.001085, -0.002097
3.559997, -0.001882, -0.001413, -0.001872
3.579997, -0.002088, -0.001083, -0.001693
3.599997, -0.002542, -0.000853, -0.001903
3.619997, -0.002820, -0.000969, -0.001467
3.639997, -0.001473, -0.001333, -0.001519
3.659997, -0.002663, -0.001009, -0.001815
3.679997, -0.002266, -0.001336, -0.001389
