t_ur, ur1, ur2, ur3
2.759998, 0.412652, 0.625346, -0.814308
2.779998, -0.098608, 0.625550, -0.814474
2.799998, 0.412335, 0.626347, -0.814194
2.819998, 0.412435, 0.114324, -0.815307
2.839998, 0.412808, 0.114624, -1.837366
2.859998, 0.923873, 0.624912, -0.813741
2.879998, 0.412125, 0.114631, -1.836385
2.899998, 0.412696, 0.114890, -0.814262
2.919998, 0.411934, 0.114538, 0.207440
2.939998, 0.923809, 0.115188, -1.325289
2.959998, 0.413148, 0.114432, -0.814147
2.979998, 0.412815, 0.114734, -0.814264
2.999998, 0.411796, 0.114071, -1.836711
3.019998, 0.412376, 0.625655, -0.813946
3.039998, 0.923479, 0.625313, -1.324776
3.059998, 0.412919, 0.113500, -0.814081
3.079998, 0.412759, -0.396399, -0.814582
3.099998, 0.412420, 0.114350, -0.814768
3.119998, 0.412488, 1.136658, -0.814381
3.139998, -0.098822, 0.114444, -0.814405
3.159998, 0.412466, 0.114515, -1.325292
3.179998, 0.412141, 0.625112, -0.814505
3.199998, 0.923689, 0.626055, -0.814902
3.219998, 0.412512, 0.114654, -1.325244
3.239998, 0.412151, 0.625735, -1.325114
3.259998, 0.412670, 0.625063, -0.303421
3.279998, 0.412076, 1.136183, -0.303656
3.299998, 0.923824, 0.625436, -0.814841
3.319998, 0.412602, 0.113865, -0.814847
3.339998, 0.412565, 1.648043, -1.325105
3.359998, 0.412602, 0.625993, -0.814627
3.379997, 0.412828, 0.113818, -0.814541
3.399997, 0.413046, 0.114265, -0.813980
3.419997, 0.412858, 0.114570, -0.303398
3.439997, 0.412336, 0.115073, -0.814240
3.459997, 0.412582, 0.625462, -2.346901
3.479997, 0.411727, 0.114253, -0.814363
3.499997, 0.412272, 1.136403, -0.303830
3.519997, 0.412215, 0.625130, -0.814501
3.539997, 0.412069, 0.625036, -1.325791
3.559997, 0.412863, 0.627018, -0.814593
3.579997, 0.418568, 0.139746, -1.332014
3.599997, 0.418929, 0.132655, -1.841227
3.619997, 0.937590, 0.640319, -0.823123
3.639997, 0.450090, 0.166491, -1.336779
3.659997, 0.803933, 0.095356, -0.790501
