t, x2_estimate, x2_phiobs, x2_fullobs
0.000000, -0.004949, -0.003659, -0.031821
0.040000, -0.005881, -0.005325, -0.058426
0.060000, -0.005238, -0.005682, -0.082509
0.080000, -0.005704, -0.006829, -0.101182
0.100000, -0.005571, -0.006570, -0.118429
0.120000, -0.005171, -0.006514, -0.132854
0.140000, -0.005681, -0.006377, -0.144815
0.160000, -0.005593, -0.007850, -0.153684
0.180000, -0.005460, -0.007368, -0.162490
0.200000, -0.005304, -0.007127, -0.169814
0.220000, -0.005415, -0.008117, -0.174554
0.240000, -0.004816, -0.007465, -0.179954
0.260000, -0.005304, -0.006831, -0.184252
0.280000, -0.005548, -0.007978, -0.186667
0.300000, -0.005548, -0.008622, -0.188826
0.320000, -0.006281, -0.008861, -0.190683
0.340000, -0.005171, -0.009341, -0.192536
0.360000, -0.005792, -0.008860, -0.193750
0.380000, -0.005504, -0.008895, -0.195018
0.400000, -0.005127, -0.007557, -0.197350
0.420000, -0.004993, -0.006749, -0.199135
0.440000, -0.005371, -0.006353, -0.200545
0.460000, -0.005548, -0.006475, -0.201817
0.480000, -0.005770, -0.007880, -0.201577
0.500000, -0.005593, -0.008668, -0.201490
0.520000, -0.006081, -0.007758, -0.202727
0.540000, -0.005415, -0.008796, -0.202560
0.560000, -0.005238, -0.008863, -0.202229
0.600000, -0.005637, -0.007562, -0.203258
0.620000, -0.005704, -0.008339, -0.202885
0.640000, -0.005415, -0.008717, -0.202630
0.660000, -0.005437, -0.008671, -0.202351
0.680000, -0.005215, -0.007456, -0.203490
0.700000, -0.005060, -0.007930, -0.202991
0.720000, -0.005415, -0.006885, -0.203884
0.740000, -0.005460, -0.007790, -0.203378
0.760000, -0.004927, -0.007101, -0.204335
0.780000, -0.005482, -0.006528, -0.204912
0.800000, -0.005504, -0.007785, -0.204211
0.820000, -0.005681, -0.006121, -0.206332
0.840000, -0.005282, -0.007887, -0.205393
0.860000, -0.005770, -0.008478, -0.204509
0.880000, -0.004971, -0.008969, -0.203973
0.900000, -0.005437, -0.008651, -0.203286
0.920000, -0.006192, -0.008659, -0.202905
0.940000, -0.004883, -0.007919, -0.204209
0.960000, -0.005260, -0.006871, -0.204812
0.980000, -0.005104, -0.007767, -0.204072
1.000000, -0.005482, -0.009197, -0.202102
1.020000, -0.005326, -0.008789, -0.202020
1.040000, -0.006303, -0.007299, -0.203259
1.060000, -0.005859, -0.006115, -0.205919
1.080000, -0.005726, -0.006693, -0.206547
1.100000, -0.005149, -0.007028, -0.206990
1.120000, -0.005149, -0.008068, -0.205794
1.140000, -0.005593, -0.008487, -0.204829
1.159999, -0.004749, -0.008855, -0.204209
1.179999, -0.005016, -0.008440, -0.203436
1.199999, -0.005548, -0.008273, -0.202912
1.219999, -0.005504, -0.008430, -0.202687
1.239999, -0.005282, -0.008437, -0.202514
1.259999, -0.005726, -0.007130, -0.203655
1.279999, -0.005881, -0.007976, -0.203385
1.299999, -0.004971, -0.008482, -0.203243
1.319999, -0.005304, -0.007028, -0.204174
1.339999, -0.005571, -0.007709, -0.203688
1.359999, -0.005082, -0.008177, -0.203401
1.379999, -0.005437, -0.008081, -0.203020
1.399999, -0.005060, -0.007056, -0.204181
1.419999, -0.005437, -0.007557, -0.203643
1.439999, -0.005016, -0.007993, -0.203348
1.459999, -0.005415, -0.007922, -0.202982
1.479999, -0.005149, -0.006942, -0.204169
1.499999, -0.005104, -0.007538, -0.203689
1.519999, -0.005748, -0.007773, -0.203297
1.539999, -0.004994, -0.007106, -0.204546
1.559999, -0.005171, -0.006444, -0.205284
1.579999, -0.005504, -0.007446, -0.204583
1.599999, -0.005615, -0.008107, -0.204138
1.619999, -0.005060, -0.005069, -0.207828
1.639999, -0.005193, -0.005867, -0.207871
1.659999, -0.005437, -0.007568, -0.206581
1.679999, -0.005127, -0.008486, -0.205620
1.699999, -0.005282, -0.007529, -0.206076
1.719999, -0.005970, -0.007173, -0.206473
1.739999, -0.005215, -0.007467, -0.207004
1.759999, -0.005571, -0.007240, -0.207156
1.779999, -0.004838, -0.007376, -0.207372
1.799999, -0.005060, -0.008179, -0.205938
1.819999, -0.005615, -0.007445, -0.206187
1.839999, -0.005548, -0.007432, -0.206554
1.859999, -0.004727, -0.007443, -0.206809
1.879999, -0.005615, -0.008126, -0.205381
1.899999, -0.005482, -0.008864, -0.204534
1.919999, -0.005082, -0.009052, -0.203824
1.939999, -0.005149, -0.007663, -0.204466
1.959999, -0.005304, -0.008170, -0.203661
1.979999, -0.005748, -0.007299, -0.204415
1.999999, -0.005593, -0.008332, -0.203833
2.019999, -0.005881, -0.007574, -0.204667
2.039999, -0.005637, -0.007445, -0.205432
2.059999, -0.004638, -0.008458, -0.204625
2.079999, -0.005260, -0.008284, -0.203648
2.099999, -0.005504, -0.007312, -0.204416
2.119999, -0.004816, -0.009301, -0.202442
2.139999, -0.005393, -0.008542, -0.201999
2.159999, -0.005526, -0.007275, -0.203192
2.179999, -0.005415, -0.007951, -0.202864
2.199999, -0.005482, -0.005932, -0.205252
2.219999, -0.005215, -0.007474, -0.204497
2.239999, -0.005238, -0.006923, -0.205144
2.259999, -0.004994, -0.006736, -0.205657
2.279999, -0.005992, -0.007704, -0.204634
2.299999, -0.005815, -0.008709, -0.204159
2.319999, -0.005460, -0.007924, -0.205072
2.339998, -0.005482, -0.008519, -0.204348
2.359998, -0.005637, -0.008747, -0.203787
2.379998, -0.005460, -0.007741, -0.204740
2.399998, -0.004927, -0.008338, -0.204107
2.419998, -0.005504, -0.008245, -0.203429
2.439998, -0.005127, -0.007323, -0.204426
2.459998, -0.005238, -0.005593, -0.206425
2.479998, -0.005304, -0.006157, -0.206693
2.499998, -0.005837, -0.005445, -0.208240
2.519998, -0.005371, -0.006766, -0.208283
2.539998, -0.005548, -0.008360, -0.206801
2.559998, -0.005082, -0.009142, -0.205669
2.579998, -0.005992, -0.007984, -0.205940
2.599998, -0.005393, -0.009081, -0.205117
2.619998, -0.005460, -0.009179, -0.204269
2.639998, -0.005615, -0.008010, -0.204958
2.659998, -0.005548, -0.008688, -0.204225
2.679998, -0.005171, -0.008905, -0.203632
2.699998, -0.005681, -0.007564, -0.204379
2.719998, -0.005460, -0.008383, -0.203813
2.739998, -0.005482, -0.007474, -0.204637
2.759998, -0.005215, -0.008237, -0.203968
2.779998, -0.005437, -0.008394, -0.203356
2.799998, -0.005460, -0.008524, -0.202958
2.819998, -0.005193, -0.008538, -0.202668
2.839998, -0.004949, -0.007192, -0.203702
2.859998, -0.005393, -0.007585, -0.203111
2.879998, -0.005215, -0.006864, -0.204134
2.899998, -0.005704, -0.006506, -0.204891
2.919998, -0.005371, -0.007858, -0.204321
2.939998, -0.005326, -0.007174, -0.205100
2.959998, -0.004927, -0.006884, -0.205698
2.979998, -0.005526, -0.006576, -0.206026
2.999998, -0.004727, -0.007977, -0.205138
3.019998, -0.005504, -0.005867, -0.206825
3.039998, -0.005082, -0.006588, -0.207063
3.059998, -0.005104, -0.007909, -0.205757
3.079998, -0.005415, -0.007343, -0.206047
3.099998, -0.005948, -0.008405, -0.205033
3.119998, -0.004905, -0.009162, -0.204412
3.139998, -0.005215, -0.009953, -0.202244
3.159998, -0.005349, -0.009120, -0.201980
3.179998, -0.005038, -0.006419, -0.204506
3.199998, -0.005548, -0.006237, -0.205070
3.219998, -0.005593, -0.007685, -0.204350
3.239998, -0.005149, -0.007270, -0.205136
3.259998, -0.004883, -0.008010, -0.204275
3.279998, -0.005415, -0.007003, -0.204835
3.299998, -0.005060, -0.008001, -0.204117
3.319998, -0.005548, -0.008223, -0.203434
3.339998, -0.004971, -0.008541, -0.203068
3.359998, -0.005371, -0.008287, -0.202598
3.379997, -0.005659, -0.007186, -0.203708
3.399997, -0.005681, -0.006906, -0.204697
3.419997, -0.005127, -0.008031, -0.204162
3.439997, -0.005304, -0.007091, -0.204893
3.459997, -0.005704, -0.006795, -0.205527
3.479997, -0.005571, -0.008107, -0.204826
3.499997, -0.004061, -0.008636, -0.204233
3.519997, -0.006281, -0.005644, -0.205918
3.539997, -0.004927, -0.007906, -0.205312
3.559997, -0.005193, -0.008216, -0.204383
3.579997, -0.004949, -0.008423, -0.203734
3.599997, -0.005948, -0.008286, -0.203139
3.619997, -0.004905, -0.008731, -0.203019
3.639997, -0.004616, -0.007155, -0.203928
3.659997, -0.005615, -0.007382, -0.203214
3.679997, -0.006458, -0.006899, -0.204322
3.699997, -0.005460, -0.007295, -0.205500
3.719997, -0.004949, -0.008175, -0.204774
3.739997, -0.005171, -0.008240, -0.204025
3.759997, -0.006125, -0.008308, -0.203506
3.779997, -0.005637, -0.007714, -0.204763
3.799997, -0.005104, -0.007243, -0.205607
3.819997, -0.005859, -0.010173, -0.202093
3.839997, -0.005704, -0.008334, -0.203586
3.859997, -0.005016, -0.008539, -0.203404
3.879997, -0.005437, -0.007055, -0.204376
3.899997, -0.005881, -0.007780, -0.203955
3.919997, -0.005593, -0.008386, -0.203783
3.939997, -0.005060, -0.007365, -0.204900
3.959997, -0.006037, -0.008897, -0.202940
3.979997, -0.005326, -0.008921, -0.203066
3.999997, -0.005903, -0.008481, -0.202951
4.019997, -0.006259, -0.009693, -0.201741
4.039997, -0.005260, -0.008098, -0.203609
4.059997, -0.005171, -0.007973, -0.203443
4.079997, -0.005349, -0.007828, -0.203290
4.099997, -0.005082, -0.007838, -0.203239
4.119997, -0.006747, -0.006538, -0.204453
4.139997, -0.012961, -0.008157, -0.204646
4.159997, 0.005415, -0.012817, -0.206970
4.179997, 0.020751, -0.004277, -0.202640
4.199997, 0.052554, 0.011150, -0.195085
4.219997, 0.072794, 0.038073, -0.176392
4.239997, 0.141150, 0.067133, -0.155022
4.259997, 0.288092, 0.124205, -0.112154
4.279997, 0.436831, 0.246679, -0.025574
4.299997, 0.468990, 0.407973, 0.098592
4.319997, 0.452744, 0.520710, 0.214497
4.339997, 0.512289, 0.577106, 0.305513
4.359997, 0.717422, 0.645757, 0.402923
4.379997, 0.893948, 0.811262, 0.554417
4.399997, 0.962014, 1.011647, 0.745897
4.419997, 1.002983, 1.168963, 0.931123
4.439997, 1.070939, 1.286045, 1.100483
4.459997, 1.166282, 1.393819, 1.268519
4.479997, 1.270147, 1.515410, 1.442138
4.499997, 1.349000, 1.648766, 1.624871
4.519997, 1.414359, 1.773712, 1.806778
4.539997, 1.461808, 1.885615, 1.983408
4.559997, 1.454551, 1.977976, 2.150838
4.579997, 1.398269, 2.028270, 2.289048
4.599997, 1.318328, 2.023043, 2.387241
4.619997, 1.210358, 1.971385, 2.443579
4.639997, 1.101078, 1.875872, 2.454992
4.659997, 1.000875, 1.757639, 2.424051
4.679996, 0.936403, 1.623185, 2.370058
4.699996, 0.903957, 1.506709, 2.303175
4.719996, 0.883295, 1.421135, 2.235054
4.739996, 0.873840, 1.359127, 2.171322
4.759996, 0.883051, 1.316404, 2.116457
4.779996, 0.888199, 1.298667, 2.072711
4.799996, 0.872664, 1.291466, 2.038366
4.819996, 0.839530, 1.277772, 2.004852
4.839996, 0.789173, 1.248504, 1.967322
4.859996, 0.722349, 1.201144, 1.919064
4.879996, 0.642186, 1.133279, 1.856092
4.899996, 0.574985, 1.045427, 1.776111
4.919996, 0.539653, 0.953899, 1.686194
4.939996, 0.545734, 0.879618, 1.598804
4.959996, 0.541096, 0.840473, 1.527728
4.979996, 0.521898, 0.815060, 1.466724
4.999996, 0.528712, 0.789835, 1.407872
5.019996, 0.539964, 0.778050, 1.362481
5.039996, 0.535170, 0.779266, 1.327211
5.059996, 0.513154, 0.776842, 1.296387
5.079996, 0.467547, 0.760747, 1.264714
5.099996, 0.394509, 0.723803, 1.222793
5.119996, 0.311750, 0.658109, 1.162822
5.139996, 0.227282, 0.571017, 1.082918
5.159996, 0.161945, 0.468019, 0.988338
5.179996, 0.108969, 0.371140, 0.883813
5.199996, 0.058302, 0.281426, 0.779265
5.219996, 0.019086, 0.196428, 0.676700
5.239996, -0.006148, 0.126125, 0.574204
5.259996, -0.018687, 0.069994, 0.479369
5.279996, -0.021505, 0.029799, 0.395314
5.299996, -0.024124, 0.004741, 0.323666
5.319996, -0.027875, -0.011436, 0.262522
5.339996, -0.013982, -0.023157, 0.209839
5.359996, 0.030005, -0.022679, 0.171664
5.379996, 0.083669, 0.004535, 0.154634
5.399996, 0.122152, 0.054162, 0.157416
5.419996, 0.132738, 0.104964, 0.174446
5.439996, 0.120399, 0.140864, 0.192519
5.459996, 0.104198, 0.155320, 0.202295
5.479996, 0.095542, 0.152538, 0.206487
5.499996, 0.087020, 0.146927, 0.205806
5.519996, 0.072506, 0.138373, 0.202473
5.539996, 0.052199, 0.123368, 0.196173
5.559996, 0.036042, 0.104762, 0.181304
5.579996, 0.015469, 0.081579, 0.166104
5.599996, -0.009632, 0.056997, 0.144943
5.619996, -0.027475, 0.027445, 0.118601
5.639996, -0.034932, -0.000544, 0.090363
5.659996, -0.034511, -0.021297, 0.064091
5.679996, -0.029051, -0.033072, 0.042160
5.699996, -0.023902, -0.036591, 0.025614
5.719995, -0.020817, -0.035528, 0.013495
5.739995, -0.014958, -0.034201, 0.005721
5.759995, -0.001198, -0.028529, -0.000176
5.779995, 0.021661, -0.015819, -0.001697
5.799995, 0.045075, 0.004010, 0.006333
5.819995, 0.059101, 0.030843, 0.019850
5.839995, 0.062674, 0.052377, 0.038871
5.859995, 0.060166, 0.069535, 0.053453
5.879995, 0.054307, 0.076548, 0.066376
5.899995, 0.051710, 0.075951, 0.076666
5.919995, 0.021306, 0.097858, 0.098607
5.939995, -0.062962, -0.068981, 0.065603
5.959995, -0.139441, -0.057391, -0.058191
5.979995, -0.176548, -0.206132, -0.119359
