t, uk1, uk2, uk3)
2.759998, -0.006547, -0.006125, -0.001709
2.779998, -0.006392, -0.005437, -0.005726
2.799998, -0.005815, -0.004505, -0.001487
2.819998, -0.006059, -0.005815, -0.006236
2.839998, -0.005970, -0.004794, -0.001198
2.859998, -0.006969, -0.006725, -0.006414
2.879998, -0.005770, -0.004350, -0.001753
2.899998, -0.006547, -0.006658, -0.005571
2.919998, -0.005571, -0.004927, -0.002574
2.939998, -0.006392, -0.005837, -0.004594
2.959998, -0.005970, -0.005104, -0.003218
2.979998, -0.006148, -0.005127, -0.003329
2.999998, -0.006103, -0.005193, -0.004217
3.019998, -0.005926, -0.005082, -0.003218
3.039998, -0.005726, -0.005659, -0.004550
3.059998, -0.006192, -0.005548, -0.002619
3.079998, -0.006303, -0.005926, -0.004994
3.099998, -0.005992, -0.004416, -0.003262
3.119998, -0.005992, -0.005637, -0.004727
3.139998, -0.005615, -0.005371, -0.003462
3.159998, -0.005992, -0.005770, -0.003973
3.179998, -0.005615, -0.005326, -0.003529
3.199998, -0.005926, -0.006081, -0.004084
3.219998, -0.006125, -0.005038, -0.004283
3.239998, -0.006503, -0.005415, -0.002730
3.259998, -0.006014, -0.005016, -0.004328
3.279998, -0.005637, -0.005526, -0.003040
3.299998, -0.005326, -0.005548, -0.004838
3.319998, -0.006725, -0.006236, -0.002086
3.339998, -0.006414, -0.006170, -0.004927
3.359998, -0.006392, -0.004505, -0.003573
3.379997, -0.003618, -0.012339, -0.002175
3.399997, -0.009121, -0.022127, -0.003618
3.419997, -0.005171, -0.005948, 0.000688
3.439997, -0.006614, -0.015535, -0.001931
3.459997, -0.003373, -0.009321, -0.002663
3.479997, -0.003507, -0.005748, -0.002308
3.499997, -0.005371, -0.002752, -0.005504
3.519997, -0.011718, 0.005082, -0.004572
3.539997, -0.007745, 0.003040, -0.004416
3.559997, -0.008589, -0.008766, -0.001332
3.579997, -0.008323, -0.000355, -0.009765
3.599997, -0.009588, -0.015225, -0.000866
3.619997, -0.008189, -0.019796, -0.002064
3.639997, -0.004949, -0.012295, -0.002796
3.659997, -0.003839, -0.009388, -0.003684
3.679997, -0.004128, -0.010631, -0.000488
3.699997, -0.005082, -0.006081, 0.001132
3.719997, -0.009809, -0.000111, -0.000067
3.739997, -0.012118, 0.007479, -0.004061
3.759997, -0.011652, -0.004594, -0.000732
3.779997, -0.010786, -0.012961, 0.001176
3.799997, -0.015136, -0.013027, 0.002974
3.819997, -0.020928, -0.002952, 0.004172
3.839997, -0.024923, 0.001265, 0.011030
3.859997, -0.030782, 0.010120, -0.002064
3.879997, -0.026832, 0.016312, -0.006569
3.899997, -0.047205, 0.008478, -0.003862
3.919997, -0.072461, -0.011607, 0.003285
3.939997, -0.086776, -0.005038, 0.000510
3.959997, -0.101135, 0.003329, -0.004106
3.979997, -0.119334, 0.004594, -0.007590
3.999997, -0.126946, 0.003218, -0.004794
4.019997, -0.120243, -0.005149, -0.000577
4.039997, -0.118801, 0.001132, -0.004328
4.059997, -0.133515, 0.005193, -0.003262
4.079997, -0.137821, -0.013715, 0.004971
4.099997, -0.132095, -0.015313, 0.000910
4.119997, -0.116604, -0.002685, -0.002197
4.139997, -0.113918, -0.000466, -0.007723
4.159997, -0.129054, -0.010187, -0.006547
4.179997, -0.124682, -0.021727, 0.001687
4.199997, -0.125059, -0.012229, 0.004439
4.219997, -0.138109, 0.005282, -0.006192
4.239997, -0.159082, 0.004128, -0.004128
4.259997, -0.178323, -0.017910, 0.007235
4.279997, -0.172664, -0.019885, 0.004550
4.299997, -0.166605, 0.007457, -0.002020
4.319997, -0.173574, 0.004483, -0.000755
4.339997, -0.134802, 0.002974, -0.002930
4.359997, -0.060077, 0.004372, -0.017289
4.379997, -0.015735, -0.010964, -0.028696
4.399997, -0.003040, -0.016201, -0.012406
4.419997, 0.012983, 0.003728, -0.009698
4.439997, 0.018110, -0.015535, -0.009676
4.459997, 0.001154, -0.017044, -0.005304
4.479997, -0.002463, -0.002730, -0.007102
4.499997, -0.003551, -0.004306, -0.006303
4.519997, -0.005282, -0.008922, -0.004572
4.539997, -0.004927, -0.005127, -0.005060
4.559997, -0.005571, -0.005104, -0.004883
4.579997, -0.005970, -0.007235, -0.005304
4.599997, -0.006236, -0.006414, -0.004616
4.619997, -0.006281, -0.005992, -0.004527
4.639997, -0.005726, -0.005726, -0.004505
4.659997, -0.005837, -0.005548, -0.004572
4.679996, -0.006281, -0.005792, -0.003795
