t, ur1, ur2, ur3
2.419998, 0.175506, 0.695139, -1.424624
2.439998, 0.269584, 0.667287, -0.859131
2.459998, 0.343710, 1.145294, -0.789821
2.479998, 0.402123, 1.096624, -0.707195
2.499998, 0.467726, 0.537899, -2.175727
2.519998, 0.013843, 1.002835, -0.078140
2.539998, 0.053392, 0.959091, -0.027984
2.559998, 0.593007, 0.921984, -1.524368
2.579998, 0.095515, 1.412031, -0.474898
2.599998, 0.597801, 0.896728, -1.475853
2.619998, 0.556211, 0.914438, -0.946069
2.639998, 0.502858, 0.944044, -0.931466
2.659998, 0.472586, 0.946752, 0.110592
2.679998, 0.460802, 0.931816, -0.386080
2.699998, 0.444845, 0.915437, -0.369590
2.719998, 0.424604, 0.889604, -1.370657
2.739998, 0.417303, 0.337050, -0.839785
2.759998, 0.413308, 0.798900, -0.821875
2.779998, 0.399681, 0.750274, -0.291692
2.799998, 0.378398, 1.221546, -0.273737
2.819998, 0.352565, 0.664852, 0.259820
2.839998, -0.180082, 0.604287, -0.219808
2.859998, -0.185497, 0.525212, 0.327598
2.879998, 0.325334, 0.436461, -0.146614
2.899998, 0.322027, -0.165984, -0.105712
2.919998, 0.313371, 0.762521, -0.568383
2.939998, -0.211863, 0.158267, -0.507019
2.959998, 0.280725, 0.066809, -0.433892
2.979998, 0.266255, -0.518614, 0.663960
2.999998, 0.262615, 0.453723, 0.727122
3.019998, 0.268275, -0.086303, 0.777501
3.039998, 0.283255, 0.405297, -0.199752
3.059998, 0.302119, -0.621946, -1.183086
3.079998, -0.187672, -0.097000, -0.645800
3.099998, 0.345552, 0.434304, -0.112599
3.119998, 0.369010, -0.567107, -0.605764
3.139998, 0.394732, -0.026270, -0.595976
3.159998, 0.418213, 0.515731, 0.431877
3.179998, 0.446598, -0.483416, 0.438247
3.199998, 0.989931, 1.578162, 0.440577
3.219998, 0.508096, 0.057643, -0.576446
3.239998, 0.016262, 0.065743, 0.458643
3.259998, 0.532486, 0.071314, 0.990624
3.279998, 0.526339, 0.079326, 3.058993
3.299998, 0.516174, 0.601864, 0.008866
3.319998, 0.510271, 0.103894, 0.525556
3.339998, 0.502370, -0.394731, -0.497638
3.359998, 0.488033, 0.640724, 0.520717
3.379997, 0.475938, -0.372493, -0.505960
3.399997, 0.469213, 0.652864, -0.006559
3.419997, 0.470367, 0.135186, 0.490912
3.439997, 0.471898, -0.390359, -0.029196
3.459997, 0.469035, 0.110884, 0.470560
3.479997, 0.459381, 0.107200, 1.479672
3.499997, 0.450415, -0.407514, 0.445704
3.519997, -0.067140, 0.101408, -1.102746
3.539997, 0.437299, 0.102895, 2.455949
3.559997, 0.432350, 0.614314, 0.901273
3.579997, 0.430841, 0.608122, 0.882542
3.599997, 0.430463, 0.595871, 0.357130
3.619997, 0.430708, 0.071824, 0.854468
3.639997, 0.428888, 0.577540, -0.694248
3.659997, 0.424959, -0.441670, 0.306441
3.679997, 0.422740, 0.073356, -0.735928
3.699997, 0.414040, 0.073156, 0.792371
3.719997, 0.398971, 0.581446, 0.287288
3.739997, 0.383436, 0.072379, 0.801226
3.759997, 0.369587, 0.077262, 0.798762
3.779997, -0.156868, -0.419122, 0.282206
3.799997, 0.338050, 0.106890, -0.232909
3.819997, -0.184366, 0.117387, 1.301859
3.839997, 0.317122, 0.120694, -0.220791
3.859997, 0.305182, 0.121626, 0.814853
3.879997, 0.296416, 0.126043, 0.312699
3.899997, 0.296216, 0.134742, -0.202127
3.919997, -0.204029, -0.376133, 0.304310
3.939997, -0.182790, 0.113215, 0.822864
3.959997, 0.359312, 0.588192, -0.692939
3.979997, -0.119272, 0.554703, -0.677515
3.999997, 0.415106, -0.481884, -0.161269
4.019997, 0.426491, 0.041197, -0.684594
4.039997, 0.433371, 0.576807, 0.314297
4.059997, 0.445533, -0.426823, -0.219992
4.079997, 0.468237, 0.078216, 0.790928
4.099997, 0.495956, 0.061060, 0.274993
4.119997, 0.519348, 0.049276, -0.753727
4.139997, 0.528558, 0.553482, 0.264229
4.159997, 0.527848, 0.041286, 0.264695
4.179997, 0.523809, 0.551729, -0.243362
4.199997, 0.523454, 0.036426, 0.269356
4.219997, 0.525562, -0.480863, 0.268956
4.239997, 0.013621, -3.548424, 0.778522
4.259997, 0.001992, -1.000505, -0.248688
4.279997, -0.023597, 2.052663, -1.271127
4.299997, 0.957507, -1.026138, 0.259502
4.319997, 0.408958, -1.018548, 0.255729
4.339997, -0.627951, 3.084534, 1.276847
4.359997, -0.631102, 2.075921, -1.278628
4.379997, -0.120027, 6.167196, -1.790413
4.399997, -0.630503, 3.095852, -1.786130
4.419997, -2.682416, 8.716957, -3.824916
4.439997, -5.241309, 11.782043, -3.297917
4.459997, -14.940705, 16.890942, -0.720481
4.479997, -1.631015, 2.582913, -3.256371
4.499997, -13.363538, 15.881418, -3.750324
4.519997, -13.357967, 13.340835, -4.761399
4.539997, -17.950375, 16.412579, -5.266083
4.559997, -23.046068, 23.575359, -2.190677
4.579997, -29.154989, 27.160641, -5.242625
4.599997, -22.991117, 25.123825, -4.716458
4.619997, -22.972519, 18.991962, 6.530068
4.639997, -21.929230, 16.978605, 4.507573
4.659997, -23.952324, 4.769140, 15.267282
4.679996, -32.618763, 8.922335, 16.313002
4.699996, -42.296967, 5.406306, 0.999168
4.719996, -38.189823, 9.006602, -2.084549
4.739996, -45.376633, -5.339576, 3.466958
4.759996, -17.828466, 17.091457, -1.218218
4.779996, -34.741783, 0.686487, 32.447361
4.799996, -40.376694, -3.918971, 26.833010
4.819996, -45.963165, -1.320007, 28.895836
4.839996, -36.236336, -4.879634, 21.216145
4.859996, -38.797882, -11.020181, 36.011055
4.879996, -39.328510, -10.517074, 40.585976
4.899996, -41.884541, -19.194077, 41.095470
4.919996, -41.370934, -9.984737, 39.560963
4.939996, -42.403027, -19.185843, 38.531273
4.959996, -42.419670, -19.201887, 40.564270
4.979996, -40.406319, -18.717533, 43.094273
4.999996, -38.902832, -18.742256, 38.475700
5.019996, -37.403809, -21.836983, 37.435173
5.039996, -37.447994, -19.830744, 37.407742
5.059996, -34.426231, -18.849140, 34.823654
5.079996, -31.400183, -18.892462, 30.712828
5.099996, -32.463093, -16.381861, 31.714287
5.119996, -29.437332, -13.354015, 25.562273
5.139996, -26.402496, -10.842960, 22.992300
5.159996, -21.838873, -6.286639, 16.336201
5.179996, -22.902426, -5.307744, 24.503576
5.199996, -13.221748, -8.400804, 7.645260
5.219996, -9.673984, -3.834740, 0.499774
5.239996, -12.795008, -5.406504, 13.269028
5.259996, -6.705084, -0.834847, 2.538848
5.279996, -5.685619, 1.721538, 9.204651
5.299996, -6.694520, 9.399871, 2.087140
5.319996, -5.639302, 8.909980, 2.135144
5.339996, -3.051136, 12.503851, -1.912299
5.359996, -0.460229, 12.527087, -5.956591
5.379996, -2.469752, 20.731874, -6.421704
5.399996, -3.450978, 23.318071, -9.953190
5.419996, -1.861781, 20.800230, -13.470915
5.439996, -4.369496, 25.948456, -12.916852
5.459996, -7.903590, 24.966541, -13.390798
5.479996, -9.895059, 25.521294, -11.822007
5.499996, -10.866253, 27.101429, -7.197131
5.519996, -16.927992, 26.147085, -7.672386
5.539996, -19.917419, 25.202013, -8.659904
5.559996, -15.760119, 14.536082, -6.081347
5.579996, -26.441629, 25.838236, -9.136002
5.599996, -24.870144, 25.886063, 6.716159
5.619996, -31.973928, 15.197717, 2.643593
5.639996, -44.174706, 18.321575, 5.736720
5.659996, -43.628342, 0.463869, 8.280478
5.679996, -17.036346, 0.485330, 20.506992
5.699996, -24.196346, -11.740680, 42.456089
5.719995, -24.684097, -3.472907, 51.688000
5.739995, -39.427322, -8.459508, 20.597231
5.759995, -29.668844, -5.339361, 15.535976
5.779995, -45.534122, -13.055866, 36.451572
5.799995, -40.456760, -18.738180, 27.212139
5.819995, -52.234261, -9.077777, 29.207653
5.839995, -52.282684, -0.968354, 18.916286
5.859995, -54.397129, -11.291768, 43.360195
5.879995, -60.076202, -1.675884, 41.749138
5.899995, -50.900620, -0.699208, 43.749332
5.919995, -52.462605, -4.830476, 36.564625
5.939995, -49.444317, -2.314283, 33.473263
5.959995, -46.968670, -1.860466, 32.404930
5.979995, -46.545479, -2.434948, 28.269623
5.999995, -42.034210, -6.083747, 26.175703
6.019995, -43.656254, -5.138963, 25.608057
6.039995, -28.405884, 0.416816, 18.906549
6.059995, -36.142441, -6.282888, 11.709593
6.079995, -25.999014, 3.366019, 20.347557
6.099995, -20.433659, 13.031637, 3.442885
6.119995, -20.474051, -0.283225, 8.036980
6.139995, -18.475868, 17.559813, 8.017672
6.159995, -10.837284, 12.425131, -1.689982
6.179995, -15.958566, 19.563936, 9.064389
6.199995, 5.503049, 13.937417, -5.212035
6.219995, 8.576691, 21.105774, -5.167449
6.239995, -9.830114, 49.217896, -14.821882
6.259995, 5.526263, 55.868244, 0.578205
6.279995, -2.084291, 60.469841, -60.140938
6.299995, 24.523817, 11.909905, -47.290302
6.319995, -3.136180, 46.603161, -18.192310
6.339995, -4.182810, 48.154560, -27.899586
6.359995, -0.522192, 46.188828, -18.645151
6.379995, -17.282396, 46.273495, -25.228195
6.399995, -35.566582, 26.424059, -15.978220
6.419995, -18.590570, 42.841675, -21.589848
6.439995, -23.609320, 31.153133, -21.080681
6.459995, -26.608702, 47.048672, -16.990072
6.479995, -32.177818, 39.449451, -4.215370
6.499995, -40.798672, 38.503757, 1.942588
6.519995, -37.651428, 24.792805, -2.106942
6.539995, -36.058434, 31.506918, 0.972692
6.559995, -39.104069, 26.949842, 14.258503
6.579995, -38.566296, 22.909834, 17.344894
6.599995, -40.061657, 20.921200, 19.423122
6.619995, -43.094364, 19.947014, 15.368594
6.639995, -39.503620, 15.875774, 15.897091
6.659995, -41.561249, 15.870515, 15.898999
6.679995, -42.608013, 16.368252, 16.403904
6.699995, -42.128452, 10.720670, 16.391542
6.719995, -42.163162, 12.733989, 14.326303
6.739995, -38.631142, 11.671158, 15.827869
6.759995, -39.186161, 15.202999, 16.307852
6.779994, -39.736141, 14.138004, 13.219109
6.799994, -37.216850, 15.115602, 11.661914
6.819994, -33.683678, 16.600668, 12.141164
6.839994, -33.726913, 16.046427, 11.604789
6.859994, -29.166153, 17.542028, 11.584948
6.879994, -31.243876, 15.978492, 7.992275
6.899994, -31.790182, 17.993469, 8.486816
6.919994, -29.260941, 15.407162, 6.928756
6.939994, -26.216650, 18.454411, 4.862917
6.959994, -26.240063, 15.368679, 5.353220
6.979994, -29.319042, 15.869923, 4.828096
6.999994, -26.772533, 13.308299, 4.297979
7.019994, -25.758060, 15.347040, 5.299267
7.039994, -24.228830, 14.834035, 7.839163
7.059994, -24.226877, 12.284130, 7.321696
7.079994, -23.707058, 13.317287, 7.838608
7.099994, -24.209322, 12.815978, 4.264179
7.119994, -23.185753, 12.305302, 5.796816
7.139994, -23.699312, 11.280710, 4.772346
7.159994, -21.144880, 11.791719, 3.748376
7.179994, -21.152449, 15.871232, 4.766931
7.199994, -19.624416, 15.351967, 1.703277
7.219994, -19.623129, 14.325134, 4.271769
7.239994, -18.090015, 17.898460, 3.262846
7.259994, -18.086664, 21.477245, -0.297425
7.279994, -15.019892, 18.916992, 2.269392
7.299994, -15.020469, 20.447437, -4.359183
7.319994, -15.018315, 21.474049, -6.388968
7.339994, -9.406221, 20.952145, -9.451679
7.359994, -9.423399, 21.449747, -8.939672
7.379994, -9.944728, 31.154886, -14.044287
7.399994, -7.392381, 27.061926, -12.497269
7.419994, -6.366170, 24.503759, -15.035899
7.439994, -7.379043, 30.128347, -14.510553
7.459994, -7.368324, 30.140444, -12.966786
7.479994, -8.883184, 31.180542, -12.948632
7.499994, -10.385317, 31.201294, -12.416507
7.519994, -8.307049, 31.224218, -10.862820
7.539994, -11.335938, 28.702744, -9.817344
7.559994, -10.273351, 26.701609, -10.811486
7.579994, -10.748451, 29.810577, -8.237513
7.599994, -12.765942, 22.686613, -9.243040
7.619994, -13.762670, 22.199039, -5.138782
7.639994, -12.724018, 21.195805, -6.671963
7.659994, -16.286819, 22.235394, -3.602272
7.679994, -16.788485, 22.753748, -1.555408
7.699994, -18.302168, 18.165867, -3.592662
7.719994, -17.264338, 14.601419, -2.058405
7.739994, -18.285856, 15.118198, -2.578047
7.759994, -21.358921, 13.586937, 6.604527
7.779994, -22.379063, 10.018044, 10.680933
7.799994, -25.427025, 10.035133, 10.171267
7.819993, -26.430532, 7.496480, 14.769622
7.839993, -27.948212, 9.555673, 11.697623
7.859993, -29.474136, 3.941270, 13.734244
7.879993, -28.456402, 3.940449, 18.827114
7.899993, -29.486387, 1.895128, 19.832197
7.919993, -29.501455, -0.159238, 16.752325
7.939993, -28.501831, 1.861150, 20.814016
7.959993, -29.041336, -1.748834, 20.785431
7.979993, -28.557226, -5.349851, 21.274336
7.999993, -29.615196, -8.959080, 21.754272
8.019994, -26.593321, -8.997963, 20.690001
8.039994, -26.641726, -9.040064, 20.134743
8.059995, -23.627518, -7.549994, 19.579859
8.079995, -24.186153, -8.618860, 21.070578
8.099996, -23.715071, -8.658320, 17.460728
8.119996, -22.214170, -8.177184, 18.960503
8.139997, -21.224710, -9.229262, 17.906149
8.159997, -19.205643, -8.739437, 14.815137
8.179997, -18.721178, -9.782904, 15.301289
8.199998, -16.193512, -5.719615, 12.209526
8.219998, -11.110357, -7.789459, 9.634765
8.239999, -16.255875, -0.670750, 7.063388
8.259999, -11.686769, 5.940536, 3.986828
8.280000, -6.091986, -11.979806, 9.088714
8.300000, -6.628273, 17.124062, -4.197053
8.320001, 12.772652, 15.068381, -9.805086
8.340001, -8.211455, 6.858222, -5.183539
8.360002, -7.720022, 26.761738, -22.021286
8.380002, 6.064880, 29.281954, -1.581833
8.400002, 10.155067, 13.414968, -22.508316
8.420003, -4.638302, 29.291830, -29.088142
8.440003, 18.341663, 26.228313, -15.794807
8.460004, 1.988785, 34.414043, -18.832506
8.480004, 9.188124, 42.633835, -31.539820
8.500005, 11.282481, 32.947582, -21.777027
8.520005, 9.283577, 43.192425, -32.458927
8.540006, 9.843644, 44.252838, -36.492653
8.560006, 6.826407, 50.427067, -31.332600
8.580007, 3.824572, 50.991741, -33.828785
8.600007, 0.323603, 51.049507, -28.652687
8.620008, -0.110906, 52.637989, -18.889240
8.640008, -11.261147, 55.266777, -12.179882
8.660008, -18.294134, 51.800095, -17.203390
8.680009, -11.015532, 42.204475, -24.791653
8.700009, -15.538408, 46.377644, -21.690113
8.720010, -16.516859, 43.377644, -15.029115
8.740010, -23.630032, 33.727768, -10.413027
8.760011, -21.540180, 26.634672, -1.712411
8.780011, -32.741432, 24.656580, -4.782379
8.800012, -17.377077, 29.314747, -5.297693
8.820012, -36.258003, 14.026653, -1.732451
8.840013, -36.758427, 3.835623, 18.187449
8.860013, -28.066931, 8.972684, 13.038713
8.880013, -40.307335, 3.904422, 21.706705
8.900014, -38.762333, 2.904887, 28.334087
8.920014, -57.659264, 3.935271, 44.665459
8.940015, -37.704342, -2.188276, 37.497662
8.960015, -49.940796, -1.162375, 30.849531
8.980016, -56.096745, 2.378853, 31.845160
9.000016, -59.735355, -1.786991, 30.763643
9.020017, -61.346481, 3.735398, 32.217678
9.040017, -58.366383, -6.077052, 34.175690
9.060018, -59.477882, -2.088443, 28.468475
9.080018, -54.479576, 9.556893, 23.773291
9.100019, -50.517155, 9.425042, 32.875103
9.120019, -46.034405, 13.393855, 12.366455
9.140019, -49.211399, 28.103006, 7.198457
9.160020, -50.366211, 43.296646, 18.876745
9.180020, -31.550455, 2.810202, 6.061212
9.200021, -41.840034, 44.140472, -2.647150
9.220021, -25.588564, 36.917549, -6.783144
9.240022, -20.569748, 27.641186, -0.161328
9.260022, -20.135818, 30.652763, -4.773754
9.280023, -17.630699, 34.215279, -13.463385
9.300023, -15.621731, 35.742886, -11.931347
9.320024, -13.081325, 49.030315, -19.593035
9.340024, -25.843233, 48.525906, -31.323282
9.360024, 3.803074, 21.417524, -6.278417
9.380025, -13.569674, 55.644314, -22.637703
9.400025, -14.549734, 55.687992, -24.124987
9.420026, -17.565605, 45.501514, -14.881604
9.440026, -22.602242, 52.706177, -31.178627
9.460027, -36.323715, 61.438416, -47.495213
9.480027, -19.950148, 43.019207, -19.411871
9.500028, -26.079487, 64.460876, -12.808242
9.520028, -25.500034, 63.522526, -12.761680
9.540029, -33.048557, 62.624733, -7.560147
9.560029, -32.420948, 81.651329, -4.912602
9.580029, -29.239834, 52.109070, -8.390291
9.600030, -42.424644, 51.687485, -7.271678
9.620030, -43.381657, 50.243076, -5.690804
9.640031, -40.775791, 46.736713, -5.665414
9.660031, -44.829170, 45.257931, -5.133145
9.680032, -43.785515, 42.733238, -3.590842
9.700032, -44.285915, 42.746929, -2.567527
9.720033, -44.281876, 40.710510, -1.033126
9.740033, -42.238731, 34.586945, 4.079989
9.760034, -44.281498, 35.114265, 5.615012
9.780034, -41.719334, 35.139675, 8.688531
9.800035, -42.729233, 32.095070, 6.655860
9.820035, -43.232449, 32.106720, 9.222133
9.840035, -45.277294, 32.106277, 9.733962
9.860036, -40.169716, 31.589388, 10.242707
9.880036, -45.287502, 29.023149, 10.240376
9.900037, -42.229298, 26.458635, 8.192304
9.920037, -41.222637, 30.021126, 9.196965
9.940038, -45.332668, 26.423525, 10.203314
9.960038, -45.863426, 26.407013, 10.699375
9.980039, -40.260643, 26.384554, 10.162345
10.000039, -39.258335, 24.320972, 10.654500
10.020040, -39.284077, 25.834219, 9.614451
10.040040, -39.305828, 24.283289, 11.130088
10.060040, -39.328442, 24.260563, 8.044119
10.080041, -36.795506, 23.728781, 6.998821
10.100041, -37.335052, 20.118858, 7.478736
10.120042, -36.346237, 21.106432, 5.913331
10.140042, -34.339100, 21.072565, 5.878975
10.160043, -34.372414, 21.039919, 7.888743
10.180043, -37.466793, 21.014196, 9.396135
10.200044, -35.435154, 18.445023, 6.821784
10.220044, -34.935574, 20.985523, 7.310822
10.240045, -31.881020, 20.459911, 7.801767
10.260045, -31.379011, 20.450235, 7.278708
10.280046, -28.830250, 21.469212, 7.784168
10.300046, -31.900816, 20.957670, 5.232111
10.320046, -29.355661, 20.953098, 6.256402
10.340047, -26.804581, 21.962881, 4.720436
10.360047, -26.814655, 22.972891, -0.387374
10.380048, -22.739504, 21.940155, 4.725718
10.400048, -20.196169, 28.059929, 2.688253
10.420049, -19.691307, 18.344887, 1.174669
10.440049, -18.161545, 27.541241, -4.425541
10.460050, -18.683960, 27.539354, -9.523852
10.480050, -16.140003, 36.213562, -14.117037
10.500051, -11.552367, 29.549828, -11.045493
10.520051, -12.578867, 33.625965, -11.030823
10.540051, -10.019164, 34.141525, -12.544452
10.560052, -10.005226, 34.152267, -16.096888
10.580052, -8.970138, 36.718643, -16.076004
10.600053, -9.975909, 37.757439, -22.187954
10.620053, -10.468719, 40.328629, -17.566629
10.640054, -10.951542, 38.815250, -14.989915
10.660054, -9.882831, 38.341568, -14.954716
10.680055, -14.942103, 36.852913, -14.405046
10.700055, -13.361341, 38.938244, -12.332483
10.720056, -18.429291, 36.419048, -11.798571
10.740056, -18.382507, 30.839230, -12.796519
10.760056, -15.286418, 29.337297, -11.768122
10.780057, -19.865753, 32.435211, -9.726529
10.800057, -17.296873, 27.863911, -6.661576
10.820058, -16.772949, 28.398489, -3.594615
10.840058, -19.307762, 24.337685, -3.586004
10.860059, -19.796822, 21.808525, -3.065331
10.880059, -19.782219, 20.295185, -3.576550
10.900060, -22.846638, 17.751266, 1.526478
10.920060, -27.958265, 17.239042, 4.070490
10.940061, -25.906385, 21.327633, -0.031770
10.960061, -32.549477, 14.158911, 11.193473
10.980062, -27.435917, 11.593148, 9.132583
11.000062, -32.545124, 11.594391, 11.670924
11.020062, -32.045990, 8.524844, 13.695406
11.040063, -32.060326, 8.516522, 14.692212
11.060063, -35.144020, 5.437821, 18.245953
11.080064, -32.607376, 4.399525, 17.197153
11.100064, -31.097866, 2.846037, 17.678356
11.120065, -29.087788, 2.309506, 18.669607
11.140065, -32.193356, 3.813947, 21.193930
11.160066, -28.647177, 2.766030, 18.103048
11.180066, -31.748304, 1.703532, 19.097612
11.200067, -29.234930, 1.663829, 14.979322
11.220067, -25.703865, 1.099423, 13.919633
11.240067, -26.265875, 3.090282, 12.861218
11.260068, -23.761433, 2.021659, 10.784450
11.280068, -21.246571, 3.515979, 8.711531
11.300069, -18.219269, 6.549639, 9.707515
11.320069, -17.735060, 8.570458, 8.162261
11.340070, -19.286095, 12.130774, 0.496312
11.360070, -15.728487, 18.234806, -1.551739
11.380071, -13.197313, 23.815409, -4.115715
11.400071, -8.109477, 33.999065, -10.244987
11.420072, -13.238727, 20.168047, 1.017807
11.440072, -8.133158, 23.740217, -14.281933
11.460073, -4.052313, 17.095898, -15.795384
11.480073, -4.596579, 31.390965, -17.334602
11.500073, -0.022858, 24.229271, -12.734781
11.520074, -2.060899, 39.055542, -24.465086
11.540074, -2.032914, 33.961426, -17.788961
11.560075, 0.555452, 36.026028, -25.415085
11.580075, 1.108562, 44.238544, -26.393602
11.600076, 4.219488, 33.539211, -20.215971
11.620076, -0.837678, 48.397110, -27.315628
11.640077, 0.747558, 49.969769, -26.237406
11.660077, 0.286185, 45.911160, -25.672779
11.680078, 0.339693, 49.025120, -27.144207
11.700078, -2.667258, 50.112335, -26.060703
11.720078, -5.671312, 45.068264, -21.402493
11.740079, -14.286417, 55.861565, -15.728168
11.760079, -24.427711, 50.812256, -19.766489
11.780080, -21.779091, 41.166168, -11.546633
11.800080, -10.974319, 43.269428, -6.930189
11.820081, -10.909404, 17.804441, -2.804870
11.840081, -19.039911, 15.354268, -17.073227
11.860082, -19.030878, 6.220032, -7.372643
11.880082, -16.500237, 28.731367, -12.023507
11.900083, -18.040220, 12.392182, -4.393723
11.920083, -51.251259, 4.725501, -3.895209
11.940084, -55.326641, 27.712545, 9.349322
11.960084, -37.922836, 4.182622, 11.338195
11.980084, -24.607241, 35.343033, -2.501391
12.000085, -44.550976, 3.635106, 32.217609
12.020085, -39.972397, 0.561320, 41.924374
12.040086, -40.968658, -2.963785, 38.360310
12.060086, -46.569588, 7.314155, 35.316589
12.080087, -46.058334, 3.745873, 33.783371
12.100087, -50.166012, -0.885351, 32.234856
12.120088, -50.204163, -1.966824, 33.223137
