t, ur1, ur2, ur3
2.759998, -0.114072, 1.264561, -1.585208
2.779998, -0.145609, 1.777711, -2.052784
2.799998, -0.185757, 1.255839, -2.493307
2.819998, -0.225505, 2.762909, -1.886512
2.839998, -0.265941, 1.197337, -2.281760
2.859998, -0.305867, 1.166710, -0.623054
2.879998, 0.165515, 0.626007, -0.996574
2.899998, -0.366655, 1.106477, -1.375399
2.919998, -0.353028, 1.053302, -1.253669
2.939998, -0.311371, 0.989141, -0.645853
2.959998, -0.218381, 0.914816, -0.589038
2.979998, -0.092789, 0.808554, -0.527718
2.999998, 0.013961, 0.700140, -0.439056
3.019998, 0.055396, 0.623528, -1.342249
3.039998, 0.046652, 0.055372, -0.686474
3.059998, 0.029741, 0.009410, -1.059462
3.079998, 0.034645, -0.034489, -1.970956
3.099998, 0.078499, 0.427051, -0.360210
3.119998, 0.165120, -0.148696, 0.203686
3.139998, 0.262393, 0.304743, 0.241059
3.159998, 0.338605, 0.270122, -0.241964
3.179998, 0.388807, 0.244200, -0.717995
3.199998, 0.420077, 0.731384, -0.161579
3.219998, 0.953024, -0.310663, -0.124139
3.239998, 0.468370, -0.339159, -0.096841
3.259998, 0.501748, 0.137938, -0.080108
3.279998, 0.530289, -0.899348, -0.082172
3.299998, 0.552860, 0.121737, -1.116572
3.319998, 0.576540, -0.395175, 0.407088
3.339998, 0.598245, 0.112638, 0.396612
3.359998, 0.605236, -0.392179, -0.637545
3.379997, 0.600953, 0.123446, -1.158318
3.399997, 0.591276, 0.632934, 0.364410
3.419997, 0.579869, 0.115523, 0.351293
3.439997, 0.567796, 0.103405, 1.363756
3.459997, 0.555700, 0.092486, 0.333938
3.479997, 0.541874, 0.604749, -0.189432
3.499997, 0.525007, 0.100343, -0.201749
3.519997, 0.503724, 0.103028, 0.303733
3.539997, 0.478401, -0.407847, -0.716797
3.559997, 0.453234, 0.101319, -0.206987
3.579997, 0.431196, 0.609054, -0.721813
3.599997, 0.925038, -0.416303, 0.806419
3.619997, 0.401523, 0.090555, -0.217063
3.639997, 0.392002, -0.421119, -0.722390
3.659997, 0.384679, 0.095904, -0.716042
3.679997, -0.129038, 0.105003, -0.711360
3.699997, 0.381172, -0.399836, -0.192739
3.719997, 0.893856, -0.396706, -0.185992
3.739997, 0.386210, 0.119362, -0.695225
3.759997, 0.899515, -0.385543, -0.183440
3.779997, 0.388696, -0.378019, -0.182219
3.799997, 0.389872, 0.651088, -0.695292
3.819997, 0.390271, -0.365125, 0.321843
3.839997, 0.387342, -0.361441, -0.703348
3.859997, 0.381682, 0.147548, -0.193826
3.879997, 0.377643, 0.141334, -0.708963
3.899997, 0.373870, -0.375711, -0.203347
3.919997, 0.365015, -0.383568, -0.709429
3.939997, 0.358269, 0.122114, -1.211848
3.959997, 0.358335, 0.118009, 0.330587
3.979997, 0.362729, -0.400057, 0.853358
3.999997, -11.865300, 6.219995, -1.180733
4.019997, 11.192547, -26.524134, -8.337716
4.039997, -12.803183, 7.705992, -2.744053
4.059997, -10.269268, 3.113318, -0.733886
4.079997, -30.708143, 3.630763, -0.735928
4.099997, -16.389463, 9.242969, 26.334408
4.119997, -58.248585, 12.833422, -1.746560
4.139997, -31.610350, -9.640267, 3.913584
4.159997, -41.841728, 26.089827, 4.876322
4.179997, -49.533623, 18.908758, 16.596395
4.199997, -50.560101, 29.123110, 12.002544
4.219997, -52.075104, 23.520496, 15.083033
