t, uk1, uk2, uk3)
2.419998, -0.239533, 1.091135, -1.217593
2.439998, -0.145455, 1.063283, -1.163086
2.459998, -0.071329, 1.030303, -1.093776
2.479998, -0.012917, 0.981633, -1.011150
2.499998, 0.052687, 0.933896, -0.946723
2.519998, 0.109790, 0.887844, -0.893082
2.539998, 0.149339, 0.844101, -0.842925
2.559998, 0.177968, 0.806994, -0.806350
2.579998, 0.191462, 0.785933, -0.778853
2.599998, 0.182762, 0.781738, -0.757836
2.619998, 0.141172, 0.799448, -0.739038
2.639998, 0.087819, 0.829054, -0.724435
2.659998, 0.057547, 0.831762, -0.704350
2.679998, 0.045763, 0.816826, -0.690035
2.699998, 0.029806, 0.800447, -0.673546
2.719998, 0.009565, 0.774614, -0.652639
2.739998, 0.002264, 0.733046, -0.632754
2.759998, -0.001731, 0.683910, -0.614844
2.779998, -0.015358, 0.635284, -0.595647
2.799998, -0.036641, 0.595447, -0.577693
2.819998, -0.062474, 0.549862, -0.555122
2.839998, -0.084135, 0.489296, -0.523763
2.859998, -0.089550, 0.410222, -0.487343
2.879998, -0.089705, 0.321470, -0.450569
2.899998, -0.093012, 0.230012, -0.409667
2.919998, -0.101668, 0.136422, -0.361352
2.939998, -0.115916, 0.043277, -0.299987
2.959998, -0.134314, -0.048182, -0.226860
2.979998, -0.148784, -0.122618, -0.150981
2.999998, -0.152424, -0.172376, -0.087819
3.019998, -0.146765, -0.201294, -0.037440
3.039998, -0.131784, -0.220801, 0.007279
3.059998, -0.112920, -0.225950, 0.045918
3.079998, -0.091725, -0.211991, 0.072217
3.099998, -0.069487, -0.191795, 0.094433
3.119998, -0.046029, -0.171111, 0.112254
3.139998, -0.020307, -0.141261, 0.122041
3.159998, 0.003174, -0.110367, 0.127922
3.179998, 0.031559, -0.087420, 0.134292
3.199998, 0.063784, -0.069909, 0.136622
3.219998, 0.093057, -0.057348, 0.141571
3.239998, 0.112210, -0.049247, 0.154688
3.259998, 0.117447, -0.043676, 0.175682
3.279998, 0.111300, -0.035665, 0.199984
3.299998, 0.101135, -0.024235, 0.215897
3.319998, 0.095232, -0.011097, 0.221600
3.339998, 0.087331, 0.001265, 0.220380
3.359998, 0.072994, 0.014625, 0.216762
3.379997, 0.060899, 0.023503, 0.212057
3.399997, 0.054174, 0.026765, 0.200472
3.419997, 0.055328, 0.020196, 0.186957
3.439997, 0.056859, 0.005637, 0.177835
3.459997, 0.053996, -0.004106, 0.166605
3.479997, 0.044342, -0.007790, 0.153622
3.499997, 0.035376, -0.011518, 0.141749
3.519997, 0.028807, -0.013582, 0.126258
3.539997, 0.022260, -0.012095, 0.107926
3.559997, 0.017311, -0.011785, 0.086332
3.579997, 0.015802, -0.017977, 0.067601
3.599997, 0.015424, -0.030227, 0.053175
3.619997, 0.015668, -0.043166, 0.039526
3.639997, 0.013849, -0.048559, 0.023769
3.659997, 0.009920, -0.045674, 0.002486
3.679997, 0.007701, -0.041635, -0.017910
3.699997, -0.000999, -0.041834, -0.022571
3.719997, -0.016068, -0.044653, -0.016667
3.739997, -0.031603, -0.042611, -0.013715
3.759997, -0.045452, -0.037729, -0.016179
3.779997, -0.060921, -0.023125, -0.021749
3.799997, -0.076989, -0.008101, -0.025877
3.819997, -0.088418, 0.002397, -0.024191
3.839997, -0.097917, 0.005704, -0.013760
3.859997, -0.109857, 0.006636, -0.000089
3.879997, -0.118623, 0.011052, 0.008744
3.899997, -0.118823, 0.019752, 0.004905
3.919997, -0.108082, 0.019863, 0.000355
3.939997, -0.086843, -0.001775, 0.007923
3.959997, -0.055727, -0.037906, 0.025078
3.979997, -0.023325, -0.071396, 0.040503
3.999997, 0.000067, -0.085888, 0.045763
4.019997, 0.011452, -0.073793, 0.033423
4.039997, 0.018332, -0.049291, 0.010342
4.059997, 0.030494, -0.030827, -0.012961
4.079997, 0.053197, -0.036774, -0.024013
4.099997, 0.080917, -0.053930, -0.028962
4.119997, 0.104309, -0.065714, -0.035709
4.139997, 0.113519, -0.072617, -0.039726
4.159997, 0.112809, -0.073704, -0.039260
4.179997, 0.108770, -0.074370, -0.036330
4.199997, 0.108414, -0.078564, -0.034599
4.219997, 0.110523, -0.084867, -0.034999
4.239997, 0.109568, -0.086510, -0.036419
4.259997, 0.097939, -0.093523, -0.041657
4.279997, 0.072350, -0.106395, -0.042123
4.299997, 0.031359, -0.119156, -0.044453
4.319997, -0.006081, -0.111566, -0.048226
4.339997, -0.021017, -0.096497, -0.049203
4.359997, -0.024169, -0.083136, -0.049624
4.379997, -0.024080, -0.079874, -0.050423
4.399997, -0.023569, -0.085178, -0.046140
4.419997, -0.031537, -0.085045, -0.040858
4.439997, -0.035376, -0.085999, -0.024968
4.459997, -0.025789, -0.087087, -0.002463
4.479997, -0.002108, -0.087131, 0.016578
4.499997, 0.018420, -0.074636, 0.033734
4.519997, 0.023991, -0.060166, 0.044631
4.539997, 0.030582, -0.054462, 0.050934
4.559997, 0.044875, -0.045674, 0.060299
4.579997, 0.067912, -0.037418, 0.074392
4.599997, 0.099826, -0.030227, 0.089572
4.619997, 0.118424, -0.030072, 0.094033
4.639997, 0.139618, 0.000577, 0.115605
4.659997, 0.160591, 0.055150, 0.144234
4.679996, 0.181164, 0.120332, 0.167981
4.699996, 0.211946, 0.181209, 0.184227
4.719996, 0.231077, 0.204600, 0.166428
4.739996, 0.198320, 0.166406, 0.096963
4.759996, 0.152490, 0.113430, 0.010786
4.779996, 0.102089, 0.060388, -0.049646
4.799996, 0.088152, 0.053930, -0.042966
4.819996, 0.122774, 0.097961, -0.024146
4.839996, 0.140617, 0.115361, -0.038861
4.859996, 0.134003, 0.106772, -0.062918
4.879996, 0.114362, 0.098894, -0.086998
4.899996, 0.113386, 0.108903, -0.088551
4.919996, 0.116005, 0.120243, -0.090038
4.939996, 0.105884, 0.117136, -0.097695
4.959996, 0.089239, 0.101091, -0.108703
4.979996, 0.058524, 0.074459, -0.133693
4.999996, 0.029051, 0.049735, -0.153267
5.019996, -0.004883, 0.020928, -0.171821
5.039996, -0.049069, -0.016778, -0.199252
5.059996, -0.093345, -0.057148, -0.228347
5.079996, -0.133338, -0.100469, -0.251162
5.099996, -0.174151, -0.144922, -0.271735
5.119996, -0.214432, -0.183117, -0.291731
5.139996, -0.245636, -0.226993, -0.306712
5.159996, -0.281012, -0.269671, -0.319806
5.179996, -0.322469, -0.312748, -0.328395
5.199996, -0.350899, -0.339891, -0.323734
5.219996, -0.380039, -0.372826, -0.315168
5.239996, -0.435145, -0.411509, -0.320938
5.259996, -0.477179, -0.438851, -0.320161
5.279996, -0.479687, -0.437519, -0.297302
5.299996, -0.466615, -0.424226, -0.260883
5.319996, -0.433369, -0.403009, -0.212878
5.339996, -0.400257, -0.386164, -0.172309
5.359996, -0.364281, -0.362928, -0.128588
5.379996, -0.329860, -0.334165, -0.082715
5.399996, -0.289113, -0.302961, -0.037174
5.419996, -0.232875, -0.265810, 0.022127
5.439996, -0.185536, -0.227570, 0.065204
5.459996, -0.142725, -0.187511, 0.102245
5.479996, -0.090127, -0.143746, 0.137954
5.499996, -0.039349, -0.096630, 0.163831
5.519996, 0.030871, -0.028940, 0.199562
