t, ur1, ur2, ur3
0.000000, 0.920111, -2.445024, 2.343961
0.020000, 0.408448, 0.109864, 1.320479
0.040000, 0.920177, 0.620506, 1.321811
0.060000, 0.408714, 0.620972, 2.853461
0.080000, 0.409113, -0.401101, 2.344427
0.100000, 0.408803, 0.110019, 1.831554
0.120000, 0.920422, -0.400834, 1.321700
0.140000, 0.408714, 0.109864, 1.321900
0.160000, 0.919911, 0.110485, 2.342652
0.180000, 0.408781, 0.620861, 1.320834
0.200000, 0.919534, 0.109642, -0.721968
0.220000, 0.408337, 0.109930, -0.211270
0.240000, 0.408692, 0.620883, -0.211403
0.260000, 0.408514, 0.620595, -0.211980
0.280000, 0.408670, 0.110418, -0.211381
0.300000, 0.408470, 0.109730, -0.211426
0.320000, 0.408181, 1.131714, -0.722900
0.340000, 0.409002, 0.109109, -0.211470
0.360000, 0.409158, 0.621105, -0.211825
0.380000, 0.408093, 0.620506, -0.211847
0.400000, 0.408625, 0.108976, -0.211603
0.420000, 0.408714, 0.620439, -0.211825
0.440000, 0.408647, 0.109686, -0.723166
0.460000, 0.409091, 0.620928, -0.211936
0.480000, 0.408559, 0.109753, -0.211536
0.500000, 0.408692, 0.109420, -0.211315
0.520000, 0.920089, 0.620861, -0.722390
0.540000, 0.408226, 0.109642, 2.854903
0.560000, 0.919667, 0.109664, -0.211958
0.580000, 0.919379, 0.109642, -1.233687
0.600000, 0.408559, 0.621083, -0.722434
0.620000, 0.408470, 0.109131, -0.212114
0.640000, 0.919334, 0.109664, -1.233620
0.660000, 0.408647, 0.109375, -1.233132
0.680000, 0.408758, 0.620506, 0.299228
0.700000, 0.408869, -0.401744, -0.211670
0.720000, 0.408781, 0.108710, -0.722567
0.740000, 0.408670, 0.109508, -0.211825
0.760000, 0.919822, 0.108976, -0.210871
0.780000, 0.408914, 0.109864, -1.234131
0.800000, 0.409247, 0.109819, -0.722212
0.820000, 0.408914, 0.110130, -0.723055
0.840000, 0.409269, 0.109775, -0.211292
0.860000, 0.409202, 0.110241, 0.298939
