time, x1__dd, x2__dd, y1__dd, y2__dd, phi1__d, phi2__d
1.239999, 12416.000000, 12442.000000, 11534.000000, 11436.000000, -133.000000, 28.000000
1.259999, 12350.000000, 12414.000000, 11472.000000, 11382.000000, -133.000000, 36.000000
1.279999, 12372.000000, 12410.000000, 11466.000000, 11474.000000, -131.000000, 25.000000
1.299999, 12414.000000, 12516.000000, 11392.000000, 11434.000000, -146.000000, 27.000000
1.319999, 12380.000000, 12420.000000, 11484.000000, 11404.000000, -135.000000, 38.000000
1.339999, 12278.000000, 12386.000000, 11468.000000, 11476.000000, -135.000000, 29.000000
1.359999, 12316.000000, 12570.000000, 11468.000000, 11456.000000, -144.000000, 44.000000
1.379999, 12432.000000, 12524.000000, 11486.000000, 11432.000000, -134.000000, 47.000000
1.399999, 12390.000000, 12498.000000, 11502.000000, 11496.000000, -127.000000, 32.000000
1.419999, 12362.000000, 12480.000000, 11460.000000, 11438.000000, -134.000000, 25.000000
1.439999, 12346.000000, 12462.000000, 11462.000000, 11434.000000, -143.000000, 29.000000
1.459999, 12402.000000, 12406.000000, 11346.000000, 11364.000000, -143.000000, 36.000000
1.479999, 12324.000000, 12428.000000, 11416.000000, 11408.000000, -142.000000, 40.000000
1.499999, 12362.000000, 12440.000000, 11452.000000, 11458.000000, -133.000000, 37.000000
1.519999, 12342.000000, 12480.000000, 11390.000000, 11428.000000, -132.000000, 41.000000
1.539999, 12388.000000, 12430.000000, 11450.000000, 11436.000000, -130.000000, 35.000000
1.559999, 12290.000000, 12414.000000, 11466.000000, 11428.000000, -136.000000, 42.000000
1.579999, 12418.000000, 12454.000000, 11476.000000, 11338.000000, -124.000000, 35.000000
1.599999, 12450.000000, 12554.000000, 11492.000000, 11368.000000, -141.000000, 33.000000
1.619999, 12376.000000, 12506.000000, 11432.000000, 11474.000000, -131.000000, 47.000000
1.639999, 12320.000000, 12456.000000, 11404.000000, 11454.000000, -129.000000, 46.000000
1.659999, 12378.000000, 12456.000000, 11458.000000, 11430.000000, -125.000000, 36.000000
1.679999, 12356.000000, 12390.000000, 11392.000000, 11430.000000, -141.000000, 39.000000
1.699999, 12350.000000, 12490.000000, 11382.000000, 11468.000000, -135.000000, 23.000000
1.719999, 12290.000000, 12538.000000, 11458.000000, 11496.000000, -136.000000, 45.000000
1.739999, 12358.000000, 12454.000000, 11428.000000, 11428.000000, -131.000000, 23.000000
1.759999, 12360.000000, 12442.000000, 11486.000000, 11422.000000, -119.000000, 28.000000
1.779999, 12308.000000, 12368.000000, 11388.000000, 11454.000000, -143.000000, 38.000000
1.799999, 12412.000000, 12472.000000, 11476.000000, 11408.000000, -125.000000, 65.000000
1.819999, 12410.000000, 12606.000000, 11398.000000, 11506.000000, -136.000000, 38.000000
1.839999, 12438.000000, 12342.000000, 11438.000000, 11462.000000, -132.000000, 38.000000
1.859999, 12414.000000, 12388.000000, 11418.000000, 11386.000000, -133.000000, 27.000000
1.879999, 12370.000000, 12410.000000, 11418.000000, 11534.000000, -127.000000, 19.000000
1.899999, 12370.000000, 12358.000000, 11398.000000, 11424.000000, -132.000000, 37.000000
1.919999, 12366.000000, 12526.000000, 11380.000000, 11336.000000, -128.000000, 31.000000
1.939999, 12382.000000, 12418.000000, 11470.000000, 11454.000000, -139.000000, 22.000000
1.959999, 12290.000000, 12458.000000, 11468.000000, 11420.000000, -119.000000, 34.000000
1.979999, 12336.000000, 12408.000000, 11402.000000, 11406.000000, -135.000000, 33.000000
1.999999, 12296.000000, 12430.000000, 11406.000000, 11488.000000, -138.000000, 45.000000
2.019999, 12370.000000, 12498.000000, 11428.000000, 11448.000000, -150.000000, 32.000000
2.039999, 12336.000000, 12400.000000, 11502.000000, 11448.000000, -122.000000, 38.000000
2.059999, 12406.000000, 12456.000000, 11546.000000, 11438.000000, -140.000000, 47.000000
2.079999, 12380.000000, 12376.000000, 11494.000000, 11402.000000, -148.000000, 39.000000
2.099999, 12394.000000, 12412.000000, 11458.000000, 11428.000000, -150.000000, 42.000000
2.119999, 12374.000000, 12436.000000, 11442.000000, 11398.000000, -123.000000, 39.000000
2.139999, 12326.000000, 12408.000000, 11434.000000, 11444.000000, -134.000000, 36.000000
2.159999, 12388.000000, 12466.000000, 11378.000000, 11452.000000, -127.000000, 43.000000
2.179999, 12342.000000, 12416.000000, 11530.000000, 11392.000000, -131.000000, 41.000000
2.199999, 12376.000000, 12468.000000, 11430.000000, 11406.000000, -128.000000, 22.000000
2.219999, 12384.000000, 12598.000000, 11450.000000, 11446.000000, -136.000000, 33.000000
2.239999, 12360.000000, 12498.000000, 11370.000000, 11412.000000, -132.000000, 41.000000
2.259999, 12342.000000, 12420.000000, 11440.000000, 11500.000000, -149.000000, 43.000000
2.279999, 12350.000000, 12432.000000, 11462.000000, 11474.000000, -138.000000, 46.000000
2.299999, 12288.000000, 12428.000000, 11406.000000, 11434.000000, -125.000000, 35.000000
2.319999, 12472.000000, 12490.000000, 11498.000000, 11432.000000, -134.000000, 38.000000
2.339998, 12314.000000, 12384.000000, 11442.000000, 11508.000000, -132.000000, 44.000000
2.359998, 12366.000000, 12522.000000, 11468.000000, 11458.000000, -125.000000, 31.000000
2.379998, 12420.000000, 12442.000000, 11452.000000, 11308.000000, -137.000000, 31.000000
2.399998, 12410.000000, 12284.000000, 11478.000000, 11420.000000, -128.000000, 34.000000
2.419998, 12382.000000, 12488.000000, 11510.000000, 11444.000000, -122.000000, 34.000000
2.439998, 12308.000000, 12474.000000, 11450.000000, 11430.000000, -121.000000, 32.000000
2.459998, 12392.000000, 12480.000000, 11456.000000, 11516.000000, -128.000000, 42.000000
2.479998, 12418.000000, 12426.000000, 11424.000000, 11466.000000, -143.000000, 46.000000
2.499998, 12370.000000, 12498.000000, 11444.000000, 11432.000000, -120.000000, 42.000000
2.519998, 12384.000000, 12558.000000, 11454.000000, 11496.000000, -137.000000, 35.000000
2.539998, 12410.000000, 12404.000000, 11416.000000, 11514.000000, -134.000000, 37.000000
2.559998, 12334.000000, 12504.000000, 11508.000000, 11510.000000, -122.000000, 33.000000
2.579998, 12370.000000, 12464.000000, 11472.000000, 11438.000000, -146.000000, 36.000000
2.599998, 12284.000000, 12420.000000, 11504.000000, 11426.000000, -129.000000, 32.000000
2.619998, 12426.000000, 12542.000000, 11484.000000, 11412.000000, -125.000000, 32.000000
2.639998, 12414.000000, 12448.000000, 11436.000000, 11460.000000, -147.000000, 44.000000
2.659998, 12336.000000, 12434.000000, 11490.000000, 11460.000000, -126.000000, 30.000000
2.679998, 12360.000000, 12304.000000, 11446.000000, 11410.000000, -142.000000, 40.000000
2.699998, 12338.000000, 12438.000000, 11452.000000, 11392.000000, -129.000000, 32.000000
2.719998, 12290.000000, 12416.000000, 11376.000000, 11504.000000, -131.000000, 42.000000
2.739998, 12290.000000, 12412.000000, 11388.000000, 11400.000000, -154.000000, 26.000000
2.759998, 12434.000000, 12436.000000, 11438.000000, 11440.000000, -144.000000, 17.000000
2.779998, 12348.000000, 12446.000000, 11440.000000, 11388.000000, -132.000000, 33.000000
2.799998, 12398.000000, 12310.000000, 11444.000000, 11408.000000, -123.000000, 45.000000
2.819998, 12330.000000, 12560.000000, 11484.000000, 11422.000000, -134.000000, 29.000000
2.839998, 12336.000000, 12438.000000, 11524.000000, 11432.000000, -124.000000, 29.000000
2.859998, 12350.000000, 12448.000000, 11448.000000, 11424.000000, -141.000000, 31.000000
2.879998, 12286.000000, 12434.000000, 11414.000000, 11504.000000, -129.000000, 45.000000
2.899998, 12364.000000, 12436.000000, 11400.000000, 11454.000000, -139.000000, 36.000000
2.919998, 12384.000000, 12468.000000, 11446.000000, 11484.000000, -140.000000, 36.000000
2.939998, 12310.000000, 12354.000000, 11460.000000, 11436.000000, -127.000000, 51.000000
2.959998, 12358.000000, 12348.000000, 11468.000000, 11456.000000, -133.000000, 39.000000
2.979998, 12386.000000, 12430.000000, 11412.000000, 11372.000000, -121.000000, 54.000000
2.999998, 12426.000000, 12464.000000, 11416.000000, 11450.000000, -128.000000, 48.000000
3.019998, 12322.000000, 12510.000000, 11392.000000, 11478.000000, -134.000000, 42.000000
3.039998, 12486.000000, 12548.000000, 11442.000000, 11384.000000, -122.000000, 15.000000
3.059998, 12334.000000, 12494.000000, 11386.000000, 11410.000000, -136.000000, 36.000000
3.079998, 12384.000000, 12362.000000, 11442.000000, 11392.000000, -121.000000, 24.000000
3.099998, 12392.000000, 12396.000000, 11416.000000, 11392.000000, -123.000000, 31.000000
3.119998, 12432.000000, 12494.000000, 11544.000000, 11444.000000, -138.000000, 46.000000
3.139998, 12338.000000, 12526.000000, 11472.000000, 11390.000000, -137.000000, 42.000000
3.159998, 12368.000000, 12430.000000, 11478.000000, 11538.000000, -137.000000, 35.000000
3.179998, 12410.000000, 12358.000000, 11480.000000, 11508.000000, -126.000000, 36.000000
3.199998, 12304.000000, 12338.000000, 11442.000000, 11456.000000, -138.000000, 39.000000
3.219998, 12328.000000, 12476.000000, 11420.000000, 11472.000000, -130.000000, 43.000000
3.239998, 12278.000000, 12420.000000, 11504.000000, 11462.000000, -117.000000, 41.000000
3.259998, 12342.000000, 12522.000000, 11462.000000, 11426.000000, -134.000000, 33.000000
3.279998, 12344.000000, 12398.000000, 11454.000000, 11362.000000, -131.000000, 42.000000
3.299998, 12374.000000, 12460.000000, 11378.000000, 11438.000000, -129.000000, 36.000000
3.319998, 12454.000000, 12484.000000, 11512.000000, 11456.000000, -128.000000, 42.000000
3.339998, 12402.000000, 12468.000000, 11416.000000, 11434.000000, -128.000000, 24.000000
3.359998, 12412.000000, 12426.000000, 11450.000000, 11388.000000, -141.000000, 34.000000
3.379997, 12364.000000, 12484.000000, 11462.000000, 11392.000000, -137.000000, 37.000000
3.399997, 12380.000000, 12516.000000, 11464.000000, 11404.000000, -139.000000, 38.000000
3.419997, 12426.000000, 12530.000000, 11484.000000, 11514.000000, -139.000000, 36.000000
3.439997, 12318.000000, 12416.000000, 11466.000000, 11418.000000, -133.000000, 35.000000
3.459997, 12328.000000, 12404.000000, 11510.000000, 11436.000000, -117.000000, 28.000000
3.479997, 12392.000000, 12330.000000, 11446.000000, 11378.000000, -145.000000, 28.000000
3.499997, 12394.000000, 12484.000000, 11500.000000, 11492.000000, -140.000000, 37.000000
3.519997, 12438.000000, 12500.000000, 11478.000000, 11502.000000, -130.000000, 30.000000
3.539997, 12304.000000, 12392.000000, 11516.000000, 11456.000000, -134.000000, 36.000000
3.559997, 12388.000000, 12448.000000, 11500.000000, 11446.000000, -126.000000, 42.000000
3.579997, 12396.000000, 12332.000000, 11486.000000, 11410.000000, -135.000000, 41.000000
3.599997, 12384.000000, 12500.000000, 11496.000000, 11416.000000, -147.000000, 39.000000
3.619997, 12368.000000, 12532.000000, 11436.000000, 11476.000000, -142.000000, 42.000000
3.639997, 12368.000000, 12494.000000, 11410.000000, 11420.000000, -133.000000, 37.000000
3.659997, 12406.000000, 12350.000000, 11482.000000, 11356.000000, -131.000000, 29.000000
3.679997, 12434.000000, 12436.000000, 11432.000000, 11424.000000, -140.000000, 36.000000
3.699997, 12446.000000, 12482.000000, 11496.000000, 11438.000000, -133.000000, 33.000000
3.719997, 12376.000000, 12452.000000, 11464.000000, 11456.000000, -142.000000, 33.000000
3.739997, 12328.000000, 12496.000000, 11360.000000, 11360.000000, -133.000000, 30.000000
3.759997, 12378.000000, 12520.000000, 11428.000000, 11436.000000, -149.000000, 25.000000
3.779997, 12396.000000, 12452.000000, 11320.000000, 11414.000000, -130.000000, 48.000000
3.799997, 12390.000000, 12392.000000, 11516.000000, 11584.000000, -121.000000, 25.000000
3.819997, 12364.000000, 12454.000000, 11452.000000, 11470.000000, -120.000000, 28.000000
3.839997, 12404.000000, 12478.000000, 11466.000000, 11504.000000, -135.000000, 42.000000
3.859997, 12362.000000, 12400.000000, 11438.000000, 11350.000000, -138.000000, 53.000000
3.879997, 12386.000000, 12408.000000, 11566.000000, 11464.000000, -147.000000, 42.000000
3.899997, 12400.000000, 12470.000000, 11350.000000, 11482.000000, -118.000000, 25.000000
3.919997, 12338.000000, 12380.000000, 11558.000000, 11488.000000, -137.000000, 40.000000
3.939997, 12324.000000, 12450.000000, 11454.000000, 11414.000000, -131.000000, 48.000000
3.959997, 12384.000000, 12510.000000, 11436.000000, 11454.000000, -137.000000, 35.000000
3.979997, 12450.000000, 12458.000000, 11436.000000, 11466.000000, -126.000000, 27.000000
3.999997, 12384.000000, 12628.000000, 11400.000000, 11382.000000, -134.000000, 28.000000
4.019997, 12374.000000, 12398.000000, 11442.000000, 11408.000000, -133.000000, 34.000000
4.039997, 12404.000000, 12490.000000, 11460.000000, 11496.000000, -138.000000, 26.000000
4.059997, 12410.000000, 12376.000000, 11392.000000, 11460.000000, -140.000000, 43.000000
4.079997, 12390.000000, 12476.000000, 11486.000000, 11474.000000, -137.000000, 39.000000
4.099997, 12444.000000, 12522.000000, 11486.000000, 11442.000000, -138.000000, 33.000000
4.119997, 12418.000000, 12428.000000, 11480.000000, 11408.000000, -125.000000, 40.000000
4.139997, 12418.000000, 12462.000000, 11398.000000, 11428.000000, -129.000000, 35.000000
4.159997, 12432.000000, 12356.000000, 11456.000000, 11532.000000, -130.000000, 40.000000
4.179997, 12406.000000, 12344.000000, 11520.000000, 11414.000000, -135.000000, 29.000000
4.199997, 12394.000000, 12530.000000, 11544.000000, 11438.000000, -132.000000, 31.000000
4.219997, 12366.000000, 12388.000000, 11384.000000, 11396.000000, -137.000000, 55.000000
4.239997, 12350.000000, 12420.000000, 11478.000000, 11416.000000, -142.000000, 35.000000
4.259997, 12322.000000, 12378.000000, 11428.000000, 11446.000000, -138.000000, 45.000000
4.279997, 12458.000000, 12440.000000, 11474.000000, 11534.000000, -124.000000, 25.000000
4.299997, 12374.000000, 12564.000000, 11474.000000, 11444.000000, -142.000000, 49.000000
4.319997, 12378.000000, 12360.000000, 11450.000000, 11396.000000, -138.000000, 25.000000
4.339997, 12362.000000, 12470.000000, 11496.000000, 11402.000000, -122.000000, 31.000000
4.359997, 12424.000000, 12424.000000, 11460.000000, 11436.000000, -135.000000, 44.000000
4.379997, 12410.000000, 12554.000000, 11492.000000, 11396.000000, -138.000000, 39.000000
4.399997, 12294.000000, 12462.000000, 11476.000000, 11534.000000, -127.000000, 40.000000
4.419997, 12376.000000, 12322.000000, 11486.000000, 11426.000000, -133.000000, 44.000000
4.439997, 12326.000000, 12506.000000, 11418.000000, 11436.000000, -125.000000, 27.000000
