t, x3_estimate, x3_phiobs, x3_fullobs
2.439998, -0.912109, -0.117527, -0.126368
2.459998, -0.401234, -0.280011, -0.173004
2.479998, -0.912287, -0.304322, -0.186367
2.499998, -0.401833, -0.428251, -0.229329
2.519998, 0.109619, -0.422058, -0.239270
2.539998, 0.109442, -0.312413, -0.218156
2.559998, -0.401078, -0.225457, -0.198351
2.579998, 0.108998, -0.260996, -0.210149
2.599998, 0.109597, -0.184757, -0.190863
2.619998, -0.401456, -0.124142, -0.172724
2.639998, 0.109375, -0.180694, -0.186120
2.659998, 0.109442, -0.120968, -0.168286
2.679998, -0.401167, -0.073567, -0.151544
2.699998, 0.109309, -0.140509, -0.166222
2.719998, -0.401456, -0.089101, -0.149615
2.739998, 0.109508, -0.152896, -0.164429
2.759998, 0.109775, -0.098887, -0.147919
2.779998, 0.109553, -0.055979, -0.132406
2.799998, 0.109531, -0.021984, -0.117860
2.819998, -0.401189, 0.004984, -0.104209
2.839998, 0.110041, -0.078194, -0.121795
2.859998, -0.401389, -0.039510, -0.107869
2.879998, -0.401212, -0.113539, -0.125243
2.899998, 0.109287, -0.172238, -0.141538
2.919998, -0.401367, -0.114282, -0.126447
2.939998, -0.401322, -0.172856, -0.142677
2.959998, -0.400923, -0.219321, -0.157908
2.979998, 0.109464, -0.256102, -0.172179
2.999998, -0.911710, -0.180781, -0.155195
3.019998, -0.401500, -0.330110, -0.200036
3.039998, 0.109908, -0.344124, -0.211756
3.059998, -0.401101, -0.250522, -0.192314
3.079998, 0.109575, -0.280891, -0.204484
3.099998, 0.109042, -0.200422, -0.185510
3.119998, 0.621194, -0.136688, -0.167735
3.139998, 0.109775, 0.018752, -0.120563
3.159998, -0.912331, 0.037358, -0.106731
3.179998, -0.401034, -0.157170, -0.154588
3.199998, 0.109442, -0.206818, -0.169071
3.219998, -0.401589, -0.141685, -0.152280
3.239998, 0.109841, -0.194645, -0.166938
3.259998, -0.400879, -0.131940, -0.150253
3.279998, 0.109575, -0.186764, -0.164992
3.299998, 0.109930, -0.125744, -0.148443
3.319998, 0.109442, -0.077256, -0.132889
3.339998, 0.110019, -0.038887, -0.118320
3.359998, -0.401367, -0.008325, -0.104610
3.379997, -0.401655, -0.088791, -0.122182
3.399997, 0.109309, -0.152695, -0.138693
3.419997, -0.401123, -0.098771, -0.123775
3.439997, -0.401300, -0.160499, -0.140155
3.459997, 0.109287, -0.209513, -0.155540
3.479997, 0.109420, -0.143854, -0.139589
3.499997, -0.911044, -0.091730, -0.124609
3.519997, 0.108710, -0.259318, -0.171287
3.539997, 0.110063, -0.183492, -0.154405
3.559997, 0.109797, -0.123044, -0.138475
3.579997, 0.110041, -0.075141, -0.123540
3.599997, 0.109042, -0.037083, -0.109508
3.619997, -0.400901, -0.007099, -0.096399
3.639997, 0.110374, -0.087720, -0.114447
3.659997, -0.401611, -0.046997, -0.100951
3.679997, -0.402454, -0.119527, -0.118763
3.699997, 0.109531, -0.177248, -0.135533
3.719997, 0.110041, -0.118204, -0.120795
3.739997, 0.109819, -0.071249, -0.106930
3.759997, -0.402121, -0.034043, -0.093931
3.779997, -0.401633, -0.109354, -0.112205
3.799997, 1.131981, -0.169003, -0.129327
3.819997, -0.401855, 0.097697, -0.054108
3.839997, 0.109287, -0.004773, -0.074811
3.859997, -0.401012, 0.018587, -0.063817
3.879997, 0.109553, -0.067365, -0.083871
3.899997, 0.109109, -0.031020, -0.072303
3.919997, -0.401589, -0.002276, -0.061474
3.939997, 0.621039, -0.084039, -0.081707
3.959997, 0.108954, 0.060486, -0.039825
3.979997, 0.109664, 0.070293, -0.031000
3.999997, 0.620195, 0.078224, -0.022672
4.019997, -0.402255, 0.189048, 0.015532
4.039997, 0.109730, 0.067618, -0.009471
4.059997, 0.109819, 0.076113, -0.002460
4.079997, 0.109642, 0.082870, 0.004126
4.099997, -0.401078, 0.088194, 0.010296
4.119997, 0.108243, -0.012156, -0.014311
4.139997, 0.102029, 0.012505, -0.007095
4.159997, 0.120405, 0.030773, -0.000709
4.179997, -0.375245, 0.049132, 0.006432
4.199997, 0.167544, -0.037742, -0.016329
4.219997, -0.323202, 0.004587, -0.005302
4.239997, 0.256140, -0.062294, -0.024121
4.259997, 0.403082, 0.003521, -0.007127
4.279997, 0.551822, 0.086377, 0.017945
4.299997, 0.583980, 0.182946, 0.050679
4.319997, 0.056748, 0.265844, 0.083312
4.339997, 0.116293, 0.223258, 0.082426
4.359997, -0.189561, 0.201793, 0.085234
4.379997, 1.008938, 0.122940, 0.070161
4.399997, 1.077005, 0.306172, 0.127728
4.419997, 0.606987, 0.465244, 0.185857
4.439997, 1.185930, 0.494960, 0.212415
4.459997, 0.770286, 0.637078, 0.271866
4.479997, 0.874151, 0.664882, 0.303065
4.499997, 0.953004, 0.708369, 0.338692
4.519997, 1.018363, 0.759021, 0.376908
4.539997, 1.576799, 0.812553, 0.416716
4.559997, 1.058555, 0.969282, 0.487323
4.579997, 1.002273, 0.987215, 0.522606
4.599997, 0.922332, 0.989501, 0.552117
4.619997, 0.814362, 0.974572, 0.574769
4.639997, -0.827877, 0.940241, 0.589268
4.659997, 1.115865, 0.576478, 0.504820
4.679996, 1.051394, 0.685725, 0.541008
4.699996, 0.507961, 0.759267, 0.571008
4.719996, 0.487299, 0.706513, 0.566787
4.739996, 0.988831, 0.660571, 0.561598
4.759996, 0.487055, 0.726946, 0.586610
4.779996, 0.492203, 0.677029, 0.580294
4.799996, 0.476668, 0.638556, 0.574726
4.819996, 0.954520, 0.604795, 0.568565
4.839996, 0.904163, 0.675733, 0.591166
4.859996, 0.837339, 0.721541, 0.609278
4.879996, 0.757177, 0.744011, 0.622158
4.899996, 0.689975, 0.745226, 0.629308
4.919996, 0.654643, 0.732353, 0.631900
4.939996, 0.660724, 0.714994, 0.632206
4.959996, 0.656086, 0.702707, 0.632944
4.979996, 0.125902, 0.692098, 0.633408
4.999996, 0.643702, 0.575099, 0.602283
5.019996, 0.143968, 0.588404, 0.603959
5.039996, 0.139174, 0.496723, 0.575856
5.059996, 0.628145, 0.422977, 0.549211
5.079996, 0.582537, 0.464489, 0.553274
5.099996, 0.509499, 0.487909, 0.554275
5.119996, -0.084246, 0.491285, 0.550700
5.139996, 0.342272, 0.372172, 0.511823
5.159996, -0.745038, 0.364840, 0.500551
5.179996, -0.287027, 0.136361, 0.425145
5.199996, 0.684400, 0.048890, 0.381566
5.219996, -0.376910, 0.178410, 0.398428
5.239996, -0.402144, 0.063905, 0.351054
5.259996, -0.414683, -0.032030, 0.305096
5.279996, -0.417501, -0.110613, 0.261254
5.299996, -0.420120, -0.173435, 0.219993
5.319996, -0.423871, -0.223754, 0.181158
5.339996, 0.101008, -0.264417, 0.144521
5.359996, 0.144996, -0.189103, 0.141457
5.379996, -0.312327, -0.120131, 0.141351
5.399996, 0.237142, -0.158867, 0.114192
5.419996, 0.247729, -0.077044, 0.121513
5.439996, -0.275597, -0.010053, 0.129031
5.459996, 0.219188, -0.064222, 0.104890
5.479996, -0.300454, -0.006006, 0.111631
5.499996, -0.308976, -0.066254, 0.087000
5.519996, 0.187496, -0.115825, 0.063352
5.539996, -0.854784, -0.053542, 0.070671
5.559996, 0.151032, -0.217601, 0.015449
5.579996, -0.380527, -0.141838, 0.023454
5.599996, -0.405628, -0.190605, -0.000717
5.619996, -0.423471, -0.234487, -0.024952
