t, x3_estimate, x3_phiobs, x3_fullobs
0.000000, 0.109841, 0.277316, 0.256881
0.040000, 0.109597, 0.242504, 0.247549
0.060000, 0.109775, 0.214832, 0.238776
0.080000, 0.620506, 0.192916, 0.230552
0.100000, 0.109242, 0.280103, 0.253234
0.120000, 0.109597, 0.244593, 0.244089
0.140000, 0.109686, 0.216492, 0.235528
0.160000, 0.109730, 0.194216, 0.227498
0.180000, 0.620595, 0.176551, 0.219965
0.200000, 0.620905, 0.267139, 0.243301
0.220000, 0.109531, 0.339078, 0.265224
0.240000, 0.109264, 0.291444, 0.255361
0.260000, 0.109131, 0.253593, 0.246087
0.280000, 0.109908, 0.223535, 0.237374
0.300000, 0.620683, 0.199850, 0.229245
0.320000, 1.131514, 0.285642, 0.252018
0.340000, -0.401189, 0.458309, 0.303798
0.360000, 0.109198, 0.281469, 0.261166
0.380000, 0.109109, 0.245663, 0.251532
0.400000, 0.620928, 0.217237, 0.242483
0.420000, 0.109531, 0.299489, 0.264459
0.440000, 0.620484, 0.260033, 0.254643
0.460000, -0.401078, 0.333350, 0.275843
0.480000, 0.620772, 0.182348, 0.234936
0.500000, 0.620794, 0.271773, 0.257365
0.520000, 0.620728, 0.342730, 0.278418
0.540000, 0.620639, 0.399014, 0.298173
0.560000, -0.401456, 0.443650, 0.316710
0.600000, 0.109619, 0.269780, 0.273269
0.620000, 1.131315, 0.236476, 0.262918
0.640000, 0.109708, 0.419255, 0.314018
0.660000, 0.621260, 0.355093, 0.301170
0.680000, 0.620772, 0.408932, 0.319562
0.700000, 0.109109, 0.451545, 0.336794
0.720000, 0.622082, 0.380583, 0.322510
0.740000, 0.109353, 0.429327, 0.339643
0.760000, 0.109464, 0.363004, 0.325200
0.780000, 0.620417, 0.310407, 0.311651
0.800000, 0.109309, 0.373299, 0.329347
0.820000, 1.108078, 0.318545, 0.315534
0.840000, 0.110063, 0.479498, 0.361955
0.860000, 0.618309, 0.403004, 0.346192
0.880000, 0.112571, 0.446348, 0.361641
0.900000, 0.113770, 0.377203, 0.346052
0.920000, 0.101785, 0.322580, 0.331494
0.940000, 0.105691, 0.276721, 0.317082
0.960000, 0.104382, 0.241172, 0.303800
0.980000, 0.620528, 0.212695, 0.291253
1.000000, 0.107622, 0.295816, 0.310214
1.020000, 0.112349, 0.256729, 0.297475
1.040000, 0.623924, 0.226706, 0.285812
1.060000, 0.622170, 0.307629, 0.305317
1.080000, -0.396839, 0.371462, 0.323513
1.100000, -0.393044, 0.213469, 0.279944
1.120000, -0.386830, 0.088905, 0.239286
1.140000, 0.139492, -0.008632, 0.201510
1.159999, 0.152941, 0.021812, 0.197422
1.179999, 0.150122, 0.048752, 0.194415
1.199999, 0.158689, 0.069493, 0.191408
