t, x3_estimate, x3_phiobs
0.000000, 0.108820, 0.000891
0.040000, -0.401678, 0.001770
0.060000, 0.109553, -0.001611
0.080000, 0.109908, -0.000691
0.100000, 0.109331, 0.000224
0.120000, 0.620351, 0.001123
0.140000, 0.620195, 0.006272
0.160000, 0.620484, 0.011365
0.180000, 0.620106, 0.016408
0.200000, -0.401300, 0.021395
0.220000, 0.620728, 0.017819
0.240000, 0.620839, 0.022801
0.260000, 0.109753, 0.027732
0.280000, 0.109642, 0.028352
0.300000, 0.620883, 0.028966
0.320000, 0.109287, 0.033836
0.340000, 0.109553, 0.034389
0.360000, 0.619951, 0.034941
0.380000, 0.109775, 0.039739
0.400000, 0.109176, 0.040239
0.420000, 0.110196, 0.040728
0.440000, 0.620928, 0.041225
0.460000, 0.620084, 0.045972
0.480000, 0.109398, 0.050659
0.500000, 0.109264, 0.051043
0.520000, 0.620484, 0.051422
0.540000, -0.401744, 0.056060
0.560000, 0.109375, 0.052129
0.600000, -0.401811, 0.052502
0.620000, 0.620062, 0.048611
0.640000, 0.109264, 0.053277
0.660000, 0.620106, 0.053638
0.680000, 0.620639, 0.058252
0.700000, 1.131426, 0.062824
0.720000, 0.109353, 0.071603
0.740000, 0.110063, 0.071771
0.760000, 0.620683, 0.071947
0.780000, 0.109664, 0.076377
0.800000, 0.109353, 0.076501
0.820000, -0.401655, 0.076622
0.840000, 0.109575, 0.072484
0.860000, 0.109486, 0.072653
0.880000, 0.109153, 0.072819
0.900000, 0.109797, 0.072981
0.920000, 0.110019, 0.073148
0.940000, 0.620528, 0.073316
0.960000, 0.620772, 0.077735
0.980000, 0.109309, 0.082110
1.000000, 0.109264, 0.082175
1.020000, 0.620018, 0.082239
1.040000, 0.620106, 0.086559
1.060000, 0.620772, 0.090834
1.080000, 0.109531, 0.095073
1.100000, 0.620595, 0.095006
1.120000, -0.912486, 0.099199
1.140000, 0.620484, 0.090573
1.159999, 0.109486, 0.094815
1.179999, 0.109464, 0.094754
1.199999, -0.401833, 0.094694
1.219999, 0.109486, 0.090373
1.239999, 0.620506, 0.090362
1.259999, 0.109575, 0.094609
1.279999, 0.109508, 0.094553
1.299999, 0.109908, 0.094496
1.319999, 0.109287, 0.094446
1.339999, 0.109353, 0.094389
1.359999, 0.109708, 0.094333
1.379999, 0.110019, 0.094282
1.399999, -0.401189, 0.094236
1.419999, 0.620417, 0.089929
1.439999, 0.109486, 0.094180
1.459999, 0.620661, 0.094128
1.479999, 0.109575, 0.098337
1.499999, 0.109819, 0.098242
1.519999, 0.109287, 0.098151
1.539999, 0.109819, 0.098055
1.559999, 0.620617, 0.097966
1.579999, 1.131692, 0.102135
1.599999, 0.109730, 0.110519
1.619999, 0.109642, 0.110296
1.639999, 0.620462, 0.110076
1.659999, 0.109864, 0.114116
1.679999, 0.109508, 0.113860
1.699999, 0.109464, 0.113603
1.719999, 0.620373, 0.113349
1.739999, 0.109775, 0.117356
1.759999, 0.109353, 0.117067
1.779999, 0.110063, 0.116777
1.799999, 0.109420, 0.116499
1.819999, 0.109087, 0.116217
1.839999, -0.401389, 0.115934
1.859999, 0.109553, 0.111403
1.879999, 0.109375, 0.111178
1.899999, 0.620439, 0.110954
1.919999, 0.620794, 0.114990
1.939999, 0.109131, 0.118988
1.959999, 0.109287, 0.118676
1.979999, 0.110041, 0.118371
1.999999, 0.109287, 0.118078
2.019999, 0.620462, 0.117779
2.039999, 0.109619, 0.121744
2.059999, 0.109531, 0.121411
2.079999, 0.620262, 0.121080
2.099999, 0.109109, 0.125009
2.119999, 0.109819, 0.124635
2.139999, -0.401811, 0.124275
2.159999, 0.109420, 0.119653
2.179999, 0.108843, 0.119342
2.199999, 0.109420, 0.119028
2.219999, 0.109109, 0.118724
2.239999, -0.401389, 0.118419
2.259999, -0.401611, 0.113865
2.279999, 0.109775, 0.109357
2.299999, 0.109686, 0.109160
2.319999, 0.109575, 0.108963
2.339998, 0.109886, 0.108766
2.359998, 0.621127, 0.108574
2.379998, -0.401567, 0.112645
2.399998, 0.109797, 0.108145
2.419998, 0.109886, 0.107958
2.439998, 0.109886, 0.107772
2.459998, 0.109109, 0.107589
2.479998, 0.109242, 0.107397
2.499998, 0.108998, 0.107209
2.519998, 0.620506, 0.107021
2.539998, 0.620817, 0.111098
2.559998, 0.109375, 0.115136
2.579998, 0.621061, 0.114866
2.599998, 0.110174, 0.118866
2.619998, 0.109508, 0.118567
2.639998, 0.620151, 0.118264
2.659998, 0.109242, 0.122218
2.679998, 0.109553, 0.121873
2.699998, 0.620772, 0.121537
2.719998, 0.109952, 0.125466
2.739998, 0.109553, 0.125097
2.759998, 0.109398, 0.124727
2.779998, 0.109575, 0.124361
2.799998, 0.620706, 0.124001
2.819998, 0.109375, 0.127905
2.839998, 0.109220, 0.127505
2.859998, 0.109886, 0.127108
2.879998, 0.620861, 0.126724
2.899998, 0.109775, 0.130602
2.919998, 0.109331, 0.130179
2.939998, 0.108843, 0.129756
2.959998, 0.109464, 0.129333
2.979998, 0.109930, 0.128922
2.999998, 0.108931, 0.128521
3.019998, -0.401544, 0.128113
3.039998, 0.109309, 0.123456
3.059998, 0.109087, 0.123107
3.079998, 0.620661, 0.122759
3.099998, 0.620040, 0.126679
3.119998, -0.401766, 0.130549
3.139998, 0.109775, 0.125863
3.159998, 0.620750, 0.125494
3.179998, 0.620861, 0.129385
3.199998, 0.109553, 0.133236
3.219998, 0.109264, 0.132784
3.239998, 0.109730, 0.132334
3.259998, 0.109864, 0.131895
3.279998, 0.620950, 0.131462
3.299998, 0.620217, 0.135293
3.319998, 0.620661, 0.139075
3.339998, 0.109176, 0.142822
3.359998, 0.109242, 0.142265
3.379997, 0.108909, 0.141716
