t, x2_estimate, x2_phiobs
3.779997, -0.005593, -0.009050
3.799997, -0.005082, -0.009643
3.819997, -0.005792, -0.009951
3.839997, -0.005482, -0.008763
3.859997, -0.005970, -0.011068
3.879997, -0.006148, -0.009749
3.899997, -0.005815, -0.010427
3.919997, -0.005726, -0.012561
3.939997, -0.005526, -0.010893
3.959997, -0.005171, -0.011143
3.979997, -0.004949, -0.011219
3.999997, -0.005792, -0.009505
4.019997, -0.005748, -0.008397
4.039997, -0.005460, -0.007477
4.059997, -0.005859, -0.008321
4.079997, -0.005371, -0.007470
4.099997, -0.005238, -0.006604
4.119997, -0.005748, -0.007548
4.139997, -0.005726, -0.006817
4.159997, -0.005127, -0.006218
4.179997, -0.005371, -0.008909
4.199997, -0.005260, -0.009515
4.219997, -0.005215, -0.008280
4.239997, -0.005659, -0.008943
4.259997, -0.005082, -0.007955
4.279997, -0.005593, -0.008635
4.299997, -0.005593, -0.009377
4.319997, -0.005859, -0.009989
4.339997, -0.005881, -0.010588
4.359997, -0.004883, -0.011088
4.379997, -0.005437, -0.011140
4.399997, -0.005593, -0.011375
4.419997, -0.005770, -0.013314
4.439997, -0.005460, -0.013270
4.459997, -0.005792, -0.013117
4.479997, -0.005038, -0.013103
4.499997, -0.005171, -0.012817
4.519997, -0.005349, -0.012621
4.539997, -0.005326, -0.012518
4.559997, -0.005038, -0.012420
4.579997, -0.005193, -0.010539
4.599997, -0.005504, -0.010741
4.619997, -0.005637, -0.011018
4.639997, -0.005304, -0.011295
4.659997, -0.005060, -0.011404
4.679996, -0.005482, -0.011404
4.699996, -0.005149, -0.009859
4.719996, -0.005437, -0.008472
4.739996, -0.004971, -0.009134
4.759996, -0.005992, -0.009516
4.779996, -0.005659, -0.010197
4.799996, -0.005837, -0.008948
4.819996, -0.005615, -0.011378
4.839996, -0.005304, -0.009909
4.859996, -0.005659, -0.010286
4.879996, -0.005415, -0.010722
4.899996, -0.005193, -0.010994
4.919996, -0.005193, -0.011136
4.939996, -0.005415, -0.011250
4.959996, -0.005193, -0.009726
4.979996, -0.005393, -0.008395
4.999996, -0.005260, -0.009070
5.019996, -0.005681, -0.009582
5.039996, -0.005571, -0.008461
5.059996, -0.005571, -0.007506
5.079996, -0.005770, -0.006729
5.099996, -0.005415, -0.007865
5.119996, -0.006059, -0.008680
5.139996, -0.004949, -0.011277
5.159996, -0.005371, -0.011322
5.179996, -0.005460, -0.011502
5.199996, -0.005637, -0.009983
5.219996, -0.005215, -0.010492
5.239996, -0.005504, -0.010760
5.259996, -0.005437, -0.012774
5.279996, -0.005726, -0.012707
5.299996, -0.005260, -0.012748
5.319996, -0.005748, -0.010917
5.339996, -0.006148, -0.011278
5.359996, -0.005482, -0.010025
5.379996, -0.005371, -0.008761
5.399996, -0.005215, -0.009382
5.419996, -0.005149, -0.009839
5.439996, -0.005282, -0.006804
5.459996, -0.005615, -0.007752
5.479996, -0.005681, -0.008656
5.499996, -0.005482, -0.007735
5.519996, -0.005437, -0.006914
5.539996, -0.005171, -0.007925
5.559996, -0.005704, -0.010360
5.579996, -0.005349, -0.010856
5.599996, -0.005349, -0.011136
5.619996, -0.005082, -0.011361
5.639996, -0.005615, -0.011447
5.659996, -0.005792, -0.010008
5.679996, -0.005637, -0.010585
5.699996, -0.004661, -0.011004
5.719995, -0.005926, -0.010998
5.739995, -0.005082, -0.011440
5.759995, -0.005571, -0.013196
5.779995, -0.005060, -0.011417
5.799995, -0.005437, -0.011464
5.819995, -0.005171, -0.011634
5.839995, -0.005815, -0.011675
5.859995, -0.005437, -0.010243
5.879995, -0.004816, -0.010627
5.899995, -0.005593, -0.010721
5.919995, -0.005615, -0.011073
5.939995, -0.005504, -0.009677
5.959995, -0.005526, -0.008494
5.979995, -0.005681, -0.009228
5.999995, -0.005615, -0.008199
6.019995, -0.005349, -0.009029
6.039995, -0.005304, -0.009622
6.059995, -0.005970, -0.010094
6.079995, -0.005571, -0.010720
6.099995, -0.005460, -0.011094
6.119995, -0.005238, -0.011360
6.139995, -0.005571, -0.011496
6.159995, -0.005548, -0.011722
6.179995, -0.005859, -0.011898
6.199995, -0.005349, -0.012150
6.219995, -0.005016, -0.012173
6.239995, -0.005171, -0.012068
6.259995, -0.005460, -0.012031
6.279995, -0.005127, -0.015486
6.299995, -0.005926, -0.013115
6.319995, -0.005460, -0.013138
6.339995, -0.005127, -0.011294
6.359995, -0.005526, -0.009658
6.379995, -0.005482, -0.010152
6.399995, -0.005548, -0.010546
6.419995, -0.005504, -0.010896
6.439995, -0.005038, -0.011169
6.459995, -0.005504, -0.011226
6.479995, -0.005260, -0.011437
6.499995, -0.005815, -0.013216
6.519995, -0.005460, -0.014870
6.539995, -0.005548, -0.012707
6.559995, -0.004949, -0.010956
6.579995, -0.005926, -0.010997
6.599995, -0.005371, -0.009683
6.619995, -0.005571, -0.008412
6.639995, -0.005482, -0.009138
6.659995, -0.005593, -0.009710
6.679995, -0.005837, -0.010223
6.699995, -0.005437, -0.010734
6.719995, -0.005593, -0.012706
6.739995, -0.006125, -0.010990
6.759995, -0.005859, -0.011464
6.779994, -0.005526, -0.011759
6.799994, -0.005571, -0.011882
6.819994, -0.005526, -0.011996
6.839994, -0.005548, -0.012070
6.859994, -0.006148, -0.012136
6.879994, -0.005770, -0.012402
6.899994, -0.005637, -0.012486
6.919994, -0.005171, -0.012504
6.939994, -0.005482, -0.010654
6.959994, -0.005792, -0.010938
6.979994, -0.005726, -0.011282
6.999994, -0.005393, -0.011543
7.019994, -0.005349, -0.011638
7.039994, -0.005393, -0.011698
7.059994, -0.005349, -0.011760
7.079994, -0.005659, -0.011793
7.099994, -0.005415, -0.011929
7.119994, -0.005149, -0.011951
7.139994, -0.005637, -0.011872
7.159994, -0.005881, -0.015364
7.179994, -0.005659, -0.014927
7.199994, -0.004971, -0.014480
7.219994, -0.005171, -0.010471
7.239994, -0.005437, -0.010632
7.259994, -0.005371, -0.009168
7.279994, -0.005127, -0.006253
7.299994, -0.005637, -0.007168
7.319994, -0.005016, -0.006419
7.339994, -0.005482, -0.005593
7.359994, -0.004883, -0.006786
7.379994, -0.005659, -0.007562
7.399994, -0.005349, -0.010175
7.419994, -0.005215, -0.024068
7.439994, -0.005437, -0.023554
7.459994, -0.005193, -0.019784
7.479994, -0.006081, -0.018267
7.499994, -0.005349, -0.017318
7.519994, -0.005038, -0.016266
7.539994, -0.004616, -0.016972
7.559994, -0.005104, -0.014000
7.579994, -0.005349, -0.011723
7.599994, -0.005171, -0.011633
7.619994, -0.005437, -0.011499
7.639994, -0.006170, -0.009792
7.659994, -0.005282, -0.008658
7.679994, -0.006414, -0.010808
7.699994, -0.005082, -0.011290
7.719994, -0.005238, -0.009522
7.739994, -0.005548, -0.008127
7.759994, -0.005215, -0.008792
7.779994, -0.005637, -0.009226
7.799994, -0.005149, -0.008044
7.819993, -0.005593, -0.008599
7.839993, -0.005571, -0.007524
7.859993, -0.005215, -0.008335
7.879993, -0.005548, -0.007187
7.899993, -0.004905, -0.006369
7.919993, -0.005593, -0.007170
7.939993, -0.005415, -0.008080
7.959993, -0.005193, -0.008770
7.979993, -0.004883, -0.009261
7.999993, -0.005815, -0.011246
8.019994, -0.005104, -0.013205
8.039994, -0.005371, -0.012862
8.059995, -0.004993, -0.012666
8.079995, -0.005526, -0.010668
8.099996, -0.005326, -0.014294
8.119996, -0.005104, -0.012114
8.139997, -0.004883, -0.011932
8.159997, -0.005193, -0.011698
8.179997, -0.005637, -0.021773
8.199998, -0.005371, -0.020027
8.219998, -0.005282, -0.018474
8.239999, -0.005770, -0.017146
8.259999, -0.006014, -0.016215
8.280000, -0.005637, -0.015529
8.300000, -0.005548, -0.013132
8.320001, -0.005393, -0.012823
8.340001, -0.005238, -0.012513
8.360002, -0.005548, -0.012203
8.380002, -0.005060, -0.012058
8.400002, -0.005593, -0.011766
8.420003, -0.005193, -0.011715
8.440003, -0.005038, -0.009839
8.460004, -0.005371, -0.009938
8.480004, -0.005792, -0.010142
8.500005, -0.005171, -0.012158
8.520005, -0.004905, -0.010206
8.540006, -0.005681, -0.010201
8.560006, -0.005859, -0.008781
8.580007, -0.005548, -0.009379
8.600007, -0.005215, -0.009766
8.620008, -0.005304, -0.008276
8.640008, -0.005748, -0.010474
8.660008, -0.005526, -0.010748
8.680009, -0.005060, -0.014282
8.700009, -0.005837, -0.011931
8.720010, -0.005282, -0.010269
8.740010, -0.005659, -0.007015
8.760011, -0.005437, -0.007870
8.780011, -0.005571, -0.008503
8.800012, -0.005393, -0.010771
8.820012, -0.005615, -0.010879
8.840013, -0.005770, -0.012738
8.860013, -0.005504, -0.010930
8.880013, -0.006148, -0.011042
8.900014, -0.005593, -0.013058
8.920014, -0.005681, -0.012820
8.940015, -0.005482, -0.012651
8.960015, -0.005770, -0.012437
8.980016, -0.005238, -0.012360
9.000016, -0.005992, -0.012104
9.020017, -0.005748, -0.013853
9.040017, -0.005260, -0.013506
9.060018, -0.005970, -0.013041
9.080018, -0.005127, -0.012907
9.100019, -0.005238, -0.017574
9.120019, -0.005371, -0.016353
9.140019, -0.005415, -0.015382
9.160020, -0.005681, -0.014589
9.180020, -0.005792, -0.015720
9.200021, -0.005282, -0.016681
9.220021, -0.005326, -0.015585
9.240022, -0.005326, -0.012996
9.260022, -0.005127, -0.017639
9.280023, -0.005948, -0.016292
9.300023, -0.005371, -0.015465
9.320024, -0.005282, -0.012881
9.340024, -0.005460, -0.010723
9.360024, -0.005282, -0.009016
9.380025, -0.006303, -0.007559
9.400025, -0.005792, -0.008432
9.420026, -0.005548, -0.010676
9.440026, -0.005238, -0.009050
9.460027, -0.005659, -0.010996
9.480027, -0.005526, -0.011053
9.500028, -0.005082, -0.011053
9.520028, -0.005770, -0.009201
9.540029, -0.005460, -0.007926
9.560029, -0.004705, -0.008470
9.580029, -0.005748, -0.006960
9.600030, -0.005016, -0.007791
9.620030, -0.005726, -0.008222
9.640031, -0.005215, -0.007140
9.660031, -0.005038, -0.006077
9.680032, -0.004661, -0.006843
9.700032, -0.005548, -0.007343
9.720033, -0.005859, -0.008076
9.740033, -0.005637, -0.010488
9.760034, -0.005349, -0.010699
9.780034, -0.005548, -0.010768
9.800035, -0.005792, -0.010893
9.820035, -0.005504, -0.011081
9.840035, -0.005437, -0.011132
9.860036, -0.005238, -0.011147
9.880036, -0.005571, -0.011086
9.900037, -0.005238, -0.011152
9.920037, -0.005571, -0.011086
9.940038, -0.005726, -0.011148
9.960038, -0.005859, -0.011254
9.980039, -0.005837, -0.011388
10.000039, -0.005881, -0.011492
10.020040, -0.005437, -0.011593
10.040040, -0.005460, -0.009823
10.060040, -0.005482, -0.010071
10.080041, -0.005393, -0.008592
10.100041, -0.005571, -0.012430
10.120042, -0.005415, -0.012258
10.140042, -0.005770, -0.012057
10.160043, -0.005970, -0.012015
10.180043, -0.005260, -0.012050
10.200044, -0.005171, -0.011825
10.220044, -0.005393, -0.009910
10.240045, -0.005371, -0.010110
10.260045, -0.004461, -0.010268
10.280046, -0.005526, -0.010074
10.300046, -0.005238, -0.010293
10.320046, -0.005304, -0.010372
10.340047, -0.006259, -0.010460
10.360047, -0.005859, -0.010876
10.380048, -0.005704, -0.011079
10.400048, -0.005215, -0.009497
10.420049, -0.005326, -0.011414
10.440049, -0.005393, -0.011333
10.460050, -0.005770, -0.011288
10.480050, -0.004994, -0.011384
10.500051, -0.005371, -0.011186
10.520051, -0.004594, -0.009460
10.540051, -0.004838, -0.007765
10.560052, -0.005393, -0.008157
10.580052, -0.005881, -0.008682
10.600053, -0.005060, -0.010987
10.620053, -0.005460, -0.010897
10.640054, -0.004905, -0.010962
10.660054, -0.005215, -0.009123
10.680055, -0.005304, -0.007722
10.700055, -0.005659, -0.008302
10.720056, -0.005482, -0.010605
10.740056, -0.005837, -0.010744
10.760056, -0.005770, -0.012677
10.780057, -0.005460, -0.012546
10.800057, -0.005681, -0.010629
10.820058, -0.005526, -0.010826
10.840058, -0.005082, -0.009239
10.860059, -0.005282, -0.009473
10.880059, -0.005127, -0.009738
10.900060, -0.005704, -0.008208
10.920060, -0.004927, -0.008855
10.940061, -0.006081, -0.009115
10.960061, -0.005637, -0.009743
10.980062, -0.005127, -0.010106
11.000062, -0.005304, -0.010223
11.020062, -0.005704, -0.006993
11.040063, -0.005371, -0.007876
11.060063, -0.005504, -0.006797
11.080064, -0.005926, -0.005966
11.100064, -0.004971, -0.005444
11.120065, -0.004927, -0.006382
11.140065, -0.004905, -0.007144
11.160066, -0.005460, -0.009459
11.180066, -0.005659, -0.009865
11.200067, -0.005992, -0.008576
11.220067, -0.005415, -0.009332
11.240067, -0.005371, -0.008058
11.260068, -0.005837, -0.008692
11.280068, -0.005437, -0.009383
11.300069, -0.004838, -0.009810
11.320069, -0.005859, -0.009947
11.340070, -0.005393, -0.012115
11.360070, -0.005149, -0.010339
11.380071, -0.005437, -0.010484
11.400071, -0.006148, -0.012397
11.420072, -0.005104, -0.012526
11.440072, -0.004993, -0.013949
11.460073, -0.005238, -0.015069
11.480073, -0.005393, -0.012675
11.500073, -0.005149, -0.010756
11.520074, -0.005659, -0.010785
11.540074, -0.005082, -0.010992
11.560075, -0.005193, -0.009263
11.580075, -0.005238, -0.009578
11.600076, -0.005748, -0.009855
11.620076, -0.005571, -0.015349
11.640077, -0.005881, -0.014712
11.660077, -0.005903, -0.014291
11.680078, -0.005460, -0.013946
11.700078, -0.005526, -0.013498
11.720078, -0.005637, -0.014842
11.740079, -0.005770, -0.014285
11.760079, -0.005859, -0.013868
11.780080, -0.004905, -0.011859
11.800080, -0.004816, -0.011560
11.820081, -0.005460, -0.011281
11.840081, -0.005238, -0.012973
11.860082, -0.005238, -0.012588
11.880082, -0.005393, -0.010574
11.900083, -0.005992, -0.010669
11.920083, -0.005504, -0.010964
11.940084, -0.005260, -0.011036
11.960084, -0.005215, -0.009316
11.980084, -0.005082, -0.009583
12.000085, -0.005770, -0.004677
12.020085, -0.005504, -0.004291
12.040086, -0.005548, -0.005592
12.060086, -0.005238, -0.006691
12.080087, -0.005127, -0.005800
12.100087, -0.005260, -0.006731
12.120088, -0.005282, -0.007550
12.140088, -0.004994, -0.006542
12.160089, -0.005016, -0.005617
12.180089, -0.005326, -0.004872
12.200089, -0.005548, -0.006075
12.220090, -0.005460, -0.005457
12.240090, -0.004994, -0.006622
12.260091, -0.005526, -0.009113
12.280091, -0.005127, -0.011350
12.300092, -0.005815, -0.011347
12.320092, -0.004994, -0.009890
12.340093, -0.005171, -0.010092
12.360093, -0.005104, -0.010318
12.380094, -0.005282, -0.010477
12.400094, -0.005282, -0.012361
12.420094, -0.005437, -0.012211
12.440095, -0.005681, -0.012136
12.460095, -0.005792, -0.010464
12.480096, -0.005659, -0.010824
12.500096, -0.005304, -0.011073
12.520097, -0.005903, -0.011151
12.540097, -0.004927, -0.009734
12.560098, -0.005548, -0.009917
12.580098, -0.005548, -0.010289
12.600099, -0.005704, -0.010597
12.620099, -0.005238, -0.009213
12.640100, -0.005881, -0.009606
12.660100, -0.005215, -0.006774
12.680100, -0.005415, -0.005912
12.700101, -0.006259, -0.006979
12.720101, -0.005748, -0.006473
12.740102, -0.005859, -0.007582
12.760102, -0.005526, -0.008541
12.780103, -0.005193, -0.009216
12.800103, -0.005460, -0.007959
12.820104, -0.005659, -0.008716
12.840104, -0.005282, -0.009413
12.860105, -0.005526, -0.009852
12.880105, -0.005593, -0.010300
12.900105, -0.005326, -0.010690
12.920106, -0.005215, -0.010914
12.940106, -0.005349, -0.009360
12.960107, -0.005415, -0.008131
12.980107, -0.005282, -0.008842
13.000108, -0.005349, -0.007689
13.020108, -0.005526, -0.008464
13.040109, -0.005948, -0.009168
13.060109, -0.005770, -0.008207
13.080110, -0.005504, -0.009054
13.100110, -0.005615, -0.011352
13.120111, -0.005482, -0.011585
13.140111, -0.005548, -0.011725
13.160111, -0.005482, -0.011859
13.180112, -0.005859, -0.011941
13.200112, -0.005238, -0.012139
13.220113, -0.005282, -0.012077
13.240113, -0.005903, -0.012036
13.260114, -0.005371, -0.012220
13.280114, -0.005371, -0.013873
13.300115, -0.005171, -0.015223
13.320115, -0.005637, -0.016250
13.340116, -0.005193, -0.015553
13.360116, -0.005593, -0.014810
13.380116, -0.005193, -0.014332
13.400117, -0.005504, -0.013790
13.420117, -0.005260, -0.013449
13.440118, -0.005371, -0.011383
13.460118, -0.005326, -0.011419
13.480119, -0.005127, -0.009739
13.500119, -0.005837, -0.009986
13.520120, -0.005460, -0.010446
13.540120, -0.005038, -0.010694
13.560121, -0.004927, -0.010749
13.580121, -0.005371, -0.010754
13.600121, -0.004550, -0.012608
13.620122, -0.005615, -0.012141
13.640122, -0.005815, -0.012131
13.660123, -0.005571, -0.012193
13.680123, -0.005393, -0.012157
13.700124, -0.005349, -0.012061
13.720124, -0.005104, -0.011964
13.740125, -0.005593, -0.013488
13.760125, -0.004994, -0.013215
13.780126, -0.005415, -0.014465
13.800126, -0.005726, -0.013940
13.820127, -0.005326, -0.011919
13.840127, -0.005637, -0.010115
13.860127, -0.005038, -0.012133
13.880128, -0.005060, -0.011885
13.900128, -0.005193, -0.011685
13.920129, -0.005349, -0.011566
13.940129, -0.005504, -0.013215
13.960130, -0.005593, -0.014623
13.980130, -0.005571, -0.009029
14.000131, -0.005615, -0.007815
14.020131, -0.005881, -0.008538
14.040132, -0.005637, -0.009236
14.060132, -0.004883, -0.011423
14.080132, -0.005171, -0.011258
14.100133, -0.005127, -0.011221
14.120133, -0.004883, -0.011171
14.140134, -0.005282, -0.012734
14.160134, -0.005726, -0.010767
14.180135, -0.005415, -0.011001
14.200135, -0.005415, -0.012779
14.220136, -0.005393, -0.012542
14.240136, -0.005149, -0.008947
14.260137, -0.005548, -0.009297
14.280137, -0.005437, -0.009730
14.300138, -0.005282, -0.010052
14.320138, -0.005704, -0.011956
14.340138, -0.005482, -0.013669
14.360139, -0.005393, -0.013298
14.380139, -0.005415, -0.012955
14.400140, -0.005437, -0.010981
14.420140, -0.005393, -0.009366
14.440141, -0.005881, -0.009721
14.460141, -0.005371, -0.008497
14.480142, -0.005815, -0.007317
14.500142, -0.005948, -0.009902
14.520143, -0.005704, -0.010387
14.540143, -0.005104, -0.010700
14.560143, -0.005859, -0.009050
14.580144, -0.005482, -0.009659
14.600144, -0.005681, -0.008335
14.620145, -0.005704, -0.009017
14.640145, -0.005526, -0.011284
14.660146, -0.005349, -0.009696
14.680146, -0.005149, -0.008328
14.700147, -0.005837, -0.010523
14.720147, -0.005504, -0.010879
14.740148, -0.005393, -0.009358
14.760148, -0.005060, -0.009765
14.780149, -0.005193, -0.008287
14.800149, -0.005260, -0.008816
14.820149, -0.004794, -0.007584
14.840150, -0.005016, -0.008104
14.860150, -0.005238, -0.008613
14.880151, -0.005482, -0.007419
14.900151, -0.005903, -0.008224
14.920152, -0.005393, -0.009042
14.940152, -0.005238, -0.009538
14.960153, -0.005504, -0.008196
14.980153, -0.005460, -0.007192
15.000154, -0.005659, -0.008051
15.020154, -0.005881, -0.008834
15.040154, -0.004883, -0.009562
15.060155, -0.005482, -0.009805
15.080155, -0.005504, -0.010216
15.100156, -0.005726, -0.010561
15.120156, -0.005415, -0.010923
15.140157, -0.005393, -0.011108
15.160157, -0.005593, -0.011249
15.180158, -0.005681, -0.009740
15.200158, -0.005593, -0.008532
15.220159, -0.005704, -0.009207
15.240159, -0.005837, -0.008112
15.260159, -0.004971, -0.010653
15.280160, -0.004505, -0.009047
15.300160, -0.005437, -0.009252
15.320161, -0.005082, -0.009752
15.340161, -0.005504, -0.006650
15.360162, -0.005238, -0.005950
15.380162, -0.004971, -0.005292
15.400163, -0.005526, -0.004666
15.420163, -0.005615, -0.006055
15.440164, -0.005659, -0.007240
15.460164, -0.005104, 0.025635
15.480165, -0.005215, 0.018905
15.500165, -0.005326, 0.009870
15.520165, -0.006037, 0.004049
15.540166, -0.006059, 0.000676
15.560166, -0.005238, -0.002124
15.580167, -0.005326, -0.002449
15.600167, -0.005038, -0.004447
15.620168, -0.005437, -0.005987
15.640168, -0.005238, -0.007393
15.660169, -0.005926, -0.008473
15.680169, -0.005437, -0.009599
