t, phi2, phi3
3.739997, -0.015179, -0.051264
3.759997, -0.016591, -0.050013
3.779997, -0.018020, -0.048544
3.799997, -0.019100, -0.047308
3.819997, -0.019785, -0.046095
3.839997, -0.020270, -0.044581
3.859997, -0.020615, -0.043102
3.879997, -0.021016, -0.041668
3.899997, -0.021360, -0.040876
3.919997, -0.021667, -0.040359
3.939997, -0.022057, -0.039409
3.959997, -0.022210, -0.038726
3.979997, -0.022060, -0.038380
3.999997, -0.021756, -0.037814
4.019997, -0.021331, -0.037024
4.039997, -0.020670, -0.036522
4.059997, -0.020247, -0.035482
4.079997, -0.019644, -0.034678
4.099997, -0.018990, -0.033723
4.119997, -0.018171, -0.032708
4.139997, -0.017094, -0.031815
4.159997, -0.015754, -0.030860
4.179997, -0.014221, -0.029924
4.199997, -0.012722, -0.028800
4.219997, -0.011254, -0.027662
4.239997, -0.009717, -0.026716
4.259997, -0.008285, -0.025619
4.279997, -0.006859, -0.024697
4.299997, -0.005481, -0.023731
4.319997, -0.004072, -0.022917
4.339997, -0.002792, -0.021911
4.359997, -0.001488, -0.020997
4.379997, -0.000406, -0.019861
4.399997, 0.000617, -0.018959
4.419997, 0.001632, -0.018287
4.439997, 0.002299, -0.017230
4.459997, 0.002410, -0.015355
4.479997, 0.003083, -0.014373
4.499997, 0.003443, -0.012733
4.519997, 0.003885, -0.011415
4.539997, 0.004231, -0.010299
4.559997, 0.003961, -0.009072
4.579997, 0.003622, -0.008276
4.599997, 0.003529, -0.007473
4.619997, 0.003180, -0.004542
4.639997, 0.003628, -0.001751
4.659997, 0.003964, 0.002353
4.679996, 0.004275, 0.006742
4.699996, 0.004313, 0.011202
4.719996, 0.004562, 0.015737
4.739996, 0.004489, 0.020494
4.759996, 0.003690, 0.024463
4.779996, 0.002145, 0.026521
4.799996, 0.001480, 0.026408
4.819996, -0.000338, 0.028479
4.839996, -0.002351, 0.028211
4.859996, -0.004750, 0.027303
4.879996, -0.006093, 0.024567
4.899996, -0.006713, 0.020500
4.919996, -0.008214, 0.016872
4.939996, -0.009235, 0.011566
4.959996, -0.010630, 0.006568
4.979996, -0.011267, -0.000028
4.999996, -0.011833, -0.006792
5.019996, -0.011111, -0.015455
5.039996, -0.012359, -0.021316
5.059996, -0.012949, -0.027506
5.079996, -0.013235, -0.033843
5.099996, -0.013224, -0.040405
5.119996, -0.013220, -0.045604
5.139996, -0.013658, -0.048432
5.159996, -0.013596, -0.051569
5.179996, -0.013253, -0.054068
5.199996, -0.013397, -0.054641
5.219996, -0.012364, -0.056971
5.239996, -0.011578, -0.057896
5.259996, -0.011213, -0.057359
5.279996, -0.010263, -0.057894
5.299996, -0.010042, -0.055000
5.319996, -0.008857, -0.053537
5.339996, -0.009289, -0.049569
5.359996, -0.009753, -0.045358
5.379996, -0.009203, -0.042240
5.399996, -0.009517, -0.036437
5.419996, -0.009477, -0.031234
5.439996, -0.009271, -0.026431
5.459996, -0.009035, -0.021158
5.479996, -0.008886, -0.015595
5.499996, -0.008693, -0.010222
5.519996, -0.008991, -0.005028
5.539996, -0.009384, -0.001743
5.559996, -0.010177, 0.000784
5.579996, -0.012100, 0.003559
5.599996, -0.013474, 0.004940
5.619996, -0.014762, 0.006458
5.639996, -0.015791, 0.007421
5.659996, -0.016961, 0.008307
5.679996, -0.018487, 0.009606
5.699996, -0.019530, 0.010092
5.719995, -0.020174, 0.010320
5.739995, -0.020762, 0.011122
5.759995, -0.020914, 0.011864
5.779995, -0.020874, 0.012671
5.799995, -0.020657, 0.013006
5.819995, -0.020270, 0.013213
5.839995, -0.019508, 0.012573
5.859995, -0.019159, 0.012870
5.879995, -0.018332, 0.012248
5.899995, -0.018155, 0.012360
5.919995, -0.017582, 0.011479
5.939995, -0.017249, 0.010495
5.959995, -0.016807, 0.009263
5.979995, -0.016393, 0.007836
5.999995, -0.015807, 0.005643
6.019995, -0.015319, 0.002992
6.039995, -0.015514, 0.001407
6.059995, -0.015503, -0.000875
6.079995, -0.015638, -0.002689
6.099995, -0.015623, -0.005032
6.119995, -0.015413, -0.007420
6.139995, -0.015468, -0.009415
6.159995, -0.015571, -0.011201
6.179995, -0.015358, -0.013375
6.199995, -0.015097, -0.015448
6.219995, -0.015169, -0.016696
6.239995, -0.014753, -0.018438
6.259995, -0.014260, -0.020056
6.279995, -0.013998, -0.020905
6.299995, -0.013037, -0.023315
6.319995, -0.012235, -0.024840
6.339995, -0.011131, -0.027147
6.359995, -0.010533, -0.028063
6.379995, -0.010052, -0.029226
6.399995, -0.009830, -0.029584
6.419995, -0.009730, -0.029112
6.439995, -0.010185, -0.027088
6.459995, -0.009992, -0.026474
6.479995, -0.009968, -0.025075
6.499995, -0.009740, -0.023374
6.519995, -0.009417, -0.021225
6.539995, -0.009198, -0.018517
6.559995, -0.008936, -0.015842
6.579995, -0.008890, -0.012315
6.599995, -0.009095, -0.008153
6.619995, -0.008743, -0.005014
6.639995, -0.008210, -0.002363
6.659995, -0.007914, 0.000461
6.679995, -0.007744, 0.003094
6.699995, -0.008074, 0.005912
6.719995, -0.008495, 0.008134
6.739995, -0.009391, 0.010822
6.759995, -0.009525, 0.011472
6.779994, -0.009560, 0.012327
6.799994, -0.009760, 0.013349
6.819994, -0.010253, 0.014696
6.839994, -0.010816, 0.015772
6.859994, -0.010503, 0.015042
6.879994, -0.010586, 0.014998
6.899994, -0.010420, 0.014361
6.919994, -0.010363, 0.014147
6.939994, -0.010096, 0.013125
6.959994, -0.009918, 0.012358
6.979994, -0.009853, 0.011746
6.999994, -0.009592, 0.010541
7.019994, -0.009565, 0.009512
7.039994, -0.009754, 0.008935
7.059994, -0.009444, 0.007185
7.079994, -0.009311, 0.005921
7.099994, -0.009728, 0.005544
7.119994, -0.009263, 0.003540
7.139994, -0.009460, 0.002520
7.159994, -0.009237, 0.000494
7.179994, -0.008609, -0.002375
7.199994, -0.008286, -0.005061
7.219994, -0.007685, -0.007967
7.239994, -0.007722, -0.009864
7.259994, -0.008017, -0.011634
7.279994, -0.007903, -0.014076
7.299994, -0.008042, -0.015872
7.319994, -0.007731, -0.018309
7.339994, -0.007254, -0.020604
7.359994, -0.006990, -0.022829
7.379994, -0.006770, -0.024625
7.399994, -0.006001, -0.028069
7.419994, -0.005602, -0.030285
7.439994, -0.005202, -0.032025
7.459994, -0.004611, -0.034020
7.479994, -0.004043, -0.035723
7.499994, -0.003727, -0.036729
7.519994, -0.003147, -0.037500
7.539994, -0.002488, -0.038192
7.559994, -0.002260, -0.037062
7.579994, -0.001953, -0.036327
7.599994, -0.001716, -0.034741
7.619994, -0.001216, -0.032803
7.639994, -0.000513, -0.031445
7.659994, 0.000166, -0.029623
7.679994, 0.000492, -0.025905
7.699994, 0.000444, -0.021077
7.719994, 0.000811, -0.016455
7.739994, 0.001081, -0.012105
7.759994, 0.000703, -0.006185
7.779994, 0.000518, -0.000900
7.799994, -0.000256, 0.005245
7.819993, -0.001170, 0.011705
7.839993, -0.002162, 0.017675
7.859993, -0.003566, 0.023543
7.879993, -0.004813, 0.028628
7.899993, -0.005974, 0.033503
7.919993, -0.006485, 0.036972
7.939993, -0.007113, 0.040625
7.959993, -0.007014, 0.042640
7.979993, -0.007751, 0.044526
7.999993, -0.009503, 0.045607
8.019994, -0.011265, 0.045118
8.039994, -0.011895, 0.042769
8.059995, -0.012888, 0.040627
8.079995, -0.013525, 0.037989
8.099996, -0.012874, 0.032936
8.119996, -0.012280, 0.029608
8.139997, -0.010746, 0.024796
8.159997, -0.009433, 0.018901
8.179997, -0.009467, 0.014832
8.199998, -0.009315, 0.011135
8.219998, -0.008696, 0.005868
8.239999, -0.007191, -0.000264
8.259999, -0.005722, -0.005887
8.280000, -0.005034, -0.010501
8.300000, -0.005419, -0.014719
8.320001, -0.005378, -0.020267
8.340001, -0.005756, -0.024926
8.360002, -0.006355, -0.030002
8.380002, -0.007850, -0.032952
8.400002, -0.008988, -0.036243
8.420003, -0.010061, -0.039391
8.440003, -0.010672, -0.042437
8.460004, -0.011659, -0.043684
8.480004, -0.011651, -0.046431
8.500005, -0.011746, -0.048277
8.520005, -0.012490, -0.047621
8.540006, -0.011876, -0.049041
8.560006, -0.011282, -0.048196
8.580007, -0.010446, -0.048035
8.600007, -0.009307, -0.047964
8.620008, -0.008157, -0.047486
8.640008, -0.007485, -0.043977
8.660008, -0.006260, -0.040633
8.680009, -0.004564, -0.037535
8.700009, -0.003002, -0.032641
8.720010, -0.001967, -0.025438
8.740010, 0.000237, -0.019712
8.760011, 0.002694, -0.016283
8.780011, 0.003326, -0.010415
8.800012, 0.003372, -0.005349
8.820012, 0.003420, -0.003187
8.840013, 0.001130, 0.000459
8.860013, -0.000296, 0.001235
8.880013, -0.002861, 0.002626
8.900014, -0.006039, 0.002910
8.920014, -0.008729, 0.002502
8.940015, -0.011397, 0.002652
8.960015, -0.013983, 0.002988
8.980016, -0.016433, 0.003721
9.000016, -0.017829, 0.003290
9.020017, -0.019150, 0.003907
9.040017, -0.020059, 0.005118
9.060018, -0.020762, 0.006832
9.080018, -0.021253, 0.008148
9.100019, -0.021896, 0.010756
9.120019, -0.022182, 0.013354
9.140019, -0.022307, 0.016317
9.160020, -0.021820, 0.018399
9.180020, -0.021099, 0.020154
9.200021, -0.020375, 0.021664
9.220021, -0.019514, 0.022488
9.240022, -0.019025, 0.023844
9.260022, -0.019026, 0.025825
9.280023, -0.018210, 0.026036
9.300023, -0.018065, 0.026841
9.320024, -0.017182, 0.025294
9.340024, -0.016873, 0.023806
9.360024, -0.017823, 0.024389
9.380025, -0.016455, 0.020123
9.400025, -0.016191, 0.017603
9.420026, -0.016463, 0.015919
9.440026, -0.016076, 0.011320
9.460027, -0.016303, 0.008510
9.480027, -0.015847, 0.004931
9.500028, -0.015241, 0.001309
9.520028, -0.014550, -0.002782
9.540029, -0.014226, -0.006508
9.560029, -0.014248, -0.009989
9.580029, -0.013964, -0.014309
9.600030, -0.013877, -0.018062
9.620030, -0.013925, -0.021163
9.640031, -0.014203, -0.023285
9.660031, -0.014221, -0.025379
9.680032, -0.014188, -0.026784
9.700032, -0.013386, -0.029472
9.720033, -0.013232, -0.030228
9.740033, -0.012676, -0.031385
9.760034, -0.012049, -0.032552
9.780034, -0.011537, -0.033559
9.800035, -0.010449, -0.035916
9.820035, -0.009854, -0.036839
9.840035, -0.009247, -0.037302
9.860036, -0.008864, -0.037127
9.880036, -0.008737, -0.035997
9.900037, -0.009127, -0.034512
9.920037, -0.009202, -0.032675
9.940038, -0.008984, -0.030885
9.960038, -0.008475, -0.029005
9.980039, -0.008432, -0.025076
10.000039, -0.007646, -0.022508
10.020040, -0.006845, -0.020196
10.040040, -0.006510, -0.017015
10.060040, -0.006295, -0.013591
10.080041, -0.005961, -0.010352
10.100041, -0.005874, -0.006837
10.120042, -0.005985, -0.003481
10.140042, -0.005998, -0.000612
10.160043, -0.005908, 0.001531
10.180043, -0.006176, 0.003321
10.200044, -0.006795, 0.005112
10.220044, -0.007399, 0.006478
10.240045, -0.008815, 0.008876
10.260045, -0.010026, 0.010819
10.280046, -0.011014, 0.011990
10.300046, -0.011787, 0.013080
10.320046, -0.012590, 0.014074
10.340047, -0.013251, 0.014573
10.360047, -0.013313, 0.014091
10.380048, -0.013472, 0.014228
10.400048, -0.013533, 0.014277
10.420049, -0.013940, 0.015386
10.440049, -0.014246, 0.016576
10.460050, -0.013962, 0.016304
10.480050, -0.013788, 0.015977
10.500051, -0.013813, 0.016007
10.520051, -0.013850, 0.016136
10.540051, -0.013627, 0.015786
10.560052, -0.013507, 0.015330
10.580052, -0.013269, 0.014793
10.600053, -0.012349, 0.013023
10.620053, -0.011425, 0.011105
10.640054, -0.010777, 0.009494
10.660054, -0.009850, 0.007250
10.680055, -0.009573, 0.005773
10.700055, -0.009174, 0.003360
10.720056, -0.008896, 0.000852
10.740056, -0.008889, -0.001911
10.760056, -0.008999, -0.004246
10.780057, -0.009332, -0.005762
10.800057, -0.009579, -0.007407
10.820058, -0.009624, -0.009412
10.840058, -0.009927, -0.010959
10.860059, -0.010056, -0.012944
10.880059, -0.010308, -0.014681
10.900060, -0.010037, -0.017511
10.920060, -0.009769, -0.019824
10.940061, -0.009566, -0.021753
10.960061, -0.009227, -0.024261
10.980062, -0.009107, -0.026428
11.000062, -0.009003, -0.028651
11.020062, -0.007845, -0.033083
11.040063, -0.007543, -0.035711
11.060063, -0.007338, -0.037706
11.080064, -0.007806, -0.038343
11.100064, -0.007238, -0.040168
11.120065, -0.006429, -0.041758
11.140065, -0.005496, -0.042908
11.160066, -0.004346, -0.043786
11.180066, -0.003365, -0.043204
11.200067, -0.001942, -0.042597
11.220067, -0.000337, -0.041354
11.240067, -0.000096, -0.038206
11.260068, -0.000059, -0.034773
11.280068, -0.000165, -0.028627
11.300069, 0.000761, -0.022926
11.320069, -0.000590, -0.013363
11.340070, -0.000047, -0.006659
11.360070, 0.000303, 0.002086
11.380071, -0.000167, 0.010364
11.400071, -0.001116, 0.018377
11.420072, -0.002320, 0.025190
