t, uk1, uk2, uk3)
2.419998, -0.000022, 0.189331, -0.114362
2.439998, -0.000488, 0.348924, -0.199385
2.459998, 0.019419, 0.432104, -0.172598
2.479998, -0.084113, 0.434901, -0.311395
2.499998, -0.203646, 0.383079, -0.529267
2.519998, -0.245569, 0.381992, -0.725189
2.539998, -0.258353, 0.458115, -0.887023
2.559998, -0.268384, 0.582841, -1.050499
2.579998, -0.287492, 0.700422, -1.198041
2.599998, -0.319074, 0.782115, -1.325652
2.619998, -0.352119, 0.928392, -1.580299
2.639998, -0.379306, 0.960927, -1.692464
2.659998, -0.369475, 0.964500, -1.780105
2.679998, -0.395752, 1.007799, -1.843090
2.699998, -0.464329, 1.062617, -1.854852
2.719998, -0.499394, 1.106404, -1.877245
2.739998, -0.509648, 1.130728, -1.894334
2.759998, -0.529111, 1.149570, -1.889163
2.779998, -0.560648, 1.151612, -1.845753
2.799998, -0.600796, 1.140848, -1.775289
2.819998, -0.640544, 1.114838, -1.679481
2.839998, -0.680980, 1.082347, -1.563743
2.859998, -0.720906, 1.051720, -1.437995
2.879998, -0.760632, 1.022003, -1.300529
2.899998, -0.781694, 0.991487, -1.168368
2.919998, -0.768067, 0.938312, -1.046638
2.939998, -0.726410, 0.874151, -0.949808
2.959998, -0.633420, 0.799825, -0.892993
2.979998, -0.507828, 0.693564, -0.831673
2.999998, -0.401078, 0.585149, -0.743011
3.019998, -0.359643, 0.508538, -0.624232
3.039998, -0.368387, 0.451368, -0.479443
3.059998, -0.385298, 0.405406, -0.341444
3.079998, -0.380394, 0.361507, -0.230966
3.099998, -0.336540, 0.312060, -0.153178
3.119998, -0.249919, 0.247300, -0.100269
3.139998, -0.152646, 0.189753, -0.062896
3.159998, -0.076434, 0.155131, -0.034932
3.179998, -0.026233, 0.129210, 0.000022
3.199998, 0.005038, 0.105285, 0.045452
3.219998, 0.026876, 0.085333, 0.082892
3.239998, 0.053331, 0.056837, 0.110190
3.259998, 0.086709, 0.022948, 0.126924
3.279998, 0.115250, 0.007635, 0.124860
3.299998, 0.137821, 0.006747, 0.112431
3.319998, 0.161501, 0.000821, 0.103132
3.339998, 0.183206, -0.002352, 0.092657
3.359998, 0.190197, 0.003817, 0.080473
3.379997, 0.185914, 0.008456, 0.070686
3.399997, 0.176237, 0.006836, 0.060455
3.419997, 0.164830, 0.000533, 0.047338
3.439997, 0.152757, -0.011585, 0.037706
3.459997, 0.140661, -0.022504, 0.029983
3.479997, 0.126835, -0.021350, 0.017599
3.499997, 0.109968, -0.014648, 0.005282
3.519997, 0.088685, -0.011962, -0.000222
3.539997, 0.063362, -0.011851, 0.001221
3.559997, 0.038195, -0.013671, 0.000044
3.579997, 0.016157, -0.017044, -0.003795
3.599997, -0.001110, -0.020307, -0.008522
3.619997, -0.013516, -0.024435, -0.010031
3.639997, -0.023037, -0.025123, -0.004372
3.659997, -0.030360, -0.019086, 0.001975
3.679997, -0.033090, -0.009987, 0.006658
3.699997, -0.033867, -0.003839, 0.014293
3.719997, -0.032291, -0.000710, 0.021039
3.739997, -0.028829, 0.004372, 0.022793
3.759997, -0.026632, 0.010453, 0.023592
3.779997, -0.026343, 0.017977, 0.024812
3.799997, -0.025167, 0.024990, 0.022726
3.819997, -0.024768, 0.030871, 0.017888
3.839997, -0.027697, 0.034555, 0.014670
3.859997, -0.033357, 0.032558, 0.013205
3.879997, -0.037396, 0.026343, 0.009055
3.899997, -0.041169, 0.020285, 0.003684
3.919997, -0.050024, 0.012428, 0.008589
3.939997, -0.056771, 0.007124, 0.017155
3.959997, -0.056704, 0.003018, 0.026632
